NAME,state,place,households_total,households_total_male,households_total_female,marital_status__male_15_over,marital_status__male_15_over_percent,marital_status__female_15_over,marital_status__female_15_over_percent,edu_high_school_over,edu_high_school_over.1,edu_bach_degree_over,edu_bach_degree_over_percent,employment_status_percent,employment_status,income_household,income_household_median,income_household_mean,income_family,income_family_median,income_family_mean,income_per_capita,income_nonfamily,income_nonfamily_median,income_nonfamily_mean,income_below_poverty_family,income_below_poverty_percent_family,income_below_poverty,income_below_poverty_percent,housing_occupancy,housing_occupancy_percent,housing_in_structure,housing_in_structure_percent,population_total,population_over_21,population_over_21_percent,population_15_to_19,population_15_to_19_percent,population_male_over_18,population_male_over_18_percent,population_female_over_18,population_female_over_18_percent,City,State
"San Ramon city, California",6,68378,29662.0,3131.0,5414.0,33204.0,33204.0,32997.0,32997.0,54643.0,96.4,39221.0,69.2,64637,64637,29662,162388,196236,23521,189078,215869,67174,6141,100005,112967,-888888888,2.8,-888888888,3.4,30255,30255,30255,30255,86939,59296,68.2,6042,6.9,30706,49.8,30926,50.2,San Ramon,California
"Sparks city, Nevada",32,68400,43392.0,9959.0,10058.0,46514.0,46514.0,43327.0,43327.0,68196.0,88.3,24742.0,32.0,88542,88542,43392,78778,99038,27425,92958,111555,39137,15967,55587,69039,-888888888,4.2,-888888888,7.1,47203,47203,47203,47203,109788,82340,75.0,6063,5.5,44390,51.6,41609,48.4,Sparks,Nevada
"Spring Valley CDP, Nevada",32,68585,88063.0,19031.0,28536.0,82399.0,82399.0,93934.0,93934.0,140717.0,91.1,52533.0,34.0,173478,173478,88063,61179,80733,47594,73947,94934,34242,40469,45362,60820,-888888888,12.1,-888888888,15.6,94405,94405,94405,94405,213552,163773,76.7,10837,5.1,79581,46.8,90308,53.2,Spring Valle,Nevada
"Sunrise Manor CDP, Nevada",32,71400,62737.0,13131.0,17324.0,77618.0,77618.0,75297.0,75297.0,89086.0,72.5,12812.0,10.4,149673,149673,62737,51287,62130,44462,56640,67841,20717,18275,32844,40496,-888888888,18.8,-888888888,22.7,70430,70430,70430,70430,196147,134012,68.3,16125,8.2,72838,50.8,70544,49.2,Sunrise Mano,Nevada
"Walnut Creek city, California",6,83346,31035.0,4572.0,9014.0,27601.0,27601.0,31346.0,31346.0,50453.0,97.3,36226.0,69.9,57993,57993,31035,118483,143749,18247,151086,179950,64104,12788,72389,89674,-888888888,7.0,-888888888,8.1,32398,32398,32398,32398,69705,54957,78.8,3680,5.3,26521,46.6,30383,53.4,Walnut Creek,California
"Wesley Chapel CDP, Florida",12,75875,23868.0,3392.0,5460.0,29597.0,29597.0,28417.0,28417.0,43302.0,93.6,22398.0,48.4,56819,56819,23868,90878,123246,18336,103723,134588,39173,5532,42500,58313,-888888888,7.5,-888888888,11.6,24706,24706,24706,24706,77319,51177,66.2,6760,8.7,27717,51.3,26285,48.7,Wesley Chape,Florida
"Weston city, Florida",12,76582,20227.0,1277.0,4546.0,23791.0,23791.0,28843.0,28843.0,39838.0,96.3,28060.0,67.8,50697,50697,20227,122774,165534,17979,131212,176225,50237,-999999999,56531,-999999999,-888888888,6.5,-888888888,8.2,22530,22530,22530,22530,67322,43841,65.1,7181,10.7,21640,45.4,25979,54.6,Weston,Florida
"West Palm Beach city, Florida",12,76600,50409.0,12032.0,19182.0,48876.0,48876.0,52681.0,52681.0,75905.0,87.2,33820.0,38.9,99576,99576,50409,59400,85376,27223,68176,99301,37930,23186,48097,66091,-888888888,12.2,-888888888,15.9,60001,60001,60001,60001,117253,91576,78.1,8510,7.3,46516,48.1,50160,51.9,West Palm Beach,Florida
"Augusta-Richmond County consolidated government (balance), Georgia",13,4204,72760.0,15571.0,30722.0,77615.0,77615.0,83754.0,83754.0,116409.0,88.1,32209.0,24.4,158765,158765,72760,47921,66697,42399,51818,74648,27864,30361,34735,50272,-888888888,18.5,-888888888,20.5,90645,90645,90645,90645,200032,144773,72.4,13662,6.8,73829,47.9,80455,52.1,Augusta-Richmond County consolidated government (bal,Georgia
"East Los Angeles CDP, California",6,20802,31072.0,5697.0,8004.0,48378.0,48378.0,45647.0,45647.0,41458.0,54.2,7028.0,9.2,92537,92537,31072,65971,78938,24511,69081,83211,21820,6561,31055,45909,-888888888,13.3,-888888888,16.0,33124,33124,33124,33124,115803,83769,72.3,9121,7.9,45467,51.5,42752,48.5,East Los Angele,California
"Joliet city, Illinois",17,38570,51263.0,8235.0,13126.0,61860.0,61860.0,60969.0,60969.0,81918.0,83.6,25518.0,26.0,120356,120356,51263,76495,98020,35009,86117,110136,33629,16254,51712,60419,-888888888,8.4,-888888888,12.6,53989,53989,53989,53989,152563,106835,70.0,12894,8.5,56938,49.6,57918,50.4,Joliet,Illinois
"Davenport city, Iowa",19,19000,44958.0,9776.0,13818.0,41393.0,41393.0,42887.0,42887.0,66059.0,93.1,19438.0,27.4,82916,82916,44958,53914,81587,24061,67294,99651,36360,20897,40369,56079,-888888888,12.4,-888888888,16.5,49139,49139,49139,49139,101010,76954,76.2,6022,6.0,39269,48.6,41612,51.4,Davenport,Iowa
"Des Moines city, Iowa",19,21000,90416.0,21186.0,28600.0,84937.0,84937.0,87199.0,87199.0,123987.0,87.4,39276.0,27.7,169315,169315,90416,60693,75671,49210,73761,89237,33498,41206,42586,56353,-888888888,8.2,-888888888,13.2,97957,97957,97957,97957,212333,155645,73.3,13747,6.5,81749,49.6,83011,50.4,Des Moines,Iowa
"Livermore city, California",6,41992,31472.0,5349.0,6252.0,35161.0,35161.0,35497.0,35497.0,57685.0,92.9,27518.0,44.3,70155,70155,31472,130111,161055,22863,151240,172822,59747,8609,57756,119351,-888888888,1.0,-888888888,3.4,32363,32363,32363,32363,86812,65480,75.4,4637,5.3,34328,50.0,34331,50.0,Livermore,California
"Lodi city, California",6,42202,24245.0,3511.0,6248.0,26568.0,26568.0,29011.0,29011.0,34536.0,78.7,10671.0,24.3,54727,54727,24245,76874,97126,16488,91352,111844,35530,7757,49707,60322,-888888888,8.6,-888888888,11.5,25828,25828,25828,25828,67020,48581,72.5,5609,8.4,25280,48.1,27258,51.9,Lodi,California
"Long Beach city, California",6,43000,172599.0,35791.0,54784.0,181508.0,181508.0,199669.0,199669.0,271742.0,83.6,120333.0,37.0,375508,375508,172599,73905,96361,100004,79617,108530,37217,72595,58803,73722,-888888888,12.4,-888888888,16.5,179856,179856,179856,179856,456063,349564,76.6,26492,5.8,173546,47.5,191941,52.5,Long Beach,California
"Santa Ana city, California",6,69000,78674.0,12361.0,17342.0,128319.0,128319.0,124242.0,124242.0,143038.0,70.9,37224.0,18.5,247234,247234,78674,80265,101268,64064,78717,99420,26691,14610,51384,76771,-888888888,9.7,-888888888,11.0,80604,80604,80604,80604,309468,222416,71.9,25676,8.3,120067,50.7,116539,49.3,Santa Ana,California
"Santa Barbara city, California",6,69070,35676.0,7671.0,10639.0,38224.0,38224.0,38494.0,38494.0,55371.0,87.4,31505.0,49.7,75782,75782,35676,90711,143528,18647,106930,173598,57042,17029,74377,103909,-888888888,7.7,-888888888,15.7,37875,37875,37875,37875,88252,70230,79.6,4980,5.6,36811,49.9,36998,50.1,Santa Barbara,California
"Santa Clara city, California",6,69084,49011.0,9750.0,11571.0,53126.0,53126.0,53415.0,53415.0,85704.0,94.3,59903.0,65.9,105706,105706,49011,155238,193412,30605,180755,216543,76123,18406,120061,151178,-888888888,7.1,-888888888,8.8,52276,52276,52276,52276,127155,98100,77.1,6932,5.5,51099,49.6,51906,50.4,Santa Clara,California
"Santa Clarita city, California",6,69088,73509.0,10108.0,17484.0,86458.0,86458.0,93879.0,93879.0,140287.0,92.0,57637.0,37.8,176763,176763,73509,109336,134816,55913,120148,147996,44697,17596,62840,78747,-888888888,4.5,-888888888,6.7,74788,74788,74788,74788,224588,163281,72.7,14624,6.5,82253,48.2,88369,51.8,Santa Clarita,California
"Stockton city, California",6,75000,97447.0,18432.0,28100.0,122509.0,122509.0,127752.0,127752.0,153822.0,77.2,31724.0,15.9,244427,244427,97447,69844,84568,70867,72150,88775,26811,26580,37929,53573,-888888888,13.0,-888888888,16.3,102642,102642,102642,102642,322107,218406,67.8,25206,7.8,114307,48.7,120439,51.3,Stockton,California
"Silver Spring CDP, Maryland",24,72450,33307.0,6723.0,11363.0,29112.0,29112.0,34700.0,34700.0,47658.0,89.3,31301.0,58.6,63047,63047,33307,84223,114498,18417,112165,140733,48204,14890,63817,77502,-888888888,10.5,-888888888,12.3,34703,34703,34703,34703,80265,59280,73.9,3954,4.9,27773,45.4,33420,54.6,Silver Sprin,Maryland
"Maple Grove city, Minnesota",27,40166,28026.0,3981.0,5075.0,28208.0,28208.0,29642.0,29642.0,49887.0,98.4,28913.0,57.0,57202,57202,28026,117442,147563,19102,137874,170364,58696,8924,68574,96424,-888888888,-999999999.0,-888888888,4.0,28282,28282,28282,28282,70730,53091,75.1,4262,6.0,27285,49.7,27564,50.3,Maple Grove,Minnesota
"Stamford city, Connecticut",9,73000,52816.0,8114.0,16150.0,57248.0,57248.0,57636.0,57636.0,87213.0,88.8,49602.0,50.5,112984,112984,52816,100543,143222,32184,107450,160073,56232,20632,87075,112445,-888888888,5.7,-888888888,7.2,57380,57380,57380,57380,136312,105728,77.6,7798,5.7,55260,49.9,55494,50.1,Stamford,Connecticut
"Fayetteville city, Arkansas",5,23290,40104.0,10501.0,12453.0,38513.0,38513.0,40060.0,40060.0,51917.0,96.3,25869.0,48.0,77789,77789,40104,61428,77939,20895,79294,93863,33179,19209,39609,58808,-888888888,12.3,-888888888,17.7,44706,44706,44706,44706,95231,66779,70.1,8222,8.6,36613,48.3,39202,51.7,Fayetteville,Arkansas
"Camarillo city, California",6,10046,27588.0,3277.0,7767.0,28787.0,28787.0,30403.0,30403.0,47014.0,93.6,20202.0,40.2,58302,58302,27588,100238,121729,17708,118260,141548,47926,9880,71648,83534,-888888888,8.4,-888888888,9.1,28678,28678,28678,28678,70838,53555,75.6,4628,6.5,27126,47.8,29645,52.2,Camarillo,California
"Little Rock city, Arkansas",5,41000,89422.0,17356.0,31543.0,74684.0,74684.0,86626.0,86626.0,125274.0,90.8,62249.0,45.1,158248,158248,89422,53565,88921,52783,73591,111003,39600,36639,36501,54028,-888888888,14.1,-888888888,19.0,99876,99876,99876,99876,201984,148275,73.4,10877,5.4,70817,45.8,83808,54.2,Little Rock,Arkansas
"Waukegan city, Illinois",17,79293,30068.0,6586.0,8501.0,37694.0,37694.0,35310.0,35310.0,43781.0,74.2,12525.0,21.2,71856,71856,30068,64178,81977,20318,73731,94827,29092,9750,32817,46287,-888888888,8.0,-888888888,12.8,31673,31673,31673,31673,85791,65181,76.0,6012,7.0,35776,51.9,33194,48.1,Waukegan,Illinois
"Santa Maria city, California",6,69196,30316.0,4474.0,7800.0,39931.0,39931.0,41930.0,41930.0,39060.0,63.2,9754.0,15.8,80113,80113,30316,69714,88667,22313,71857,93693,24171,8003,28323,56413,-888888888,11.4,-888888888,16.3,30476,30476,30476,30476,109709,69474,63.3,9834,9.0,36161,48.0,39240,52.0,Santa Maria,California
"Enterprise CDP, Nevada",32,23770,83983.0,15974.0,20120.0,100310.0,100310.0,96544.0,96544.0,155359.0,93.1,61001.0,36.5,193980,193980,83983,84902,105516,57043,90353,111050,37035,26940,60160,83023,-888888888,9.4,-888888888,12.6,88599,88599,88599,88599,245286,180642,73.6,13753,5.6,96384,51.2,91945,48.8,Enterpris,Nevada
"Santa Monica city, California",6,70000,45541.0,11607.0,16227.0,38520.0,38520.0,42263.0,42263.0,69740.0,95.7,51767.0,71.0,79124,79124,45541,94906,147803,18582,150957,211337,75280,26959,67290,101645,-888888888,9.5,-888888888,13.8,52958,52958,52958,52958,91103,76023,83.4,4284,4.7,36799,47.4,40873,52.6,Santa Monica,California
"Billings city, Montana",30,6550,50365.0,10739.0,12972.0,46285.0,46285.0,48707.0,48707.0,76840.0,94.5,30508.0,37.5,93390,93390,50365,65818,84341,30176,82957,102977,36263,20189,39971,50204,-888888888,10.1,-888888888,13.2,53981,53981,53981,53981,117453,86438,73.6,7014,6.0,43848,48.4,46825,51.6,Billings,Montana
"Gulfport city, Mississippi",28,29700,29385.0,6615.0,9924.0,29928.0,29928.0,28637.0,28637.0,41252.0,84.9,12130.0,25.0,57884,57884,29385,43066,59177,17493,53570,67259,24954,11892,27087,41418,-888888888,20.8,-888888888,27.5,33401,33401,33401,33401,72096,52986,73.5,4477,6.2,27445,49.5,28051,50.5,Gulfport,Mississippi
"Livonia city, Michigan",26,49000,38329.0,5870.0,9286.0,39026.0,39026.0,41301.0,41301.0,68557.0,94.8,31417.0,43.4,79492,79492,38329,87332,105139,25206,107670,123413,43074,13123,51785,67425,-888888888,2.0,-888888888,4.4,39344,39344,39344,39344,94407,74811,79.2,4486,4.8,37581,48.5,39876,51.5,Livonia,Michigan
"Gainesville city, Florida",12,25175,56513.0,15900.0,21548.0,57166.0,57166.0,65662.0,65662.0,74330.0,94.0,37797.0,47.8,121565,121565,56513,40822,60553,21248,70318,86556,25655,35265,30887,43742,-888888888,10.0,-888888888,26.9,66685,66685,66685,66685,140406,100810,71.8,14062,10.0,55666,46.4,64338,53.6,Gainesville,Florida
"Anaheim city, California",6,2000,105608.0,17874.0,26340.0,137532.0,137532.0,146020.0,146020.0,184961.0,77.4,70344.0,29.4,278757,278757,105608,81747,104088,76529,91012,113093,32827,29079,44133,67999,-888888888,7.8,-888888888,11.0,110319,110319,110319,110319,345935,257000,74.3,21872,6.3,131249,48.7,138182,51.3,Anaheim,California
"Buckeye city, Arizona",4,7940,30913.0,2324.0,5008.0,39721.0,39721.0,36729.0,36729.0,59431.0,88.8,15420.0,23.0,74633,74633,30913,75417,95987,24432,81887,103057,29640,6481,58195,62590,-888888888,7.6,-888888888,8.1,32639,32639,32639,32639,101314,70022,69.1,5412,5.3,38275,52.9,34076,47.1,Buckeye,Arizona
"Antioch city, California",6,2252,37081.0,4869.0,9655.0,44723.0,44723.0,46467.0,46467.0,67112.0,87.7,19482.0,25.5,89692,89692,37081,81008,110224,28464,95864,121177,36202,8617,36112,55648,-888888888,10.7,-888888888,12.9,37650,37650,37650,37650,114801,82252,71.6,8433,7.3,41845,48.8,43962,51.2,Antioch,California
"Apple Valley town, California",6,2364,24657.0,4173.0,5482.0,29610.0,29610.0,27012.0,27012.0,39871.0,84.4,8038.0,17.0,54841,54841,24657,63031,79191,17617,68617,85215,25876,7040,49015,56625,-888888888,11.1,-888888888,16.7,25390,25390,25390,25390,76217,49892,65.5,5927,7.8,26515,50.7,25774,49.3,Apple Valley,California
"Grand Junction city, Colorado",8,31660,28352.0,5786.0,9085.0,27510.0,27510.0,29294.0,29294.0,43036.0,92.3,15050.0,32.3,56261,56261,28352,59201,85201,15358,81755,110639,37860,12994,38005,52877,-888888888,5.1,-888888888,11.1,30264,30264,30264,30264,66951,50800,75.9,3934,5.9,26934,48.6,28465,51.4,Grand Junction,Colorado
"Greeley city, Colorado",8,32155,38381.0,7386.0,9310.0,41802.0,41802.0,44234.0,44234.0,54921.0,82.2,17381.0,26.0,84090,84090,38381,64853,83795,26460,76268,94019,30195,11921,41245,55085,-888888888,13.8,-888888888,17.4,40510,40510,40510,40510,109340,74620,68.2,9661,8.8,39538,48.9,41344,51.1,Greeley,Colorado
"Fort Smith city, Arkansas",5,24550,36390.0,7004.0,10738.0,35423.0,35423.0,37162.0,37162.0,49713.0,83.7,13984.0,23.5,71964,71964,36390,44718,69630,23382,54333,86140,28437,13008,28218,36201,-888888888,18.6,-888888888,24.0,39962,39962,39962,39962,89574,67621,75.5,3942,4.4,33627,48.4,35807,51.6,Fort Smith,Arkansas
"Columbus city, Georgia",13,19000,82663.0,16777.0,31783.0,77760.0,77760.0,84812.0,84812.0,120109.0,89.2,42173.0,31.3,159069,159069,82663,52734,71883,51662,63810,81873,29666,31001,34847,51899,-888888888,17.5,-888888888,20.4,91621,91621,91621,91621,205617,146364,71.2,13144,6.4,73433,47.5,81109,52.5,Columbus,Georgia
"Arlington Heights village, Illinois",17,2154,31415.0,5125.0,7019.0,31568.0,31568.0,31620.0,31620.0,53576.0,96.0,33345.0,59.7,61927,61927,31415,102237,127008,21381,125667,154877,53035,10034,56957,65892,-888888888,4.7,-888888888,6.2,33260,33260,33260,33260,75579,58223,77.0,4534,6.0,29788,49.4,30495,50.6,Arlington Heights vi,Illinois
"Aurora city, Illinois",17,3012,62379.0,8784.0,15445.0,71478.0,71478.0,73647.0,73647.0,98728.0,83.2,44729.0,37.7,141905,141905,62379,83996,99985,46688,87268,107461,34054,15691,60157,66269,-888888888,9.3,-888888888,10.1,64677,64677,64677,64677,183491,128411,70.0,14160,7.7,66237,48.8,69584,51.2,Aurora,Illinois
"Boise City city, Idaho",16,8830,99250.0,18903.0,26849.0,96765.0,96765.0,98265.0,98265.0,155705.0,95.0,78635.0,48.0,191700,191700,99250,70217,100475,58861,87347,124914,42814,40389,47779,62996,-888888888,5.4,-888888888,9.6,104110,104110,104110,104110,237457,177607,74.8,14560,6.1,91544,49.2,94644,50.8,Boise City,Idaho
"Noblesville city, Indiana",18,54180,25035.0,3581.0,6291.0,28455.0,28455.0,28143.0,28143.0,44177.0,95.4,22899.0,49.5,54363,54363,25035,81849,100960,19852,90676,110496,36131,5183,47789,58004,-888888888,1.1,-888888888,3.1,25883,25883,25883,25883,71810,50151,69.8,5661,7.9,26209,49.3,26965,50.7,Noblesville,Indiana
"Los Angeles city, California",6,44000,1410594.0,313163.0,438331.0,1594677.0,1594677.0,1627959.0,1627959.0,2145818.0,78.7,1017335.0,37.3,3178578,3178578,1410594,70372,105555,827446,82317,121938,39509,583148,50415,76745,-888888888,12.9,-888888888,17.1,1542391,1542391,1542391,1542391,3849306,2941900,76.4,227790,5.9,1528031,49.4,1563239,50.6,Los Angeles,California
"Rancho Cordova city, California",6,59444,28428.0,6205.0,6037.0,31617.0,31617.0,32043.0,32043.0,47377.0,89.0,15407.0,28.9,62151,62151,28428,84037,96382,19188,102610,111271,34403,9240,46213,59312,-888888888,5.3,-888888888,8.8,30125,30125,30125,30125,80423,56680,70.5,5894,7.3,29530,49.4,30270,50.6,Rancho Cordova,California
"Rancho Cucamonga city, California",6,59451,57290.0,7816.0,15392.0,66298.0,66298.0,71655.0,71655.0,106448.0,91.5,42981.0,36.9,136143,136143,57290,83850,112586,42675,98265,125427,37696,14615,58906,68880,-888888888,10.6,-888888888,12.1,59083,59083,59083,59083,175138,125144,71.5,10961,6.3,62922,48.0,68138,52.0,Rancho Cucamonga,California
"New Bedford city, Massachusetts",25,45000,42743.0,11981.0,12889.0,41481.0,41481.0,40842.0,40842.0,51232.0,74.7,12089.0,17.6,80888,80888,42743,49237,61855,24275,52348,68189,26044,18468,36986,47262,-888888888,16.8,-888888888,18.6,44717,44717,44717,44717,100947,74393,73.7,6500,6.4,39123,50.0,39087,50.0,New Bedford,Massachusetts
"Blaine city, Minnesota",27,6382,25869.0,3540.0,4837.0,26850.0,26850.0,27491.0,27491.0,42639.0,93.5,17268.0,37.9,53128,53128,25869,89533,112265,18491,101043,125898,40711,7378,56959,66453,-888888888,5.3,-888888888,7.0,26622,26622,26622,26622,70953,48433,68.3,5674,8.0,25306,50.0,25333,50.0,Blaine,Minnesota
"Newton city, Massachusetts",25,45560,29961.0,2625.0,6029.0,34231.0,34231.0,37950.0,37950.0,55178.0,97.5,47766.0,84.4,70890,70890,29961,183208,260666,22016,224531,310187,90592,7945,86225,118180,-888888888,2.8,-888888888,3.4,31501,31501,31501,31501,87455,61699,70.5,8161,9.3,31886,46.7,36361,53.3,Newton,Massachusetts
"Ellicott City CDP, Maryland",24,26000,27318.0,2864.0,5789.0,30021.0,30021.0,30756.0,30756.0,48688.0,96.3,35638.0,70.5,59383,59383,27318,141110,167997,22198,153430,187682,60689,5120,74545,81513,-888888888,3.2,-888888888,4.8,27995,27995,27995,27995,76286,52916,69.4,6652,8.7,27758,49.1,28763,50.9,Ellicott Cit,Maryland
"Bloomington city, Minnesota",27,6616,38725.0,7369.0,12570.0,35020.0,35020.0,39356.0,39356.0,61302.0,92.8,29874.0,45.2,73670,73670,38725,80577,101250,22215,99802,125089,44513,16510,47795,64956,-888888888,4.1,-888888888,8.8,41127,41127,41127,41127,89308,69230,77.5,4492,5.0,33613,47.0,37872,53.0,Bloomington,Minnesota
"Santa Rosa city, California",6,70098,68686.0,11994.0,19127.0,72715.0,72715.0,75767.0,75767.0,105721.0,84.4,43958.0,35.1,145676,145676,68686,86459,111487,43259,105179,130636,43653,25427,52281,73266,-888888888,7.0,-888888888,11.1,71553,71553,71553,71553,176942,133935,75.7,12588,7.1,68649,48.5,72823,51.5,Santa Rosa,California
"Sunnyvale city, California",6,77000,59567.0,12471.0,11601.0,66465.0,66465.0,60951.0,60951.0,105478.0,93.4,76166.0,67.4,126032,126032,59567,156059,208202,38750,167145,225099,82723,20817,126832,171467,-888888888,4.0,-888888888,5.0,63065,63065,63065,63065,152258,118826,78.0,7298,4.8,63757,52.0,58874,48.0,Sunnyvale,California
"West Covina city, California",6,84200,32012.0,3643.0,9149.0,43360.0,43360.0,46929.0,46929.0,63734.0,83.9,24577.0,32.4,88889,88889,32012,88476,116576,26384,93527,120736,35743,5628,42500,84111,-888888888,8.1,-888888888,9.7,33792,33792,33792,33792,107031,82198,76.8,6625,6.2,40712,47.5,44993,52.5,West Covina,California
"Hialeah city, Florida",12,30000,75692.0,11766.0,24128.0,89345.0,89345.0,99504.0,99504.0,126888.0,77.6,29947.0,18.3,186771,186771,75692,46674,61346,56043,49008,66419,21712,19649,18038,30398,-888888888,14.7,-888888888,17.9,78076,78076,78076,78076,220479,174010,78.9,12078,5.5,85147,47.1,95735,52.9,Hialeah,Florida
"Boulder city, Colorado",8,7850,42376.0,12345.0,10989.0,48486.0,48486.0,46748.0,46748.0,57601.0,95.7,45460.0,75.6,94422,94422,42376,84167,127620,18491,126097,187094,52420,23885,50068,79089,-888888888,8.9,-888888888,23.0,44793,44793,44793,44793,104178,73607,70.7,14523,13.9,47079,51.2,44952,48.8,Boulder,Colorado
"Birmingham city, Alabama",1,7000,87570.0,23928.0,40033.0,76461.0,76461.0,88901.0,88901.0,117862.0,87.8,39160.0,29.2,162461,162461,87570,36614,58012,42741,45763,71173,27211,44829,30428,43672,-888888888,22.9,-888888888,28.3,108533,108533,108533,108533,196410,148037,75.4,13075,6.7,72649,46.2,84730,53.8,Birmingham,Alabama
"Arden-Arcade CDP, California",6,2553,40688.0,8399.0,13367.0,38656.0,38656.0,41027.0,41027.0,58973.0,85.6,22149.0,32.1,78629,78629,40688,62145,98482,23545,76963,119607,40305,17143,50246,64985,-888888888,16.7,-888888888,20.6,42032,42032,42032,42032,100613,74062,73.6,4732,4.7,36947,48.2,39745,51.8,Arden-Arcad,California
"Casas Adobes CDP, Arizona",4,10670,31869.0,4697.0,8309.0,30636.0,30636.0,32601.0,32601.0,47818.0,92.4,20396.0,39.4,62665,62665,31869,71547,93904,20099,80040,103713,40824,11770,55323,71375,-888888888,4.2,-888888888,6.3,33648,33648,33648,33648,73450,58479,79.6,3299,4.5,29706,48.4,31615,51.6,Casas Adobe,Arizona
"Carlsbad city, California",6,11194,48098.0,6675.0,13010.0,47413.0,47413.0,50126.0,50126.0,84618.0,97.1,52618.0,60.4,96035,96035,48098,124669,152158,30298,148022,187502,65430,17800,68724,87167,-888888888,4.3,-888888888,6.3,51596,51596,51596,51596,115291,90637,78.6,6663,5.8,45377,48.8,47688,51.2,Carlsbad,California
"Waterbury city, Connecticut",9,80000,45008.0,9404.0,17337.0,43222.0,43222.0,48947.0,48947.0,63606.0,82.1,15502.0,20.0,90668,90668,45008,48793,70355,28623,63562,81284,28096,16385,33513,44352,-888888888,21.0,-888888888,20.7,48607,48607,48607,48607,113820,84022,73.8,7051,6.2,41415,46.9,46958,53.1,Waterbury,Connecticut
"Highlands Ranch CDP, Colorado",8,36410,38117.0,4762.0,7612.0,39626.0,39626.0,41252.0,41252.0,66794.0,98.1,43083.0,63.3,79536,79536,38117,137241,159168,27997,152062,179761,61997,10120,75637,95978,-888888888,0.4,-888888888,1.4,38952,38952,38952,38952,98239,72449,73.7,7272,7.4,37116,48.6,39304,51.4,Highlands Ranc,Colorado
"Carmichael CDP, California",6,11390,32172.0,4874.0,10488.0,31022.0,31022.0,35200.0,35200.0,52239.0,92.8,18859.0,33.5,65227,65227,32172,71656,101166,19840,92782,117158,40841,12332,55534,70558,-888888888,11.7,-888888888,15.4,33816,33816,33816,33816,81039,60291,74.4,4194,5.2,29813,46.9,33797,53.1,Carmichae,California
"Carson city, California",6,11530,25743.0,5204.0,6326.0,39221.0,39221.0,38403.0,38403.0,55025.0,84.6,17307.0,26.6,76374,76374,25743,92609,105545,20117,96569,110807,30197,5626,55239,71681,-888888888,6.9,-888888888,11.0,26409,26409,26409,26409,93526,69284,74.1,7251,7.8,37001,50.9,35743,49.1,Carson,California
"Folsom city, California",6,24638,28441.0,3929.0,6428.0,36270.0,36270.0,30749.0,30749.0,51435.0,90.3,31494.0,55.3,65709,65709,28441,125010,144263,19990,156440,175495,50719,8451,60483,66595,-888888888,2.4,-888888888,4.9,29667,29667,29667,29667,81212,61019,75.1,5427,6.7,34684,54.7,28745,45.3,Folsom,California
"Fontana city, California",6,24680,57836.0,8561.0,12669.0,81206.0,81206.0,83085.0,83085.0,110767.0,83.2,27652.0,20.8,160818,160818,57836,93851,101990,49251,94943,103442,28677,8585,60775,68906,-888888888,9.3,-888888888,10.8,58533,58533,58533,58533,210786,146066,69.3,15484,7.3,75793,49.3,77918,50.7,Fontana,California
"Springdale city, Arkansas",5,66080,28942.0,6015.0,7455.0,34264.0,34264.0,33043.0,33043.0,41100.0,75.9,11952.0,22.1,65984,65984,28942,63396,83741,19635,70248,96994,28685,9307,43644,52273,-888888888,7.5,-888888888,10.7,30493,30493,30493,30493,87255,59631,68.3,6805,7.8,32315,51.2,30855,48.8,Springdale,Arkansas
"Madera city, California",6,45022,18595.0,3470.0,6309.0,25458.0,25458.0,26707.0,26707.0,26474.0,62.4,4929.0,11.6,50103,50103,18595,49358,87748,14001,61732,104203,27329,-999999999,15916,-999999999,-888888888,25.5,-888888888,29.5,19676,19676,19676,19676,67956,45491,66.9,5920,8.7,23404,48.6,24735,51.4,Madera,California
"Menifee city, California",6,46842,35601.0,4542.0,9249.0,41686.0,41686.0,43603.0,43603.0,64493.0,89.4,15376.0,21.3,83641,83641,35601,85175,110499,24963,100930,128048,38212,10638,41376,56054,-888888888,7.5,-888888888,10.3,37422,37422,37422,37422,106396,76361,71.8,8068,7.6,38272,47.9,41644,52.1,Menifee,California
"Merced city, California",6,46898,28358.0,3944.0,11381.0,31699.0,31699.0,35610.0,35610.0,41198.0,80.1,9999.0,19.5,65357,65357,28358,52127,73219,20336,61626,81189,24308,8022,31901,46856,-888888888,24.3,-888888888,28.8,30158,30158,30158,30158,89292,56591,63.4,8682,9.7,29010,47.0,32702,53.0,Merced,California
"Milpitas city, California",6,47766,23632.0,3715.0,3466.0,34538.0,34538.0,30076.0,30076.0,50568.0,88.5,31272.0,54.7,63857,63857,23632,169460,183523,18457,180248,197820,55486,5175,92012,117821,-888888888,4.3,-888888888,6.1,24559,24559,24559,24559,79074,60381,76.4,3738,4.7,33239,53.7,28658,46.3,Milpitas,California
"Mission Viejo city, California",6,48256,34168.0,3833.0,6470.0,39763.0,39763.0,37856.0,37856.0,66881.0,95.9,38996.0,55.9,77009,77009,34168,124971,159818,25821,150861,182329,60644,8347,61679,81813,-888888888,4.5,-888888888,5.0,36316,36316,36316,36316,92449,73088,79.1,3901,4.2,38392,51.0,36874,49.0,Mission Viejo,California
