NAME,state,place,households_total,households_total_male,households_total_female,marital_status__male_15_over,marital_status__male_15_over_percent,marital_status__female_15_over,marital_status__female_15_over_percent,edu_high_school_over,edu_high_school_over.1,edu_bach_degree_over,edu_bach_degree_over_percent,employment_status_percent,employment_status,income_household,income_household_median,income_household_mean,income_family,income_family_median,income_family_mean,income_per_capita,income_nonfamily,income_nonfamily_median,income_nonfamily_mean,income_below_poverty_family,income_below_poverty_percent_family,income_below_poverty,income_below_poverty_percent,housing_occupancy,housing_occupancy_percent,housing_in_structure,housing_in_structure_percent,population_total,population_over_21,population_over_21_percent,population_15_to_19,population_15_to_19_percent,population_male_over_18,population_male_over_18_percent,population_female_over_18,population_female_over_18_percent,City,State
"Concord city, North Carolina",37,14100,33859.0,3695.0,8444.0,40445.0,40445.0,44711.0,44711.0,61630.0,90.0,28306.0,41.3,82971,82971,33859,79329,97360,25703,95894,109459,33445,8156,47360,52942,-888888888,7.0,-888888888,9.3,42877,42877,42877,42877,107688,74583,69.3,9513,8.8,37196,47.0,41882,53.0,Concord,North Carolina
"Bayonne city, New Jersey",34,3580,28375.0,6102.0,8678.0,25888.0,25888.0,28684.0,28684.0,44317.0,90.3,19722.0,40.2,54389,54389,28375,73110,94297,17486,86672,108338,37748,10889,47273,57457,-888888888,10.1,-888888888,15.1,30021,30021,30021,30021,69195,51541,74.5,2916,4.2,25283,47.8,27569,52.2,Bayonne,New Jersey
"Albany city, New York",36,1000,44279.0,12615.0,17211.0,40723.0,40723.0,46157.0,46157.0,56825.0,90.0,26509.0,42.0,85930,85930,44279,49763,71842,16294,73440,100748,33398,27985,37380,52360,-888888888,12.8,-888888888,22.0,50720,50720,50720,50720,98624,73394,74.4,8573,8.7,39498,46.9,44686,53.1,Albany,New York
"Bismarck city, North Dakota",38,7200,31426.0,7551.0,9594.0,30361.0,30361.0,30513.0,30513.0,49436.0,95.2,19695.0,37.9,60156,60156,31426,61861,83281,16532,95711,104183,37306,14894,43250,59141,-888888888,5.6,-888888888,8.4,35318,35318,35318,35318,74141,55390,74.7,4536,6.1,29137,50.0,29127,50.0,Bismarck,North Dakota
"Jacksonville city, North Carolina",37,34200,22024.0,4626.0,4923.0,41574.0,41574.0,20206.0,20206.0,29264.0,93.1,7701.0,24.5,61639,61639,22024,44497,60781,14329,56186,71314,25237,-999999999,40834,-999999999,-888888888,13.9,-888888888,16.6,25381,25381,25381,25381,72881,46829,64.3,7956,10.9,41345,68.1,19390,31.9,Jacksonville,North Carolina
"Albuquerque city, New Mexico",35,2000,243582.0,55116.0,76166.0,230289.0,230289.0,238820.0,238820.0,359455.0,91.2,151687.0,38.5,462194,462194,243582,58512,81951,139109,78694,99254,35738,104473,41107,54804,-888888888,12.4,-888888888,16.1,256814,256814,256814,256814,562591,422004,75.0,38425,6.8,219057,49.0,228220,51.0,Albuquerque,New Mexico
"Greensboro city, North Carolina",37,28000,123955.0,23195.0,49558.0,111603.0,111603.0,135757.0,135757.0,181549.0,91.3,75735.0,38.1,243836,243836,123955,51825,75155,68684,66600,90349,32208,55271,38632,54419,-888888888,10.8,-888888888,14.5,139565,139565,139565,139565,298250,216282,72.5,24650,8.3,105740,44.6,131119,55.4,Greensboro,North Carolina
"Greenville city, North Carolina",37,28080,41575.0,12207.0,17928.0,33066.0,33066.0,42487.0,42487.0,43970.0,92.5,18486.0,38.9,74651,74651,41575,36687,60207,16053,54445,88799,29097,25522,29269,40048,-888888888,18.9,-888888888,29.8,45122,45122,45122,45122,88733,61123,68.9,10364,11.7,31946,43.8,40997,56.2,Greenville,North Carolina
"Independence city, Missouri",29,35000,53057.0,10212.0,16716.0,48006.0,48006.0,52900.0,52900.0,79407.0,91.4,16915.0,19.5,99495,99495,53057,52919,71485,32280,68998,82621,30273,20777,32427,50434,-888888888,10.6,-888888888,16.2,57486,57486,57486,57486,122083,91515,75.0,8003,6.6,46001,47.9,50057,52.1,Independence,Missouri
"Asheville city, North Carolina",37,2140,38131.0,7436.0,13091.0,40291.0,40291.0,43162.0,43162.0,67696.0,93.3,38433.0,53.0,82277,82277,38131,59758,84277,18640,91596,115517,38068,19491,37342,53165,-888888888,5.0,-888888888,13.3,52159,52159,52159,52159,94070,77372,82.2,5112,5.4,38422,47.8,41964,52.2,Asheville,North Carolina
"Newark city, New Jersey",34,51000,115145.0,25913.0,48184.0,118667.0,118667.0,125967.0,125967.0,157281.0,78.4,35401.0,17.6,240399,240399,115145,43242,60480,70901,49197,70520,23767,44244,23157,38476,-888888888,21.1,-888888888,25.2,122145,122145,122145,122145,307216,218208,71.0,22010,7.2,112431,48.4,119716,51.6,Newark,New Jersey
"High Point city, North Carolina",37,31400,42738.0,7320.0,13720.0,43535.0,43535.0,49117.0,49117.0,65761.0,88.2,27030.0,36.2,90765,90765,42738,57698,70156,27966,66740,82869,27082,14772,33798,44452,-888888888,11.9,-888888888,15.3,45472,45472,45472,45472,115287,81999,71.1,9510,8.2,40398,46.0,47459,54.0,High Point,North Carolina
"Southfield city, Michigan",26,74900,35649.0,7868.0,16621.0,29320.0,29320.0,35299.0,35299.0,53390.0,96.4,21124.0,38.2,63261,63261,35649,55463,76185,19055,75342,93286,37294,16594,39601,54854,-888888888,8.7,-888888888,12.9,37514,37514,37514,37514,75901,58981,77.7,4533,6.0,27530,44.6,34148,55.4,Southfield,Michigan
"Durham city, North Carolina",37,19000,122412.0,23821.0,42883.0,109215.0,109215.0,126824.0,126824.0,181410.0,92.3,111893.0,56.9,234030,234030,122412,71343,97889,66468,94521,121941,42469,55944,50181,67101,-888888888,6.6,-888888888,12.6,131917,131917,131917,131917,285439,213487,74.8,17821,6.2,104392,45.9,122941,54.1,Durham,North Carolina
"Kansas City city, Missouri",29,38000,219020.0,45839.0,71229.0,195676.0,195676.0,216971.0,216971.0,323678.0,92.4,135445.0,38.7,406818,406818,219020,63396,83593,119331,81658,101841,36456,99689,43109,58980,-888888888,9.0,-888888888,13.4,243950,243950,243950,243950,508415,379781,74.7,27917,5.5,186635,47.2,208395,52.8,Kansas City,Missouri
"Cheektowaga CDP, New York",36,15000,33247.0,7263.0,8963.0,31952.0,31952.0,31254.0,31254.0,49574.0,90.2,15762.0,28.7,62395,62395,33247,64106,74498,19539,77709,87338,32559,13708,48255,52860,-888888888,9.1,-888888888,11.4,34541,34541,34541,34541,76676,58491,76.3,3676,4.8,30259,49.9,30362,50.1,Cheektowag,New York
"Sterling Heights city, Michigan",26,76460,51805.0,8221.0,13737.0,53308.0,53308.0,57748.0,57748.0,82676.0,85.9,29370.0,30.5,109930,109930,51805,69104,87682,37462,80730,98904,34256,14343,39553,52549,-888888888,9.6,-888888888,13.7,53932,53932,53932,53932,133256,102647,77.0,7358,5.5,51547,48.3,55187,51.7,Sterling Heights,Michigan
