City_ID,NAME,state,place,population_total,population_male,population_female,population_median_age,population_median_age_male,population_median_age_female,population_total_2,population_18_to_24,population_25_to_34,population_35_to_44,population_45_to_54,population_55_to_64
89,"Maumelle city, Arkansas",05,44600,21564,9991,11573,37.1,30.5,40.6,64164,5259,11639,8369,6225,8939
90,"North Little Rock city, Arkansas",05,50450,64164,31091,33073,36.7,33.7,37.8,30710,2056,3864,4573,2910,3840
91,"Paragould city, Arkansas",05,53390,30710,15043,15667,36.2,35.6,36.4,40250,4138,5407,5085,4452,5642
92,"Pine Bluff city, Arkansas",05,55310,40250,19456,20794,37.5,36.3,39.7,71114,6023,12709,9845,7942,8182
93,"Rogers city, Arkansas",05,60410,71114,35330,35784,33.5,33.5,33.6,29344,5990,4365,3067,2343,3281
94,"Russellville city, Arkansas",05,61670,29344,14501,14843,31.1,29.9,34.0,20087,4736,2657,2486,1201,2595
95,"Searcy city, Arkansas",05,63020,20087,10192,9895,29.7,31.6,28.2,33021,1786,3185,6673,4281,3361
96,"Sherwood city, Arkansas",05,63800,33021,16476,16545,37.0,36.5,39.1,87255,9015,12311,11731,10650,8670
97,"Springdale city, Arkansas",05,66080,87255,44057,43198,34.0,31.8,35.0,26667,2015,3840,2543,3621,3556
98,"Texarkana city, Arkansas",05,68810,26667,14103,12564,41.8,35.3,47.8,24684,1498,4072,2161,2762,3424
99,"Van Buren city, Arkansas",05,71480,24684,10583,14101,37.4,36.3,39.7,24275,3140,3145,2733,2241,2991
100,"West Memphis city, Arkansas",05,74540,24275,11320,12955,32.7,30.4,37.7,38122,3322,7547,5257,4676,2348
101,"Adelanto city, California",06,00296,38122,20149,17973,28.8,27.4,29.1,76352,3644,11547,12848,11211,8984
102,"Alameda city, California",06,00562,76352,37267,39085,40.6,39.9,41.5,21056,1045,2939,3888,2388,2510
103,"Albany city, California",06,00674,21056,9860,11196,37.7,37.3,38.7,81219,5264,15150,12236,8697,10934
104,"Alhambra city, California",06,00884,81219,36902,44317,39.5,40.4,38.4,51829,4357,6756,8743,7334,6336
105,"Aliso Viejo city, California",06,00947,51829,25155,26674,37.3,37.2,37.5,46510,2916,3980,5733,6901,7180
106,"Altadena CDP, California",06,01290,46510,22963,23547,46.6,43.4,49.4,23371,3410,2975,3049,3218,2853
107,"American Canyon city, California",06,01640,23371,11580,11791,38.7,35.3,40.3,345935,30526,54439,48375,47069,40627
108,"Anaheim city, California",06,02000,345935,168784,177151,37.2,36.6,37.9,44991,2674,4298,8760,3660,6384
109,"Antelope CDP, California",06,02210,44991,21459,23532,36.6,37.8,35.8,114801,9288,14737,16513,13295,16694
110,"Antioch city, California",06,02252,114801,56359,58442,36.9,36.9,37.0,76217,5049,7208,10025,7059,8418
111,"Apple Valley town, California",06,02364,76217,39795,36422,36.8,36.8,36.8,55335,3225,6874,6889,6967,7664
112,"Arcadia city, California",06,02462,55335,25682,29653,43.6,44.4,43.3,100613,7789,19168,11194,13829,11273
113,"Arden-Arcade CDP, California",06,02553,100613,49015,51598,34.7,34.2,36.7,20363,2843,2970,2163,2576,1359
114,"Arvin city, California",06,02924,20363,10278,10085,26.4,25.3,29.0,24152,1565,5915,3487,2507,2140
115,"Ashland CDP, California",06,02980,24152,11262,12890,32.3,30.7,34.0,29707,2040,4399,4139,3838,3972
116,"Atascadero city, California",06,03064,29707,14864,14843,42.3,40.3,44.0,31972,3719,4697,4080,2886,3683
117,"Atwater city, California",06,03162,31972,17348,14624,32.9,32.5,33.7,48670,7326,8296,5423,6685,4683
118,"Azusa city, California",06,03386,48670,24317,24353,31.3,31.6,30.9,407581,42788,62584,54390,42965,41784
119,"Bakersfield city, California",06,03526,407581,198772,208809,32.1,31.6,32.4,70634,8598,11168,7311,11808,8808
120,"Baldwin Park city, California",06,03666,70634,36578,34056,39.3,35.3,42.5,30276,2782,4277,3449,2348,3222
121,"Banning city, California",06,03820,30276,15688,14588,35.0,32.4,37.7,25444,1910,3615,3199,2260,2056
122,"Barstow city, California",06,04030,25444,11358,14086,30.1,30.3,30.0,25017,3477,4304,3377,2962,2867
123,"Bay Point CDP, California",06,04415,25017,11072,13945,32.0,29.8,32.9,55274,3656,5874,10700,5650,4892
124,"Beaumont city, California",06,04758,55274,27042,28232,36.2,36.9,35.7,32829,2866,4936,4750,3469,3419
125,"Bell city, California",06,04870,32829,15399,17430,33.2,33.8,32.6,77407,5794,12168,11902,9724,9167
126,"Bellflower city, California",06,04982,77407,36688,40719,35.6,35.1,36.0,38558,4297,5887,5183,4631,2819
127,"Bell Gardens city, California",06,04996,38558,18772,19786,30.9,29.1,32.7,27217,1197,3141,4564,3137,4096
128,"Belmont city, California",06,05108,27217,13553,13664,42.5,43.9,41.3,26818,2271,3615,2907,4683,2962
129,"Benicia city, California",06,05290,26818,12633,14185,40.5,40.1,44.6,117147,27072,21086,12683,11129,12723
130,"Berkeley city, California",06,06000,117147,57712,59435,33.0,33.3,32.8,31892,2508,4419,4311,3310,3917
131,"Beverly Hills city, California",06,06308,31892,14272,17620,41.9,40.4,44.2,25469,3576,3510,3358,3758,1446
132,"Bloomington CDP, California",06,07064,25469,13018,12451,27.6,26.6,30.8,19755,1472,3802,2822,3540,2090
133,"Blythe city, California",06,07218,19755,13439,6316,40.5,40.9,40.0,26543,2129,4490,4116,1913,2754
134,"Brawley city, California",06,08058,26543,14267,12276,32.2,31.1,32.8,47587,3832,5917,6848,5670,6922
135,"Brea city, California",06,08100,47587,23555,24032,42.7,39.9,44.8,64874,5724,7284,7813,8342,7512
136,"Brentwood city, California",06,08142,64874,31021,33853,40.0,38.7,42.1,83017,8917,10548,12540,10604,11393
137,"Buena Park city, California",06,08786,83017,40663,42354,38.1,38.7,37.8,105407,6668,14909,17696,14912,11775
138,"Burbank city, California",06,08954,105407,49869,55538,42.4,42.3,42.7,30107,1525,4603,4677,3351,3753
139,"Burlingame city, California",06,09066,30107,15323,14784,41.1,40.6,41.7,25947,1801,3411,4042,2385,3661
140,"Calabasas city, California",06,09598,25947,13176,12771,38.4,33.9,39.7,38532,3449,5819,2676,4457,4053
141,"Calexico city, California",06,09710,38532,18367,20165,32.1,31.4,32.5,70838,6565,9213,7105,8553,9407
142,"Camarillo city, California",06,10046,70838,36054,34784,43.1,36.4,48.3,42758,1760,5651,8342,6216,5558
143,"Campbell city, California",06,10345,42758,21977,20781,41.1,40.6,41.4,115291,5882,14084,14038,16613,16869
