name,brewery_type,address_1,City,state_province,postal_code,longitude,latitude,state_x,zip_code,brewery_id,state_y,place,households_total,households_total_male,households_total_female,marital_status__male_15_over,marital_status__male_15_over_percent,marital_status__female_15_over,marital_status__female_15_over_percent,edu_high_school_over,edu_high_school_over.1,edu_bach_degree_over,edu_bach_degree_over_percent,employment_status_percent,employment_status,income_household,income_household_median,income_household_mean,income_family,income_family_median,income_family_mean,income_per_capita,income_nonfamily,income_nonfamily_median,income_nonfamily_mean,income_below_poverty_family,income_below_poverty_percent_family,income_below_poverty,income_below_poverty_percent,housing_occupancy,housing_occupancy_percent,housing_in_structure,housing_in_structure_percent,population_total,population_over_21,population_over_21_percent,population_15_to_19,population_15_to_19_percent,population_male_over_18,population_male_over_18_percent,population_female_over_18,population_female_over_18_percent,State
7 Locks Brewing,micro,12227 Wilkins Ave,Rockville,Maryland,20852-1833,,,Maryland,20852,157, Maryland,67675.0,25537.0,3629.0,6595.0,26037.0,26037.0,28136.0,28136.0,45000.0,92.3,32233.0,66.1,53699.0,53699.0,25537.0,118903.0,143520.0,17049.0,146679.0,169891.0,55158.0,8488.0,75756.0,84983.0,-888888888.0,6.6,-888888888.0,9.5,26760.0,26760.0,26760.0,26760.0,67133.0,50942.0,75.9,3015.0,4.5,24761.0,47.4,27520.0,52.6, Maryland
8-Bit Aleworks,micro,1050 N Fairway Dr Bldg F Ste 10,Avondale,Arizona,85323-5206,,,Arizona,85323,169, Arizona,4720.0,26611.0,2994.0,7113.0,31353.0,31353.0,35470.0,35470.0,44089.0,85.2,11388.0,22.0,65382.0,65382.0,26611.0,71423.0,82221.0,21194.0,78138.0,87869.0,24715.0,5417.0,46120.0,49342.0,-888888888.0,11.4,-888888888.0,12.3,27650.0,27650.0,27650.0,27650.0,90562.0,57976.0,64.0,7707.0,8.5,29088.0,46.8,33115.0,53.2, Arizona
81Bay Brewing Company,micro,4465 W Gandy Blvd Ste 600,Tampa,Florida,33611-3379,,,Florida,33611,170, Florida,71000.0,159925.0,38887.0,50043.0,156300.0,156300.0,161271.0,161271.0,239432.0,89.1,122461.0,45.6,313221.0,313221.0,159925.0,63404.0,102503.0,85092.0,80390.0,130849.0,43517.0,74833.0,46571.0,66783.0,-888888888.0,13.1,-888888888.0,17.7,172886.0,172886.0,172886.0,172886.0,387037.0,287567.0,74.3,24623.0,6.4,150478.0,49.2,155394.0,50.8, Florida
Able Baker Brewing,micro,1051 Mary Crest Rd #K,Henderson,Nevada,89104,,,Nevada,89104,192, Nevada,31900.0,124470.0,20635.0,30854.0,126969.0,126969.0,132722.0,132722.0,213719.0,93.8,80196.0,35.2,255102.0,255102.0,124470.0,77924.0,105807.0,85157.0,88633.0,120457.0,41771.0,39313.0,52899.0,66498.0,-888888888.0,7.2,-888888888.0,9.1,132088.0,132088.0,132088.0,132088.0,322202.0,237034.0,73.6,20007.0,6.2,119211.0,48.5,126567.0,51.5, Nevada
Alarmist Brewing Co,micro,4055 W Peterson Ave Ste REAR,Chicago,Illinois,60646-6072,,,Illinois,60646,240, Illinois,14000.0,1139537.0,276103.0,402722.0,1081277.0,1081277.0,1161996.0,1161996.0,1660075.0,87.1,832511.0,43.7,2212422.0,2212422.0,1139537.0,66576.0,101179.0,580275.0,81796.0,122958.0,43217.0,559262.0,50980.0,75984.0,-888888888.0,12.9,-888888888.0,17.1,1272191.0,1272191.0,1272191.0,1272191.0,2696561.0,2066616.0,76.6,147958.0,5.5,1035787.0,48.0,1120519.0,52.0, Illinois
Alchemist Cannery,regional,35 Crossroad,Waterbury,Vermont,05676-9003,,,Vermont,05676,248, Connecticut,80000.0,45008.0,9404.0,17337.0,43222.0,43222.0,48947.0,48947.0,63606.0,82.1,15502.0,20.0,90668.0,90668.0,45008.0,48793.0,70355.0,28623.0,63562.0,81284.0,28096.0,16385.0,33513.0,44352.0,-888888888.0,21.0,-888888888.0,20.7,48607.0,48607.0,48607.0,48607.0,113820.0,84022.0,73.8,7051.0,6.2,41415.0,46.9,46958.0,53.1, Connecticut
Alexandria Brewing Company,micro,7926 Alexandria Pike Ste 1,Alexandria,Kentucky,41001-1454,,,Kentucky,41001,264, Virginia,1000.0,72024.0,16766.0,25450.0,61885.0,61885.0,67804.0,67804.0,111128.0,94.0,77297.0,65.4,128797.0,128797.0,72024.0,101162.0,141427.0,31269.0,139944.0,188629.0,68020.0,40755.0,80522.0,103454.0,-888888888.0,6.5,-888888888.0,10.4,80350.0,80350.0,80350.0,80350.0,154706.0,124496.0,80.5,4885.0,3.2,60494.0,47.9,65866.0,52.1, Virginia
Alien Brewpub,brewpub,6601 Uptown Blvd NE Ste B,Albuquerque,New Mexico,87110-4207,,,New Mexico,87110,266, New Mexico,2000.0,243582.0,55116.0,76166.0,230289.0,230289.0,238820.0,238820.0,359455.0,91.2,151687.0,38.5,462194.0,462194.0,243582.0,58512.0,81951.0,139109.0,78694.0,99254.0,35738.0,104473.0,41107.0,54804.0,-888888888.0,12.4,-888888888.0,16.1,256814.0,256814.0,256814.0,256814.0,562591.0,422004.0,75.0,38425.0,6.8,219057.0,49.0,228220.0,51.0, New Mexico
Alphabet City Brewing Co,contract,96 Avenue C Frnt 4,New York,New York,10009-7055,,,New York,10009,289, New York,51000.0,3263895.0,684648.0,1210386.0,3312760.0,3312760.0,3682357.0,3682357.0,5066811.0,83.9,2474623.0,41.0,6902783.0,6902783.0,3263895.0,67997.0,107684.0,1892542.0,77219.0,122049.0,42406.0,1371353.0,50765.0,82520.0,-888888888.0,14.4,-888888888.0,18.0,3641931.0,3641931.0,3641931.0,3641931.0,8467513.0,6445654.0,76.1,456072.0,5.4,3169312.0,47.2,3545264.0,52.8, New York
Alpine Dog Brewing Co,micro,1505 N Ogden St,Denver,Colorado,80218-1405,,,Colorado,80218,292, Colorado,20000.0,326634.0,86470.0,97588.0,301634.0,301634.0,298132.0,298132.0,473939.0,90.9,286847.0,55.0,592643.0,592643.0,326634.0,81630.0,115122.0,152927.0,105365.0,145483.0,52690.0,173707.0,63720.0,85674.0,-888888888.0,8.2,-888888888.0,11.6,351829.0,351829.0,351829.0,351829.0,711463.0,558313.0,78.5,35211.0,4.9,291170.0,50.3,287833.0,49.7, Colorado
