NAME,state,place,K200101_001E,K200101_002E,K200101_003E,K200103_001E,K200103_002E,K200103_003E,K200104_001E,K200104_003E,K200104_004E,K200104_005E,K200104_006E,K200104_007E
"Englewood city, Colorado",08,24785,33521,17100,16421,37.2,38.0,36.3,34110,2290,3382,5460,6108,3197
"Erie town, Colorado",08,24950,34110,19029,15081,36.4,34.2,37.6,21282,2289,3192,3652,2329,1837
"Evans city, Colorado",08,25280,21282,10422,10860,32.0,30.2,34.1,20616,7189,4298,1421,876,355
"Fort Carson CDP, Colorado",08,27370,20616,13419,7197,21.9,21.6,23.4,168535,35558,30871,22502,15128,16791
"Fort Collins city, Colorado",08,27425,168535,86253,82282,30.4,29.8,31.0,29673,3338,4768,5224,1708,2552
"Fountain city, Colorado",08,27865,29673,14755,14918,27.3,24.7,29.0,20616,1890,6910,4114,1426,2097
"Four Square Mile CDP, Colorado",08,27950,20616,9443,11173,32.6,33.1,32.3,20614,4283,3253,3033,2696,2002
"Golden city, Colorado",08,30835,20614,12299,8315,35.0,30.1,41.8,66951,8754,9967,8730,5235,8805
"Grand Junction city, Colorado",08,31660,66951,33605,33346,39.0,37.4,40.1,109340,14082,18311,13065,11243,11674
"Greeley city, Colorado",08,32155,109340,52741,56599,31.7,32.0,31.2,98239,8320,10499,11738,18318,13754
"Highlands Ranch CDP, Colorado",08,36410,98239,49741,48498,43.1,40.1,44.3,35304,1596,4103,6145,4806,4792
"Ken Caryl CDP, Colorado",08,40377,35304,18831,16473,39.8,38.8,43.2,31000,1908,3040,5104,4770,3861
"Lafayette city, Colorado",08,41835,31000,14743,16257,40.7,37.9,42.4,156612,11638,31476,20730,17586,21759
"Lakewood city, Colorado",08,43000,156612,77950,78662,39.4,38.5,40.7,45884,3144,6380,5441,4804,7710
"Littleton city, Colorado",08,45255,45884,21142,24742,46.5,48.9,43.4,100427,7227,15043,15225,11429,13714
"Longmont city, Colorado",08,45970,100427,51064,49363,40.9,40.0,42.3,22911,1275,3114,2552,2969,4298
"Louisville city, Colorado",08,46355,22911,11402,11509,42.2,40.8,43.3,77185,5784,9009,10001,9020,10105
"Loveland city, Colorado",08,46465,77185,36579,40606,43.8,43.3,44.2,37307,3022,6571,6137,3824,3912
"Northglenn city, Colorado",08,54330,37307,19058,18249,34.7,31.8,36.7,60316,6530,6914,9209,8517,7654
"Parker town, Colorado",08,57630,60316,30283,30033,35.4,36.5,34.2,112358,11325,14711,13872,12826,14179
"Pueblo city, Colorado",08,62000,112358,56044,56314,38.6,37.1,40.7,32991,2056,4904,4689,3940,3997
"Pueblo West CDP, Colorado",08,62220,32991,16173,16818,41.0,40.7,41.1,34419,2154,5482,5572,4058,4169
"Security-Widefield CDP, Colorado",08,68847,34419,16649,17770,38.7,38.8,38.6,142599,14118,20924,23261,17845,14379
"Thornton city, Colorado",08,77290,142599,72137,70462,34.7,34.9,34.6,114573,10741,23341,15119,12675,14135
"Westminster city, Colorado",08,83835,114573,55545,59028,36.4,36.3,36.5,32723,3217,6750,5000,3063,4854
"Wheat Ridge city, Colorado",08,84440,32723,17147,15576,38.5,37.5,42.0,35682,1624,5175,3957,6243,4935
"Windsor town, Colorado",08,85485,35682,18874,16808,44.3,41.4,47.6,148345,15147,24240,17970,17749,20453
"Bridgeport city, Connecticut",09,08000,148345,70628,77717,38.1,38.2,38.1,60656,6461,7769,7511,7796,9953
"Bristol city, Connecticut",09,08420,60656,30663,29993,41.3,37.9,43.5,86749,9128,11370,12590,13414,9465
"Danbury city, Connecticut",09,18430,86749,41381,45368,41.7,40.2,42.2,50733,4643,7036,5631,6347,8025
"East Hartford CDP, Connecticut",09,22700,50733,22239,28494,38.6,33.0,42.7,27802,2253,4481,2200,3419,5575
"East Haven CDP, Connecticut",09,22980,27802,12536,15266,50.1,46.5,52.4,120593,18030,17991,17161,13294,11649
"Hartford city, Connecticut",09,37000,120593,60109,60484,32.3,29.5,34.9,36371,3931,5559,4244,5186,5547
"Manchester CDP, Connecticut",09,44690,36371,17967,18404,41.3,38.5,44.3,60505,4395,9911,6637,7146,8984
"Meriden city, Connecticut",09,46450,60505,30800,29705,41.7,38.1,44.9,47116,6797,9073,3402,5511,8023
"Middletown city, Connecticut",09,47290,47116,23212,23904,38.3,36.2,43.8,50433,3547,5709,5802,8137,7793
"Milford city (balance), Connecticut",09,47515,50433,23224,27209,47.9,49.2,46.6,31426,2350,3757,6282,2908,4411
"Naugatuck borough, Connecticut",09,49880,31426,15928,15498,40.2,39.9,40.3,73835,7825,12860,9133,8794,7277
"New Britain city, Connecticut",09,50370,73835,34552,39283,34.0,33.3,35.1,135076,21356,26477,17965,12246,12849
"New Haven city, Connecticut",09,52000,135076,63507,71569,31.6,30.2,32.3,30373,2005,3169,2982,3534,6208
"Newington CDP, Connecticut",09,52210,30373,14235,16138,51.5,50.4,54.1,27639,6945,5094,3243,2006,2303
"New London city, Connecticut",09,52280,27639,12884,14755,29.8,30.5,29.6,24168,1945,2829,2937,3733,3095
"North Haven CDP, Connecticut",09,54940,24168,11675,12493,43.3,43.1,44.1,91203,5457,14603,13593,10897,12959
"Norwalk city, Connecticut",09,55990,91203,46488,44715,38.3,37.0,41.0,40021,4303,5192,6751,3720,5503
"Norwich city, Connecticut",09,56200,40021,20592,19429,38.1,37.6,38.5,41469,2915,3857,5412,5095,7542
"Shelton city, Connecticut",09,68100,41469,20279,21190,49.0,47.6,50.0,136312,12486,22988,19925,17543,16885
"Stamford city, Connecticut",09,73000,136312,67837,68475,38.3,37.2,40.2,35361,3538,4902,2777,3842,7544
"Torrington city, Connecticut",09,76500,35361,17298,18063,50.2,48.3,51.5,22376,2895,2067,3764,3707,2252
"Wallingford Center CDP, Connecticut",09,78880,22376,11303,11073,40.9,40.1,42.5,113820,10894,15961,12687,15926,15670
"Waterbury city, Connecticut",09,80000,113820,55311,58509,37.9,36.3,39.9,63957,5642,7422,8463,7842,7979
"West Hartford CDP, Connecticut",09,82660,63957,31117,32840,41.4,40.5,42.5,55291,8908,6797,7145,6595,8020
"West Haven city, Connecticut",09,82800,55291,27488,27803,39.6,38.3,42.0,27111,1843,3225,3804,3123,3958
"Wethersfield CDP, Connecticut",09,84970,27111,13328,13783,43.0,41.4,43.5,23012,1705,2179,2954,4000,3703
"Bear CDP, Delaware",10,04130,23012,12093,10919,43.6,40.1,47.5,38987,6616,4659,5019,3521,4733
"Dover city, Delaware",10,21200,38987,18257,20730,36.6,31.2,39.7,24169,1549,2923,2517,4708,2370
"Middletown town, Delaware",10,47030,24169,11167,13002,47.1,40.8,47.8,31148,15008,3581,1705,1853,2120
"Newark city, Delaware",10,50670,31148,15515,15633,21.6,21.9,20.8,70750,4040,11422,10324,9386,10227
"Wilmington city, Delaware",10,77580,70750,35236,35514,41.0,38.9,43.3,670050,65547,145879,110899,70143,66238
"Washington city, District of Columbia",11,50000,670050,319025,351025,34.8,34.7,35.0,95779,13294,15015,9033,18984,11808
"Alafaya CDP, Florida",12,00410,95779,49226,46553,37.0,33.4,42.7,45522,4006,10390,6660,4464,4187
"Altamonte Springs city, Florida",12,00950,45522,21296,24226,34.3,31.5,36.3,24070,676,3926,2504,3287,3897
"Apollo Beach CDP, Florida",12,01675,24070,12812,11258,45.3,44.4,46.5,55496,3643,7664,10104,8149,4045
"Apopka city, Florida",12,01700,55496,28198,27298,37.6,34.9,39.4,39228,1388,3218,5385,5124,5794
"Aventura city, Florida",12,02681,39228,16954,22274,46.3,44.0,47.2,22227,1519,2604,2101,2138,2528
"Bayonet Point CDP, Florida",12,04162,22227,9599,12628,53.1,50.5,53.7,26561,2098,3542,2715,4030,3800
"Bellview CDP, Florida",12,05462,26561,12723,13838,38.3,30.4,46.2,19885,1145,950,3531,2282,3376
"Bloomingdale CDP, Florida",12,06875,19885,9847,10038,43.2,43.2,43.0,95785,11617,11092,7487,11674,14898
"Boca Raton city, Florida",12,07300,95785,42417,53368,48.0,47.9,48.2,54905,3036,3805,5026,5416,9227
"Bonita Springs city, Florida",12,07525,54905,27817,27088,58.1,55.3,60.0,80083,5903,12232,7785,11018,8849
"Boynton Beach city, Florida",12,07875,80083,38115,41968,44.4,44.1,45.3,55895,3267,6394,5076,6039,7796
"Bradenton city, Florida",12,07950,55895,26504,29391,48.4,47.4,49.8,116994,7634,20908,19512,14024,13212
"Brandon CDP, Florida",12,08150,116994,58834,58160,36.8,36.0,37.9,29002,3882,3811,3441,3671,4192
"Buenaventura Lakes CDP, Florida",12,09415,29002,14063,14939,40.8,40.1,43.8,204519,14917,21942,21306,28501,33868
"Cape Coral city, Florida",12,10275,204519,102415,102104,49.7,48.8,50.5,37026,1904,4475,4927,5405,4902
"Carrollwood CDP, Florida",12,10825,37026,17547,19479,42.0,40.6,43.8,29091,1751,5746,3773,4309,4093
"Casselberry city, Florida",12,11050,29091,15719,13372,41.8,41.1,44.9,31508,2065,3168,5042,4787,6653
"Citrus Park CDP, Florida",12,12425,31508,14922,16586,42.0,42.9,41.2,116667,11498,16993,10960,14378,19083
"Clearwater city, Florida",12,12875,116667,58447,58220,49.0,44.8,51.4,44534,3558,3623,7770,3097,6778
"Clermont city, Florida",12,12925,44534,19906,24628,40.3,40.1,41.8,57105,3633,8293,7249,6445,8322
"Coconut Creek city, Florida",12,13275,57105,26386,30719,43.2,43.1,43.4,33964,1810,3362,5643,4403,4543
"Cooper City city, Florida",12,14125,33964,17131,16833,41.2,41.5,41.1,48367,7401,4982,5631,6268,5672
"Coral Gables city, Florida",12,14250,48367,23424,24943,39.5,38.3,40.2,132822,11190,17875,17507,18920,17692
"Coral Springs city, Florida",12,14400,132822,63117,69705,37.4,37.0,38.0,23139,2324,2136,2744,4014,1952
"Coral Terrace CDP, Florida",12,14412,23139,11058,12081,47.1,40.9,49.9,52473,6145,5860,9061,6913,7328
"Country Club CDP, Florida",12,14895,52473,25825,26648,38.5,37.4,40.9,27828,2331,4598,4751,2504,2493
"Crestview city, Florida",12,15475,27828,14439,13389,34.2,30.5,35.9,44293,4876,3733,6112,6449,5922
"Cutler Bay town, Florida",12,15968,44293,21517,22776,40.6,36.6,43.7,31464,1720,5120,3662,3807,4350
"Dania Beach city, Florida",12,16335,31464,16717,14747,36.4,31.5,42.4,104873,8594,14170,18080,12886,14040
"Davie town, Florida",12,16475,104873,51823,53050,37.5,38.0,37.1,74435,11206,10159,8487,5826,12282
"Daytona Beach city, Florida",12,16525,74435,37832,36603,42.1,38.8,43.9,23541,1113,1916,3291,1870,4253
"DeBary city, Florida",12,16675,23541,10473,13068,43.3,43.9,42.2,86355,6314,14082,9191,11015,14008
"Deerfield Beach city, Florida",12,16725,86355,40338,46017,46.0,45.4,46.2,38769,4428,5366,3171,3851,4316
"DeLand city, Florida",12,16875,38769,16937,21832,35.9,33.4,40.2,66579,3144,8409,6170,8068,10322
"Delray Beach city, Florida",12,17100,66579,30609,35970,51.0,50.4,51.4,95771,8191,13929,13335,14038,11480
"Deltona city, Florida",12,17200,95771,49290,46481,39.0,37.7,41.4,75954,6885,10528,14208,13008,7663
"Doral city, Florida",12,17935,75954,36504,39450,36.6,35.9,37.0,35949,1700,2999,3496,3624,5395
"Dunedin city, Florida",12,18575,35949,17020,18929,57.4,56.9,57.9,33630,2409,2341,4257,5842,5747
"East Lake CDP, Florida",12,19206,33630,16016,17614,47.3,46.9,47.5,25898,2563,4260,3265,3306,3247
"East Lake-Orient Park CDP, Florida",12,19212,25898,13148,12750,32.6,35.7,30.1,23980,950,1309,2601,2416,4274
"Edgewater city, Florida",12,19825,23980,11333,12647,52.2,54.1,49.0,32556,3510,4665,3888,4948,5647
"Egypt Lake-Leto CDP, Florida",12,20108,32556,15354,17202,47.4,47.8,45.7,22072,738,1071,1017,1380,4291
"Englewood CDP, Florida",12,20825,22072,11005,11067,67.4,67.2,67.5,25412,993,5232,2498,2743,5508
"Ensley CDP, Florida",12,20925,25412,11394,14018,43.3,39.6,45.1,37530,1137,3241,2678,3495,6584
"Estero village, Florida",12,21150,37530,18200,19330,62.7,62.8,62.7,19716,1297,3805,1613,2585,3037
"Eustis city, Florida",12,21350,19716,9831,9885,42.8,37.7,48.6,25098,3599,3881,2425,2704,2710
"Ferry Pass CDP, Florida",12,22275,25098,13037,12061,44.5,41.7,47.3,27135,1526,1443,4067,5028,2303
"Fish Hawk CDP, Florida",12,22387,27135,13198,13937,38.2,34.9,39.8,31794,3153,3068,5621,4845,3469
"Fleming Island CDP, Florida",12,22660,31794,14694,17100,39.8,36.8,40.5,23174,2840,1937,2972,2217,2613
"Florida Ridge CDP, Florida",12,23050,23174,11500,11674,42.5,37.5,42.8,181666,13374,25631,22008,27943,25609
"Fort Lauderdale city, Florida",12,24000,181666,97604,84062,45.1,44.0,45.8,92244,5046,13163,14053,10610,8703
"Fort Myers city, Florida",12,24125,92244,46888,45356,41.0,38.0,43.7,47929,5583,4276,4010,3739,5899
"Fort Pierce city, Florida",12,24300,47929,23655,24274,38.5,38.6,37.8,21745,1447,2884,3869,1749,3008
"Fort Walton Beach city, Florida",12,24475,21745,11259,10486,39.7,39.2,42.3,55866,4275,8557,9558,8470,6559
"Fountainebleau CDP, Florida",12,24562,55866,26727,29139,41.5,40.3,43.5,61311,4388,10986,7523,8313,8245
"Four Corners CDP, Florida",12,24581,61311,30815,30496,36.7,36.6,36.9,32342,3239,2855,3761,4666,5260
"Fruit Cove CDP, Florida",12,24925,32342,15126,17216,44.0,42.8,44.3,140406,40897,26633,15008,9089,10134
"Gainesville city, Florida",12,25175,140406,66022,74384,27.7,26.8,29.3,21025,1350,2728,4111,2850,1550
"Gibsonton CDP, Florida",12,25900,21025,9871,11154,33.5,33.0,33.7,26107,1884,3208,6259,4019,1541
"Golden Gate CDP, Florida",12,26300,26107,15267,10840,36.0,37.7,34.7,31971,2812,5622,3312,3362,4797
"Golden Glades CDP, Florida",12,26375,31971,18065,13906,39.0,36.8,45.7,43800,2125,5929,6391,4661,6978
"Greenacres city, Florida",12,27322,43800,22498,21302,40.6,40.1,41.3,29076,2222,4947,3642,4603,2695
"Haines City city, Florida",12,28400,29076,14916,14160,34.0,36.3,33.4,41003,2189,6197,6032,4649,6173
"Hallandale Beach city, Florida",12,28452,41003,20027,20976,43.5,40.2,49.0,220479,17366,26055,23005,34799,35108
"Hialeah city, Florida",12,30000,220479,103821,116658,46.1,45.2,47.5,21531,1486,2620,3026,3148,2128
"Hialeah Gardens city, Florida",12,30025,21531,10642,10889,40.1,40.5,39.7,21102,619,4418,2307,2466,2945
"Holiday CDP, Florida",12,31075,21102,10668,10434,38.9,36.4,40.8,152139,10576,18420,22623,21202,17196
"Hollywood city, Florida",12,32000,152139,76852,75287,41.4,39.8,43.3,80523,6340,12716,12037,10068,8848
"Homestead city, Florida",12,32275,80523,38936,41587,34.8,34.4,35.5,72283,3896,5246,19292,10860,3236
"Horizon West CDP, Florida",12,32610,72283,34214,38069,35.4,38.6,34.0,26843,2806,4905,3689,2516,2873
"Immokalee CDP, Florida",12,33250,26843,14805,12038,30.0,29.8,30.3,26784,2761,4081,4019,3892,2822
"Ives Estates CDP, Florida",12,34400,26784,12357,14427,36.6,32.2,39.0,954624,81365,154666,127300,114094,120363
"Jacksonville city, Florida",12,35000,954624,464197,490427,36.6,35.3,38.3,24623,1903,3502,4138,1685,3367
"Jacksonville Beach city, Florida",12,35050,24623,12085,12538,39.1,40.5,38.7,20208,1474,3413,2120,3005,2761
"Jasmine Estates CDP, Florida",12,35350,20208,8816,11392,41.4,41.2,42.0,60815,4223,5353,7983,6127,10989
"Jupiter town, Florida",12,35875,60815,29156,31659,50.6,50.9,49.8,52043,4107,5145,5366,7398,7719
"Kendale Lakes CDP, Florida",12,36062,52043,25237,26806,50.3,47.8,52.2,81524,4850,10541,9262,11586,11317
"Kendall CDP, Florida",12,36100,81524,39598,41926,43.4,38.0,46.7,32188,2157,3788,3251,6024,5558
"Kendall West CDP, Florida",12,36121,32188,14680,17508,48.8,46.8,50.6,25189,613,1665,3858,3917,4055
"Keystone CDP, Florida",12,36462,25189,12343,12846,44.8,47.4,44.0,26526,1187,4487,4283,2826,4525
"Key West city, Florida",12,36550,26526,15276,11250,42.8,41.0,45.5,79440,7905,11727,11468,9676,7168
"Kissimmee city, Florida",12,36950,79440,39327,40113,33.4,31.0,34.4,115401,12617,14618,13552,12693,13071
"Lakeland city, Florida",12,38250,115401,56475,58926,40.8,38.9,41.6,31356,1273,3359,4219,4254,4798
"Lake Magdalene CDP, Florida",12,38350,31356,16092,15264,45.6,43.6,48.0,34914,3282,4479,4854,5731,4525
"Lakeside CDP, Florida",12,38813,34914,16928,17986,42.4,43.2,42.1,40548,3563,2477,3846,6374,6230
"Lakewood Ranch CDP, Florida",12,39067,40548,20823,19725,53.2,53.4,51.5,42510,4302,7741,6090,5890,3211
"Lake Worth Beach city, Florida",12,39081,42510,22283,20227,31.7,34.6,29.8,38419,2202,4746,6430,5015,4468
"Land O' Lakes CDP, Florida",12,39200,38419,20720,17699,40.8,37.5,44.0,82333,5320,11161,10711,9765,12395
"Largo city, Florida",12,39425,82333,39699,42634,46.3,45.9,47.2,35610,3697,3942,4510,2874,4867
"Lauderdale Lakes city, Florida",12,39525,35610,15196,20414,36.5,36.0,37.2,73461,5706,9587,8002,9437,10411
"Lauderhill city, Florida",12,39550,73461,35729,37732,41.5,37.6,44.7,20410,1223,2841,2458,2761,3090
"Lealman CDP, Florida",12,39775,20410,10771,9639,44.9,43.6,45.7,27813,1079,2928,4694,2676,2589
"Leesburg city, Florida",12,39875,27813,13691,14122,50.3,50.7,47.3,126557,10735,17972,14721,14715,14232
"Lehigh Acres CDP, Florida",12,39925,126557,62265,64292,34.9,35.0,34.8,24979,2804,3398,3242,3660,2383
"Leisure City CDP, Florida",12,39950,24979,13032,11947,32.2,29.8,34.7,22527,119,648,2191,2770,3014
"Liberty Triangle CDP, Florida",12,40387,22527,8971,13556,61.7,64.2,61.1,29785,2332,3280,3273,4323,4585
"Lutz CDP, Florida",12,41775,29785,15016,14769,36.9,37.8,35.9,20572,1990,1938,3427,2040,3594
"Lynn Haven city, Florida",12,41825,20572,9568,11004,38.0,38.0,38.0,22618,1091,6308,2913,2255,2555
"Maitland city, Florida",12,42575,22618,10349,12269,33.0,32.3,33.8,58005,4451,6678,8004,5418,9843
"Margate city, Florida",12,43125,58005,26777,31228,44.1,42.6,46.4,37120,3335,7998,5517,3092,3374
"Meadow Woods CDP, Florida",12,43800,37120,20179,16941,32.2,32.3,30.5,85091,6969,11686,10895,8222,12601
"Melbourne city, Florida",12,43975,85091,42014,43077,42.7,43.0,42.5,33686,2766,2785,4620,3815,5124
"Merritt Island CDP, Florida",12,44275,33686,16630,17056,47.1,44.3,50.7,439906,32551,80616,66177,56543,59175
"Miami city, Florida",12,45000,439906,223073,216833,40.4,39.3,41.8,80673,4702,12279,12969,11866,10524
"Miami Beach city, Florida",12,45025,80673,40562,40111,42.7,43.7,42.2,110881,7391,15379,15456,13083,15649
"Miami Gardens city, Florida",12,45060,110881,52668,58213,38.5,37.5,39.6,30383,1908,3112,4693,4934,5192
"Miami Lakes town, Florida",12,45100,30383,14380,16003,44.8,43.5,46.6,20536,1501,1122,3615,2773,3071
"Midway CDP (Santa Rosa County), Florida",12,45465,20536,10049,10487,46.4,49.2,42.8,20850,1968,2844,3234,2635,1981
"Minneola city, Florida",12,45900,20850,11222,9628,29.8,27.5,29.9,135066,8195,21012,22048,19516,16922
"Miramar city, Florida",12,45975,135066,67751,67315,39.8,38.0,39.9,20110,1206,2480,1634,1196,2594
"Mount Dora city, Florida",12,47050,20110,9459,10651,57.5,53.0,59.3,22296,3219,4269,2413,2409,1924
"Myrtle Grove CDP, Florida",12,47550,22296,12617,9679,29.9,28.9,30.3,41823,2618,6133,5810,4651,6790
"Navarre CDP, Florida",12,48050,41823,21482,20341,36.6,33.8,39.1,21506,2163,1764,2325,2881,2903
"New Port Richey city, Florida",12,48500,21506,10928,10578,45.9,39.0,51.4,31136,691,1798,2388,2713,7013
"New Smyrna Beach city, Florida",12,48625,31136,14839,16297,59.8,59.5,60.4,22482,645,459,4320,3163,2462
"Nocatee CDP, Florida",12,48850,22482,11213,11269,39.5,39.1,40.9,23857,1815,3660,2808,3202,3013
"Northdale CDP, Florida",12,49260,23857,11905,11952,40.2,34.9,47.9,47564,2764,2168,3049,5011,8962
"North Fort Myers CDP, Florida",12,49350,47564,24085,23479,62.5,61.0,63.1,44232,5871,5015,6377,8408,4928
"North Lauderdale city, Florida",12,49425,44232,20391,23841,40.7,40.9,40.6,59225,6180,9506,8147,8001,7478
"North Miami city, Florida",12,49450,59225,29451,29774,37.0,36.8,37.5,42504,2932,6490,6332,6727,4609
"North Miami Beach city, Florida",12,49475,42504,22427,20077,41.5,40.1,43.9,80027,6498,6472,7243,11828,12595
"North Port city, Florida",12,49675,80027,38292,41735,50.6,49.8,51.2,43666,3048,8056,6409,5405,5528
"Oakland Park city, Florida",12,50575,43666,23037,20629,34.9,35.2,34.5,32948,1925,3115,6519,3685,2854
"Oakleaf Plantation CDP, Florida",12,50630,32948,16874,16074,38.1,33.2,39.6,26450,3646,4105,5231,1910,1864
"Oak Ridge CDP, Florida",12,50638,26450,14593,11857,28.3,25.2,34.3,64098,7797,7967,6551,7775,8851
"Ocala city, Florida",12,50750,64098,32720,31378,37.6,37.8,37.3,47453,4107,7561,6963,5297,6722
"Ocoee city, Florida",12,51075,47453,22563,24890,36.5,33.4,38.6,309193,25731,67858,47291,41551,30813
"Orlando city, Florida",12,53000,309193,149826,159367,35.7,35.7,35.6,43523,1842,3316,4416,5371,6031
"Ormond Beach city, Florida",12,53150,43523,20566,22957,53.1,50.8,54.9,39549,2902,3515,6416,6730,5766
"Oviedo city, Florida",12,53575,39549,20305,19244,40.9,39.3,43.2,27126,1390,3848,3372,3022,3266
"Pace CDP, Florida",12,53725,27126,13934,13192,39.1,39.3,37.7,122932,9842,14226,13932,14369,17483
"Palm Bay city, Florida",12,54000,122932,61988,60944,41.2,38.3,44.6,59449,2823,5235,5857,8162,8907
"Palm Beach Gardens city, Florida",12,54075,59449,29820,29629,51.8,50.1,53.5,31235,1566,2563,4222,4181,4506
"Palm City CDP, Florida",12,54175,31235,14546,16689,46.1,48.2,45.0,93845,6141,7672,9904,11707,13987
"Palm Coast city, Florida",12,54200,93845,45426,48419,50.8,49.9,54.1,25059,1285,1447,4174,4189,3220
"Palmetto Bay village, Florida",12,54275,25059,12282,12777,40.5,43.3,39.6,59237,3575,7810,5602,7230,9522
"Palm Harbor CDP, Florida",12,54350,59237,28816,30421,47.1,44.9,48.8,24689,1898,3853,5069,2816,3118
"Palm River-Clair Mel CDP, Florida",12,54387,24689,11214,13475,37.5,38.5,36.5,26771,2657,3721,4067,3908,2612
"Palm Springs village, Florida",12,54450,26771,14054,12717,37.6,34.7,41.2,34045,1798,5634,4182,3233,5338
"Panama City city, Florida",12,54700,34045,17258,16787,39.6,35.5,41.4,35272,3794,2127,3299,6059,6210
"Parkland city, Florida",12,55125,35272,17287,17985,42.1,42.3,40.9,169388,13519,18726,23797,26435,25344
"Pembroke Pines city, Florida",12,55775,169388,82424,86964,44.8,43.3,45.6,53685,4998,7479,5318,6747,6723
"Pensacola city, Florida",12,55925,53685,25274,28411,44.1,40.3,47.5,85927,8198,9373,11344,10439,10392
"Pine Hills CDP, Florida",12,56825,85927,40535,45392,34.2,30.6,36.8,53206,3279,5052,7525,7069,8599
"Pinellas Park city, Florida",12,56975,53206,26953,26253,48.2,47.0,49.5,92981,4801,11706,15785,11611,10981
"Plantation city, Florida",12,57425,92981,44004,48977,39.6,38.9,40.4,39665,4063,4251,7089,4570,4933
"Plant City city, Florida",12,57550,39665,20063,19602,38.4,36.1,41.4,65257,8014,6314,10630,7286,6112
"Poinciana CDP, Florida",12,57900,65257,30309,34948,39.9,39.5,41.1,111356,6679,16810,16324,12947,17889
"Pompano Beach city, Florida",12,58050,111356,57329,54027,41.8,42.2,41.7,65671,4325,5561,5686,7241,12098
"Port Charlotte CDP, Florida",12,58350,65671,30857,34814,56.3,56.0,56.7,63486,6255,7183,6442,8242,9621
"Port Orange city, Florida",12,58575,63486,31813,31673,47.1,47.3,46.9,26841,2601,3400,2195,4115,6962
"Port St. John CDP, Florida",12,58700,26841,12274,14567,52.5,54.4,50.7,217535,15909,27617,29451,26693,31236
"Port St. Lucie city, Florida",12,58715,217535,108164,109371,43.1,41.1,44.5,38795,3272,4519,6598,7804,3583
"Princeton CDP, Florida",12,58975,38795,19886,18909,37.2,36.9,38.1,20321,656,639,1010,962,3478
"Punta Gorda city, Florida",12,59200,20321,9675,10646,68.7,69.6,67.5,43334,2573,4131,8002,5326,4555
"Richmond West CDP, Florida",12,60230,43334,21364,21970,38.4,36.7,40.1,114560,7704,18737,17754,16626,11892
"Riverview CDP, Florida",12,60950,114560,56864,57696,35.6,34.7,37.4,38069,4256,5447,4815,3973,5522
"Riviera Beach city, Florida",12,60975,38069,18456,19613,39.0,39.1,39.0,28311,2218,4955,3570,3532,3201
"Rockledge city, Florida",12,61500,28311,13855,14456,39.1,37.1,39.8,39042,2201,5663,4885,4618,4020
"Royal Palm Beach village, Florida",12,62100,39042,18499,20543,38.7,37.2,40.6,21233,2406,3099,3280,1766,2462
"Ruskin CDP, Florida",12,62275,21233,10512,10721,32.7,33.1,32.5,62045,4298,9170,10487,8370,7296
"St. Cloud city, Florida",12,62625,62045,32972,29073,37.1,36.6,37.8,258214,16590,41950,33209,31713,35492
"St. Petersburg city, Florida",12,63000,258214,123464,134750,41.9,41.1,42.6,60676,6153,10649,9269,7204,7030
"Sanford city, Florida",12,63650,60676,29668,31008,37.1,37.0,37.3,54756,4620,7209,4729,6159,6817
"Sarasota city, Florida",12,64175,54756,25102,29654,47.8,46.0,49.9,25701,953,2315,2434,2767,5289
"Sebastian city, Florida",12,64825,25701,12458,13243,57.7,57.2,58.4,25271,2557,1827,4444,3990,4160
"Silver Springs Shores CDP, Florida",12,66175,25271,11008,14263,43.3,39.2,52.1,22262,1688,2948,2049,2385,4108
"South Bradenton CDP, Florida",12,67258,22262,10237,12025,51.1,50.8,51.5,40245,2892,7049,4219,6172,5212
"South Miami Heights CDP, Florida",12,67575,40245,20507,19738,40.8,33.2,44.0,123509,8663,14749,15465,15250,16841
"Spring Hill CDP, Florida",12,68350,123509,60302,63207,44.5,41.4,45.9,27851,355,1527,1162,1630,2689
"Sun City Center CDP, Florida",12,69250,27851,11763,16088,70.7,70.8,70.7,96031,7838,13119,11584,11727,12626
"Sunrise city, Florida",12,69700,96031,44827,51204,39.6,39.0,41.1,197103,52160,31152,24686,16528,16122
"Tallahassee city, Florida",12,70600,197103,92682,104421,29.6,28.8,30.2,71522,5156,7927,8752,8999,10230
"Tamarac city, Florida",12,70675,71522,32989,38533,43.7,41.8,47.5,53544,5036,5163,6136,9211,9845
"Tamiami CDP, Florida",12,70700,53544,26681,26863,48.2,44.4,50.9,387037,37181,69913,56169,45440,42276
"Tampa city, Florida",12,71000,387037,190098,196939,35.8,35.6,35.9,25558,1173,2382,2834,2814,5306
"Tarpon Springs city, Florida",12,71150,25558,12170,13388,56.0,53.6,57.2,27016,2661,5544,4102,2358,2619
"Temple Terrace city, Florida",12,71400,27016,13121,13895,33.1,31.9,33.7,35872,2517,4202,5379,5542,6954
"The Acreage CDP, Florida",12,71564,35872,18016,17856,44.2,44.7,42.7,20827,1705,3103,2078,2875,4053
"The Crossings CDP, Florida",12,71567,20827,10081,10746,43.9,40.5,44.4,52742,3888,5953,6839,8708,9102
"The Hammocks CDP, Florida",12,71569,52742,25473,27269,46.0,45.1,47.7,80691,52,237,847,1038,7703
"The Villages CDP, Florida",12,71625,80691,37988,42703,74.1,74.5,73.7,48877,2807,7334,6511,5909,5928
