NAME,state,place,total_population
"Paramount city, California",06,55618,52514
"Pasadena city, California",06,56000,135745
"Patterson city, California",06,56112,21801
"Perris city, California",06,56700,79831
"Petaluma city, California",06,56784,59393
"Pico Rivera city, California",06,56924,60755
"Pittsburg city, California",06,57456,76551
"Placentia city, California",06,57526,51269
"Pleasant Hill city, California",06,57764,34297
"Pleasanton city, California",06,57792,78250
"Pomona city, California",06,58072,148339
"Porterville city, California",06,58240,62739
"Port Hueneme city, California",06,58296,21898
"Poway city, California",06,58520,48438
"Ramona CDP, California",06,59346,23043
"Rancho Cordova city, California",06,59444,80423
"Rancho Cucamonga city, California",06,59451,175138
"Rancho Palos Verdes city, California",06,59514,41291
"Rancho San Diego CDP, California",06,59550,24172
"Rancho Santa Margarita city, California",06,59587,47446
"Redding city, California",06,59920,93466
"Redlands city, California",06,59962,73280
"Redondo Beach city, California",06,60018,69779
"Redwood City city, California",06,60102,81653
"Reedley city, California",06,60242,25234
"Rialto city, California",06,60466,104380
"Richmond city, California",06,60620,115642
"Ridgecrest city, California",06,60704,28112
"Rio Linda CDP, California",06,60942,19425
"Ripon city, California",06,61026,20313
"Riverbank city, California",06,61068,24836
"Riverside city, California",06,62000,317257
"Rocklin city, California",06,62364,72986
"Rohnert Park city, California",06,62546,44404
"Rosamond CDP, California",06,62826,23252
"Rosedale CDP, California",06,62854,20724
"Rosemead city, California",06,62896,50235
"Rosemont CDP, California",06,62910,23065
"Roseville city, California",06,62938,151902
"Rowland Heights CDP, California",06,63218,47383
"Sacramento city, California",06,64000,525028
"Salinas city, California",06,64224,162780
"San Bernardino city, California",06,65000,222194
"San Bruno city, California",06,65028,42292
"San Buenaventura (Ventura) city, California",06,65042,109938
"San Carlos city, California",06,65070,30023
"San Clemente city, California",06,65084,63898
"San Diego city, California",06,66000,1381600
"San Dimas city, California",06,66070,34070
"San Fernando city, California",06,66140,25500
"San Francisco city, California",06,67000,815201
"San Gabriel city, California",06,67042,38670
"Sanger city, California",06,67056,26719
"San Jacinto city, California",06,67112,55294
"San Jose city, California",06,68000,983530
"San Juan Capistrano city, California",06,68028,34955
"San Leandro city, California",06,68084,88878
"San Lorenzo CDP, California",06,68112,29010
"San Luis Obispo city, California",06,68154,47536
"San Marcos city, California",06,68196,94927
"San Mateo city, California",06,68252,102175
"San Pablo city, California",06,68294,31766
"San Rafael city, California",06,68364,60758
"San Ramon city, California",06,68378,86939
"Santa Ana city, California",06,69000,309468
"Santa Barbara city, California",06,69070,88252
"Santa Clara city, California",06,69084,127155
"Santa Clarita city, California",06,69088,224588
"Santa Cruz city, California",06,69112,61938
"Santa Maria city, California",06,69196,109709
"Santa Monica city, California",06,70000,91103
"Santa Paula city, California",06,70042,30750
"Santa Rosa city, California",06,70098,176942
"Santee city, California",06,70224,59700
"Saratoga city, California",06,70280,30161
"Seal Beach city, California",06,70686,24941
"Seaside city, California",06,70742,32083
"Selma city, California",06,70882,24625
"Simi Valley city, California",06,72016,125967
"Soledad city, California",06,72520,24777
"South Gate city, California",06,73080,91148
"South Lake Tahoe city, California",06,73108,22752
"South Pasadena city, California",06,73220,26317
"South San Francisco city, California",06,73262,64256
"South Whittier CDP, California",06,73430,59242
"Spring Valley CDP (San Diego County), California",06,73696,31896
"Stanton city, California",06,73962,37973
"Stevenson Ranch CDP, California",06,74130,22164
"Stockton city, California",06,75000,322107
"Suisun City city, California",06,75630,29169
"Sunnyvale city, California",06,77000,152258
"Temecula city, California",06,78120,110863
"Temescal Valley CDP, California",06,78138,26044
"Temple City city, California",06,78148,35757
"Thousand Oaks city, California",06,78582,125766
"Torrance city, California",06,80000,143589
"Tracy city, California",06,80238,95384
"Tulare city, California",06,80644,70724
"Turlock city, California",06,80812,72673
"Tustin city, California",06,80854,79428
"Twentynine Palms city, California",06,80994,27430
"Union City city, California",06,81204,68668
"Upland city, California",06,81344,79264
"Vacaville city, California",06,81554,103092
"Valinda CDP, California",06,81638,20051
"Vallejo city, California",06,81666,124869
"Valle Vista CDP, California",06,81708,20863
"Victorville city, California",06,82590,135952
"Vineyard CDP, California",06,82852,44260
"Visalia city, California",06,82954,142976
"Vista city, California",06,82996,98671
"Walnut city, California",06,83332,27835
"Walnut Creek city, California",06,83346,69705
"Wasco city, California",06,83542,28183
"Watsonville city, California",06,83668,52068
"West Carson CDP, California",06,84144,19064
"West Covina city, California",06,84200,107031
"West Hollywood city, California",06,84410,34944
"Westminster city, California",06,84550,90213
"Westmont CDP, California",06,84592,39508
