NAME,state,place,total_population
"Sarasota city, Florida",12,64175,54756
"Sebastian city, Florida",12,64825,25701
"Silver Springs Shores CDP, Florida",12,66175,25271
"South Bradenton CDP, Florida",12,67258,22262
"South Miami Heights CDP, Florida",12,67575,40245
"Spring Hill CDP, Florida",12,68350,123509
"Sun City Center CDP, Florida",12,69250,27851
"Sunrise city, Florida",12,69700,96031
"Tallahassee city, Florida",12,70600,197103
"Tamarac city, Florida",12,70675,71522
"Tamiami CDP, Florida",12,70700,53544
"Tampa city, Florida",12,71000,387037
"Tarpon Springs city, Florida",12,71150,25558
"Temple Terrace city, Florida",12,71400,27016
"The Acreage CDP, Florida",12,71564,35872
"The Crossings CDP, Florida",12,71567,20827
"The Hammocks CDP, Florida",12,71569,52742
"The Villages CDP, Florida",12,71625,80691
"Titusville city, Florida",12,71900,48877
"Town 'n' Country CDP, Florida",12,72145,87862
"University CDP (Hillsborough County), Florida",12,73163,48411
"University CDP (Orange County), Florida",12,73172,38572
"Valrico CDP, Florida",12,73700,40444
"Venice city, Florida",12,73900,26048
"Vero Beach South CDP, Florida",12,74200,28650
"Wekiwa Springs CDP, Florida",12,75725,23347
"Wellington village, Florida",12,75812,61450
"Wesley Chapel CDP, Florida",12,75875,77319
"Westchase CDP, Florida",12,76062,31099
"Westchester CDP, Florida",12,76075,49549
"West Little River CDP, Florida",12,76487,29032
"West Melbourne city, Florida",12,76500,27829
"Weston city, Florida",12,76582,67322
"West Palm Beach city, Florida",12,76600,117253
"Winter Garden city, Florida",12,78250,46502
"Winter Haven city, Florida",12,78275,52695
"Winter Park city, Florida",12,78300,29130
"Winter Springs city, Florida",12,78325,38331
"World Golf Village CDP, Florida",12,78740,32722
"Wright CDP, Florida",12,78800,19965
"Yulee CDP, Florida",12,79175,20103
"Zephyrhills city, Florida",12,79225,20901
"Acworth city, Georgia",13,00408,19373
"Albany city, Georgia",13,01052,67146
"Alpharetta city, Georgia",13,01696,66108
"Athens-Clarke County unified government (balance), Georgia",13,03440,126006
"Atlanta city, Georgia",13,04000,496480
"Augusta-Richmond County consolidated government (balance), Georgia",13,04204,200032
"Brookhaven city, Georgia",13,10944,55365
"Buford city, Georgia",13,11784,20663
"Candler-McAfee CDP, Georgia",13,12834,21280
"Canton city, Georgia",13,12988,34580
"Carrollton city, Georgia",13,13492,27488
"Cartersville city, Georgia",13,13688,24476
"Chamblee city, Georgia",13,15172,29777
"Columbus city, Georgia",13,19000,205617
"Dalton city, Georgia",13,21380,34281
"Decatur city, Georgia",13,22052,24569
"Douglasville city, Georgia",13,23900,35557
"Dublin city, Georgia",13,24376,20135
"Duluth city, Georgia",13,24600,31868
"Dunwoody city, Georgia",13,24768,50901
"East Point city, Georgia",13,25720,38145
"Evans CDP, Georgia",13,28044,35211
"Gainesville city, Georgia",13,31908,43413
"Griffin city, Georgia",13,35324,23332
"Hinesville city, Georgia",13,38964,35428
"Johns Creek city, Georgia",13,42425,82078
"Kennesaw city, Georgia",13,43192,33039
"LaGrange city, Georgia",13,44340,31554
"Lawrenceville city, Georgia",13,45488,30510
"Mableton CDP, Georgia",13,48288,39014
"McDonough city, Georgia",13,48624,30356
"Macon-Bibb County, Georgia",13,49008,156762
"Marietta city, Georgia",13,49756,61491
"Martinez CDP, Georgia",13,50036,32627
"Milton city, Georgia",13,51670,41254
"Newnan city, Georgia",13,55020,43300
"Peachtree City city, Georgia",13,59724,38819
"Peachtree Corners city, Georgia",13,59735,42096
"Perry city, Georgia",13,60340,21096
"Pooler city, Georgia",13,62104,26926
"Redan CDP, Georgia",13,63952,26960
"Rome city, Georgia",13,66668,37754
"Roswell city, Georgia",13,67284,92532
"St. Marys city, Georgia",13,67984,22433
"Sandy Springs city, Georgia",13,68516,107179
"Savannah city, Georgia",13,69000,147087
"Smyrna city, Georgia",13,71492,55682
"Snellville city, Georgia",13,71604,21651
"South Fulton city, Georgia",13,72122,108573
"Statesboro city, Georgia",13,73256,33394
"Stockbridge city, Georgia",13,73704,29156
"Stonecrest city, Georgia",13,73784,59858
"Sugar Hill city, Georgia",13,74180,25258
"Suwanee city, Georgia",13,74936,24970
"Tucker city, Georgia",13,77652,36848
"Union City city, Georgia",13,78324,27365
"Valdosta city, Georgia",13,78800,55572
"Warner Robins city, Georgia",13,80508,82252
"Woodstock city, Georgia",13,84176,36206
"East Honolulu CDP, Hawaii",15,06290,49826
"Ewa Gentry CDP, Hawaii",15,07470,30024
"Hilo CDP, Hawaii",15,14650,55567
"Kahului CDP, Hawaii",15,22700,24160
"Kailua CDP (Honolulu County), Hawaii",15,23150,42892
"Kaneohe CDP, Hawaii",15,28250,33358
"Kapolei CDP, Hawaii",15,30300,21090
"Kihei CDP, Hawaii",15,36500,23161
"Makakilo CDP, Hawaii",15,47600,21920
"Mililani Mauka CDP, Hawaii",15,51000,24548
"Mililani Town CDP, Hawaii",15,51050,25422
"Pearl City CDP, Hawaii",15,62600,45021
"Urban Honolulu CDP, Hawaii",15,71550,345532
"Waipahu CDP, Hawaii",15,79700,40414
"Boise City city, Idaho",16,08830,237457
"Caldwell city, Idaho",16,12250,63625
"Coeur d'Alene city, Idaho",16,16750,55901
"Eagle city, Idaho",16,23410,32099
"Idaho Falls city, Idaho",16,39700,66895
"Kuna city, Idaho",16,44290,26676
"Lewiston city, Idaho",16,46540,34478
"Meridian city, Idaho",16,52120,125959
"Moscow city, Idaho",16,54550,23442
"Nampa city, Idaho",16,56260,106186
"Pocatello city, Idaho",16,64090,57090
"Post Falls city, Idaho",16,64810,42611
"Rexburg city, Idaho",16,67420,33850
"Twin Falls city, Idaho",16,82810,53211
"Addison village, Illinois",17,00243,35410
"Algonquin village, Illinois",17,00685,32803
"Alsip village, Illinois",17,01010,20083
"Alton city, Illinois",17,01114,25433
"Arlington Heights village, Illinois",17,02154,75579
"Aurora city, Illinois",17,03012,183491
"Bartlett village, Illinois",17,04013,36681
"Batavia city, Illinois",17,04078,27957
"Belleville city, Illinois",17,04845,41752
"Bellwood village, Illinois",17,04975,21450
"Belvidere city, Illinois",17,05092,25328
"Berwyn city, Illinois",17,05573,55765
"Bloomingdale village, Illinois",17,06587,20926
"Bloomington city, Illinois",17,06613,78283
"Bolingbrook village, Illinois",17,07133,74526
"Bridgeview village, Illinois",17,08225,20394
"Buffalo Grove village, Illinois",17,09447,43390
"Burbank city, Illinois",17,09642,26197
"Calumet City city, Illinois",17,10487,35151
"Carbondale city, Illinois",17,11163,22665
"Carol Stream village, Illinois",17,11332,40760
"Carpentersville village, Illinois",17,11358,37422
"Champaign city, Illinois",17,12385,89116
"Chicago city, Illinois",17,14000,2696561
"Chicago Heights city, Illinois",17,14026,26904
"Cicero town, Illinois",17,14351,83167
"Collinsville city, Illinois",17,15599,20942
"Country Club Hills city, Illinois",17,16691,21884
"Crest Hill city, Illinois",17,17458,21993
"Crystal Lake city, Illinois",17,17887,39758
"Danville city, Illinois",17,18563,26633
"Darien city, Illinois",17,18628,22160
"Decatur city, Illinois",17,18823,70676
"Deerfield village, Illinois",17,18992,21079
"DeKalb city, Illinois",17,19161,40606
"Des Plaines city, Illinois",17,19642,61277
"Dolton village, Illinois",17,20292,22566
"Downers Grove village, Illinois",17,20591,49372
"East Peoria city, Illinois",17,22164,23795
"Edwardsville city, Illinois",17,22697,26000
"Elgin city, Illinois",17,23074,117850
"Elk Grove Village village, Illinois",17,23256,32061
"Elmhurst city, Illinois",17,23620,46657
"Elmwood Park village, Illinois",17,23724,23208
"Evanston city, Illinois",17,24582,77532
"Freeport city, Illinois",17,27884,22626
"Galesburg city, Illinois",17,28326,28131
"Geneva city, Illinois",17,28872,21185
"Glendale Heights village, Illinois",17,29730,30972
"Glen Ellyn village, Illinois",17,29756,28255
"Glenview village, Illinois",17,29938,48661
"Godfrey village, Illinois",17,30094,20859
"Granite City city, Illinois",17,30926,26604
"Grayslake village, Illinois",17,31121,22408
"Gurnee village, Illinois",17,32018,30511
"Hanover Park village, Illinois",17,32746,35652
"Harvey city, Illinois",17,33383,19919
"Highland Park city, Illinois",17,34722,28306
"Hoffman Estates village, Illinois",17,35411,54515
"Homer Glen village, Illinois",17,35835,24990
"Homewood village, Illinois",17,35879,21050
"Huntley village, Illinois",17,36750,28006
"Joliet city, Illinois",17,38570,152563
"Kankakee city, Illinois",17,38934,24372
"Lake Forest city, Illinois",17,41105,20240
"Lake in the Hills village, Illinois",17,41183,25875
"Lansing village, Illinois",17,42028,28832
"Libertyville village, Illinois",17,43250,22029
"Lisle village, Illinois",17,43939,24858
"Lockport city, Illinois",17,44225,23490
"Lombard village, Illinois",17,44407,44207
"Loves Park city, Illinois",17,45031,26744
"McHenry city, Illinois",17,45694,25681
"Machesney Park village, Illinois",17,45726,21927
"Maywood village, Illinois",17,47774,22086
"Melrose Park village, Illinois",17,48242,23658
"Mokena village, Illinois",17,49854,20723
"Moline city, Illinois",17,49867,47004
"Montgomery village, Illinois",17,50218,19976
"Morton Grove village, Illinois",17,50647,25214
"Mount Prospect village, Illinois",17,51089,56496
"Mundelein village, Illinois",17,51349,28230
"Naperville city, Illinois",17,51622,148863
"New Lenox village, Illinois",17,52584,28688
"Niles village, Illinois",17,53000,30099
"Normal town, Illinois",17,53234,54879
"Northbrook village, Illinois",17,53481,33039
"North Chicago city, Illinois",17,53559,30346
"Oak Forest city, Illinois",17,54638,26791
"Oak Lawn village, Illinois",17,54820,57017
"Oak Park village, Illinois",17,54885,53225
"O'Fallon city, Illinois",17,55249,32074
"Orland Park village, Illinois",17,56640,58175
"Oswego village, Illinois",17,56887,40066
"Palatine village, Illinois",17,57225,66272
"Park Forest village, Illinois",17,57732,22924
"Park Ridge city, Illinois",17,57875,40155
"Pekin city, Illinois",17,58447,32606
"Peoria city, Illinois",17,59000,110915
"Plainfield village, Illinois",17,60287,39009
"Quincy city, Illinois",17,62367,39133
"Rockford city, Illinois",17,65000,148539
"Rock Island city, Illinois",17,65078,36535
"Rolling Meadows city, Illinois",17,65338,25106
"Romeoville village, Illinois",17,65442,41095
"Roselle village, Illinois",17,65806,21848
"Round Lake Beach village, Illinois",17,66040,26645
"St. Charles city, Illinois",17,66703,32272
"Schaumburg village, Illinois",17,68003,75913
"Skokie village, Illinois",17,70122,66410
"South Elgin village, Illinois",17,70720,22760
"South Holland village, Illinois",17,70850,21362
"Springfield city, Illinois",17,72000,114340
"Streamwood village, Illinois",17,73157,38304
"Tinley Park village, Illinois",17,75484,50626
"Urbana city, Illinois",17,77005,38686
"Vernon Hills village, Illinois",17,77694,26154
"Villa Park village, Illinois",17,77993,19630
"Waukegan city, Illinois",17,79293,85791
"West Chicago city, Illinois",17,80060,25165
"Westmont village, Illinois",17,80645,24352
"Wheaton city, Illinois",17,81048,53101
"Wheeling village, Illinois",17,81087,38496
"Wilmette village, Illinois",17,82075,27478
"Woodridge village, Illinois",17,83245,32863
"Woodstock city, Illinois",17,83349,27154
"Yorkville city, Illinois",17,84038,20841
"Zion city, Illinois",17,84220,24495
"Anderson city, Indiana",18,01468,54707
"Avon town, Indiana",18,02908,21147
"Bloomington city, Indiana",18,05860,78988
"Brownsburg town, Indiana",18,08416,31604
"Carmel city, Indiana",18,10342,100780
"Clarksville town, Indiana",18,12934,22447
"Columbus city, Indiana",18,14734,51697
"Crown Point city, Indiana",18,16138,34928
"East Chicago city, Indiana",18,19486,26092
"Elkhart city, Indiana",18,20728,49218
"Evansville city, Indiana",18,22000,117273
"Fishers city, Indiana",18,23278,103081
"Fort Wayne city, Indiana",18,25000,263814
"Franklin city, Indiana",18,25450,25328
"Gary city, Indiana",18,27000,62035
"Goshen city, Indiana",18,28386,33659
"Granger CDP, Indiana",18,28800,31609
"Greenfield city, Indiana",18,29520,24192
"Greenwood city, Indiana",18,29898,58653
"Griffith town, Indiana",18,30042,20764
"Hammond city, Indiana",18,31000,76991
"Highland town, Indiana",18,33466,23916
"Hobart city, Indiana",18,34114,28845
"Indianapolis city (balance), Indiana",18,36003,882327
"Jeffersonville city, Indiana",18,38358,50568
"Kokomo city, Indiana",18,40392,58308
"Lafayette city, Indiana",18,40788,72041
"La Porte city, Indiana",18,42246,23862
"Lawrence city, Indiana",18,42426,49359
"Marion city, Indiana",18,46908,29180
"Merrillville town, Indiana",18,48528,36712
"Michigan City city, Indiana",18,48798,32256
"Mishawaka city, Indiana",18,49932,51297
"Muncie city, Indiana",18,51876,64322
"Munster town, Indiana",18,51912,23885
"New Albany city, Indiana",18,52326,35482
"Noblesville city, Indiana",18,54180,71810
"Plainfield town, Indiana",18,60246,34194
"Portage city, Indiana",18,61092,37410
"Richmond city, Indiana",18,64260,36750
"St. John town, Indiana",18,66852,20742
"Schererville town, Indiana",18,68220,29583
"Seymour city, Indiana",18,68832,19522
"Shelbyville city, Indiana",18,69318,20679
"South Bend city, Indiana",18,71000,104523
"Terre Haute city, Indiana",18,75428,57403
"Valparaiso city, Indiana",18,78326,35204
"Westfield city, Indiana",18,82700,51618
"West Lafayette city, Indiana",18,82862,50279
"Zionsville town, Indiana",18,86372,31701
"Ames city, Iowa",19,01855,66422
"Ankeny city, Iowa",19,02305,70289
"Bettendorf city, Iowa",19,06355,39316
"Burlington city, Iowa",19,09550,21155
"Cedar Falls city, Iowa",19,11755,39811
"Cedar Rapids city, Iowa",19,12000,136464
"Clinton city, Iowa",19,14430,24221
"Council Bluffs city, Iowa",19,16860,62416
"Davenport city, Iowa",19,19000,101010
"Des Moines city, Iowa",19,21000,212333
"Dubuque city, Iowa",19,22395,59118
"Fort Dodge city, Iowa",19,28515,24077
"Iowa City city, Iowa",19,38595,74582
"Johnston city, Iowa",19,39765,24186
"Marion city, Iowa",19,49485,41699
"Marshalltown city, Iowa",19,49755,27050
"Mason City city, Iowa",19,50160,23853
"Muscatine city, Iowa",19,55110,25259
"North Liberty city, Iowa",19,57360,23110
"Ottumwa city, Iowa",19,60465,24152
"Sioux City city, Iowa",19,73335,86369
"Urbandale city, Iowa",19,79950,48915
"Waterloo city, Iowa",19,82425,66934
"Waukee city, Iowa",19,82695,26489
"West Des Moines city, Iowa",19,83910,69951
"Derby city, Kansas",20,17800,28063
"Dodge City city, Kansas",20,18250,29256
"Emporia city, Kansas",20,21275,24429
"Garden City city, Kansas",20,25325,27695
"Gardner city, Kansas",20,25425,25789
"Hays city, Kansas",20,31100,21510
"Hutchinson city, Kansas",20,33625,39960
"Junction City city, Kansas",20,35750,22946
"Kansas City city, Kansas",20,36000,154804
"Lawrence city, Kansas",20,38900,95251
"Leavenworth city, Kansas",20,39000,37174
"Leawood city, Kansas",20,39075,33733
"Lenexa city, Kansas",20,39350,58392
"Manhattan city, Kansas",20,44250,57394
"Olathe city, Kansas",20,52575,143006
"Overland Park city, Kansas",20,53775,197113
"Pittsburg city, Kansas",20,56025,23920
"Prairie Village city, Kansas",20,57575,25722
"Salina city, Kansas",20,62700,46008
"Shawnee city, Kansas",20,64500,67521
"Topeka city, Kansas",20,71000,125969
"Wichita city, Kansas",20,79000,395707
"Ashland city, Kentucky",21,02368,22749
"Bowling Green city, Kentucky",21,08902,73513
"Covington city, Kentucky",21,17848,40824
"Elizabethtown city, Kentucky",21,24274,31930
"Florence city, Kentucky",21,27982,32123
"Frankfort city, Kentucky",21,28900,30574
"Georgetown city, Kentucky",21,30700,37032
"Henderson city, Kentucky",21,35866,26049
"Hopkinsville city, Kentucky",21,37918,30679
"Independence city, Kentucky",21,39142,28920
"Jeffersontown city, Kentucky",21,40222,28661
"Lexington-Fayette urban county, Kentucky",21,46027,321793
"Louisville/Jefferson County metro government (balance), Kentucky",21,48006,628577
"Nicholasville city, Kentucky",21,56136,30829
"Owensboro city, Kentucky",21,58620,60012
"Paducah city, Kentucky",21,58836,26278
"Radcliff city, Kentucky",21,63912,26458
"Richmond city, Kentucky",21,65226,35757
"Alexandria city, Louisiana",22,00975,44789
"Baton Rouge city, Louisiana",22,05000,222177
"Bayou Cane CDP, Louisiana",22,05210,22981
"Bossier City city, Louisiana",22,08920,62864
"Central city, Louisiana",22,13960,29957
"Chalmette CDP, Louisiana",22,14135,23399
"Hammond city, Louisiana",22,32755,23846
"Harvey CDP, Louisiana",22,33245,21001
"Houma city, Louisiana",22,36255,33017
"Kenner city, Louisiana",22,39475,65376
"Lafayette city, Louisiana",22,40735,121763
"Lake Charles city, Louisiana",22,41155,81102
"Laplace CDP, Louisiana",22,42030,27633
"Marrero CDP, Louisiana",22,48785,31636
"Metairie CDP, Louisiana",22,50115,144999
"Monroe city, Louisiana",22,51410,47287
"Natchitoches city, Louisiana",22,53545,20445
"New Iberia city, Louisiana",22,54035,27983
"New Orleans city, Louisiana",22,55000,376971
"Prairieville CDP, Louisiana",22,62385,35483
"Ruston city, Louisiana",22,66655,23796
"Shenandoah CDP, Louisiana",22,69225,20309
"Shreveport city, Louisiana",22,70000,183489
"Slidell city, Louisiana",22,70805,28657
"Terrytown CDP, Louisiana",22,75180,26231
"Auburn city, Maine",23,02060,24023
"Bangor city, Maine",23,02795,31922
"Biddeford city, Maine",23,04860,23646
"Lewiston city, Maine",23,38740,36621
"Portland city, Maine",23,60545,68329
"Saco city, Maine",23,64675,19177
"Sanford city, Maine",23,65725,19641
"South Portland city, Maine",23,71990,27000
"Waterville city, Maine",23,80740,20045
"Annapolis city, Maryland",24,01600,40698
"Arbutus CDP, Maryland",24,01975,22356
"Arnold CDP, Maryland",24,02275,24352
"Aspen Hill CDP, Maryland",24,02825,49211
"Ballenger Creek CDP, Maryland",24,03800,26228
"Baltimore city, Maryland",24,04000,576498
"Bel Air North CDP, Maryland",24,05825,28224
"Bel Air South CDP, Maryland",24,05950,58628
"Beltsville CDP, Maryland",24,06400,22683
"Bethesda CDP, Maryland",24,07125,68014
"Bowie city, Maryland",24,08775,57648
"Camp Springs CDP, Maryland",24,12600,24425
"Carney CDP, Maryland",24,13325,25549
"Catonsville CDP, Maryland",24,14125,51748
"Chillum CDP, Maryland",24,16875,35004
"Clarksburg CDP, Maryland",24,17350,27643
"Clinton CDP, Maryland",24,17900,43465
"Cloverly CDP, Maryland",24,18150,20594
"Cockeysville CDP, Maryland",24,18250,25434
"College Park city, Maryland",24,18750,35107
"Columbia CDP, Maryland",24,19125,104043
"Crofton CDP, Maryland",24,20875,31954
"Dundalk CDP, Maryland",24,23975,57861
"Edgewood CDP, Maryland",24,25150,24861
"Eldersburg CDP, Maryland",24,25575,31550
"Elkridge CDP, Maryland",24,25750,27372
"Ellicott City CDP, Maryland",24,26000,76286
"Essex CDP, Maryland",24,26600,38791
"Fairland CDP, Maryland",24,27250,19517
"Fort Washington CDP, Maryland",24,29525,24188
"Frederick city, Maryland",24,30325,79588
"Gaithersburg city, Maryland",24,31175,69109
"Germantown CDP, Maryland",24,32025,85247
"Glen Burnie CDP, Maryland",24,32650,71019
"Greenbelt city, Maryland",24,34775,24557
"Hagerstown city, Maryland",24,36075,43500
"Ilchester CDP, Maryland",24,41475,27084
"Landover CDP, Maryland",24,45325,22625
"Langley Park CDP, Maryland",24,45525,20657
"Laurel city, Maryland",24,45900,29481
"Lochearn CDP, Maryland",24,47450,30798
"Maryland City CDP, Maryland",24,51075,20372
"Middle River CDP, Maryland",24,52300,30612
"Milford Mill CDP, Maryland",24,52562,27938
"Montgomery Village CDP, Maryland",24,53325,32388
"North Bethesda CDP, Maryland",24,56337,48096
"North Laurel CDP, Maryland",24,56725,25245
"North Potomac CDP, Maryland",24,56875,26822
"Odenton CDP, Maryland",24,58300,42944
"Olney CDP, Maryland",24,58900,37831
"Owings Mills CDP, Maryland",24,59425,30905
"Parkville CDP, Maryland",24,60275,25378
"Parole CDP, Maryland",24,60325,20481
"Pasadena CDP, Maryland",24,60475,33221
"Perry Hall CDP, Maryland",24,60975,28032
"Pikesville CDP, Maryland",24,61400,37723
"Potomac CDP, Maryland",24,63300,48246
"Randallstown CDP, Maryland",24,64950,38309
"Reisterstown CDP, Maryland",24,65600,27779
"Rockville city, Maryland",24,67675,67133
"Rosedale CDP, Maryland",24,68400,20828
"Salisbury city, Maryland",24,69925,32935
"Seabrook CDP, Maryland",24,70775,20336
"Severn CDP, Maryland",24,71150,54291
"Severna Park CDP, Maryland",24,71200,41259
"Silver Spring CDP, Maryland",24,72450,80265
"South Laurel CDP, Maryland",24,73650,27496
"Suitland CDP, Maryland",24,75725,26897
"Towson CDP, Maryland",24,78425,62994
"Waldorf CDP, Maryland",24,81175,80123
"Wheaton CDP, Maryland",24,83775,53474
"Woodlawn CDP (Baltimore County), Maryland",24,86475,35719
"Agawam Town city, Massachusetts",25,00840,28494
"Amherst Town city, Massachusetts",25,01370,39388
"Arlington CDP, Massachusetts",25,01640,45615
"Attleboro city, Massachusetts",25,02690,46579
"Barnstable Town city, Massachusetts",25,03690,49591
"Belmont CDP, Massachusetts",25,05105,26833
"Beverly city, Massachusetts",25,05595,42448
"Boston city, Massachusetts",25,07000,654281
"Braintree Town city, Massachusetts",25,07740,38821
"Bridgewater Town city, Massachusetts",25,08130,28811
"Brockton city, Massachusetts",25,09000,105455
"Brookline CDP, Massachusetts",25,09210,62728
"Burlington CDP, Massachusetts",25,09875,25990
"Cambridge city, Massachusetts",25,11000,117097
"Chelsea city, Massachusetts",25,13205,38871
"Chicopee city, Massachusetts",25,13660,55198
"Danvers CDP, Massachusetts",25,16285,27899
"Dedham CDP, Massachusetts",25,16530,25251
"Everett city, Massachusetts",25,21990,48552
"Fall River city, Massachusetts",25,23000,93883
"Fitchburg city, Massachusetts",25,23875,41722
"Framingham city, Massachusetts",25,24960,71260
"Franklin Town city, Massachusetts",25,25172,33025
"Gloucester city, Massachusetts",25,26150,29949
"Haverhill city, Massachusetts",25,29405,67356
"Holyoke city, Massachusetts",25,30840,37927
"Lawrence city, Massachusetts",25,34550,88511
"Leominster city, Massachusetts",25,35075,43610
"Lexington CDP, Massachusetts",25,35250,34075
"Lowell city, Massachusetts",25,37000,114005
"Lynn city, Massachusetts",25,37490,100831
"Malden city, Massachusetts",25,37875,65057
"Marlborough city, Massachusetts",25,38715,41118
"Medford city, Massachusetts",25,39835,62105
"Melrose city, Massachusetts",25,40115,29315
"Methuen Town city, Massachusetts",25,40710,52804
"Milford CDP, Massachusetts",25,41200,28848
"Milton CDP, Massachusetts",25,41725,28385
"Needham CDP, Massachusetts",25,44140,32051
"New Bedford city, Massachusetts",25,45000,100947
"Newton city, Massachusetts",25,45560,87455
"Northampton city, Massachusetts",25,46330,29312
"North Attleborough Town city, Massachusetts",25,46598,30852
"Norwood CDP, Massachusetts",25,50285,31447
"Peabody city, Massachusetts",25,52490,54112
"Pittsfield city, Massachusetts",25,53960,43642
"Quincy city, Massachusetts",25,55745,101131
"Randolph Town city, Massachusetts",25,56000,34710
"Reading CDP, Massachusetts",25,56165,25216
"Revere city, Massachusetts",25,56585,59075
"Salem city, Massachusetts",25,59105,44824
"Saugus CDP, Massachusetts",25,60050,28670
"Somerville city, Massachusetts",25,62535,79819
"Springfield city, Massachusetts",25,67000,154788
"Stoneham CDP, Massachusetts",25,67700,21805
"Taunton city, Massachusetts",25,69170,59600
"Wakefield CDP, Massachusetts",25,72250,27108
"Waltham city, Massachusetts",25,72600,64019
"Watertown Town city, Massachusetts",25,73440,35157
"Wellesley CDP, Massachusetts",25,74210,30182
"Westfield city, Massachusetts",25,76030,40582
"West Springfield Town city, Massachusetts",25,77890,28626
"Weymouth Town city, Massachusetts",25,78972,57672
"Wilmington CDP, Massachusetts",25,80195,22226
"Winchester CDP, Massachusetts",25,80545,22809
"Woburn city, Massachusetts",25,81035,41055
"Worcester city, Massachusetts",25,82000,205917
"Adrian city, Michigan",26,00440,22300
"Allendale CDP, Michigan",26,01340,25961
"Allen Park city, Michigan",26,01380,28224
"Ann Arbor city, Michigan",26,03000,121541
"Auburn Hills city, Michigan",26,04105,24681
"Battle Creek city, Michigan",26,05920,52346
"Bay City city, Michigan",26,06020,32401
"Birmingham city, Michigan",26,08640,21274
"Burton city, Michigan",26,12060,29509
"Dearborn city, Michigan",26,21000,108419
"Dearborn Heights city, Michigan",26,21020,62445
"Detroit city, Michigan",26,22000,632589
"East Lansing city, Michigan",26,24120,46927
"Eastpointe city, Michigan",26,24290,34032
"Farmington Hills city, Michigan",26,27440,83289
"Ferndale city, Michigan",26,27880,19469
"Flint city, Michigan",26,29000,80628
"Forest Hills CDP, Michigan",26,29580,28195
"Garden City city, Michigan",26,31420,26975
"Grand Rapids city, Michigan",26,34000,197423
"Hamtramck city, Michigan",26,36280,28003
"Holland city, Michigan",26,38640,34342
"Holt CDP, Michigan",26,38780,25804
"Inkster city, Michigan",26,40680,25722
"Jackson city, Michigan",26,41420,31346
"Kalamazoo city, Michigan",26,42160,73255
"Kentwood city, Michigan",26,42820,54144
"Lansing city, Michigan",26,46000,111833
"Lincoln Park city, Michigan",26,47800,39642
"Livonia city, Michigan",26,49000,94407
"Madison Heights city, Michigan",26,50560,28226
"Marquette city, Michigan",26,51900,20565
"Midland city, Michigan",26,53780,42310
"Monroe city, Michigan",26,55020,19364
"Mount Pleasant city, Michigan",26,56020,23563
"Muskegon city, Michigan",26,56320,37548
"Norton Shores city, Michigan",26,59140,25183
"Novi city, Michigan",26,59440,66575
"Oak Park city, Michigan",26,59920,29320
"Okemos CDP, Michigan",26,60340,26672
"Pontiac city, Michigan",26,65440,60973
"Portage city, Michigan",26,65560,48855
"Port Huron city, Michigan",26,65820,28827
"Rochester Hills city, Michigan",26,69035,76021
"Romulus city, Michigan",26,69420,25098
"Roseville city, Michigan",26,69800,47150
"Royal Oak city, Michigan",26,70040,57958
"Saginaw city, Michigan",26,70520,43842
"St. Clair Shores city, Michigan",26,70760,58206
"Southfield city, Michigan",26,74900,75901
"Southgate city, Michigan",26,74960,29887
"Sterling Heights city, Michigan",26,76460,133256
"Taylor city, Michigan",26,79000,62570
"Troy city, Michigan",26,80700,86837
"Walker city, Michigan",26,82960,25162
"Warren city, Michigan",26,84000,138142
"Waverly CDP, Michigan",26,84800,25347
"Westland city, Michigan",26,86000,84528
"Wyandotte city, Michigan",26,88900,24678
"Wyoming city, Michigan",26,88940,76747
"Ypsilanti city, Michigan",26,89140,21169
"Andover city, Minnesota",27,01486,32933
"Apple Valley city, Minnesota",27,01900,55653
"Austin city, Minnesota",27,02908,26569
"Blaine city, Minnesota",27,06382,70953
"Bloomington city, Minnesota",27,06616,89308
"Brooklyn Center city, Minnesota",27,07948,32882
"Brooklyn Park city, Minnesota",27,07966,84533
"Burnsville city, Minnesota",27,08794,63945
"Champlin city, Minnesota",27,10846,27463
"Chanhassen city, Minnesota",27,10918,26036
"Chaska city, Minnesota",27,10972,28047
"Columbia Heights city, Minnesota",27,12700,22482
"Coon Rapids city, Minnesota",27,13114,63380
"Cottage Grove city, Minnesota",27,13456,39925
"Crystal city, Minnesota",27,14158,23646
"Duluth city, Minnesota",27,17000,86373
"Eagan city, Minnesota",27,17288,68646
"Eden Prairie city, Minnesota",27,18116,63158
"Edina city, Minnesota",27,18188,53321
"Elk River city, Minnesota",27,18674,26205
"Faribault city, Minnesota",27,20546,24414
"Farmington city, Minnesota",27,20618,19829
"Forest Lake city, Minnesota",27,21770,21782
"Fridley city, Minnesota",27,22814,30311
"Golden Valley city, Minnesota",27,24308,21829
"Hastings city, Minnesota",27,27530,24244
"Inver Grove Heights city, Minnesota",27,31076,35538
"Lakeville city, Minnesota",27,35180,72805
"Lino Lakes city, Minnesota",27,37322,20170
"Mankato city, Minnesota",27,39878,44691
"Maple Grove city, Minnesota",27,40166,70730
"Maplewood city, Minnesota",27,40382,40939
"Minneapolis city, Minnesota",27,43000,425338
"Minnetonka city, Minnesota",27,43252,53266
"Moorhead city, Minnesota",27,43864,42094
"New Brighton city, Minnesota",27,45430,23254
"New Hope city, Minnesota",27,45628,22952
"Northfield city, Minnesota",27,46924,21375
