City_ID,NAME,DP02_0001E,state,place,DP02_0025E
380,"Carson city, California",25743,06,11530,39221
381,"Folsom city, California",28441,06,24638,36270
382,"Fontana city, California",57836,06,24680,81206
383,"Springdale city, Arkansas",28942,05,66080,34264
384,"Madera city, California",18595,06,45022,25458
385,"Menifee city, California",35601,06,46842,41686
386,"Merced city, California",28358,06,46898,31699
387,"Milpitas city, California",23632,06,47766,34538
388,"Mission Viejo city, California",34168,06,48256,39763
389,"Modesto city, California",71775,06,48354,86668
390,"Redding city, California",37302,06,59920,36509
391,"Redlands city, California",24452,06,59962,25675
392,"Redondo Beach city, California",26986,06,60018,27792
393,"Westminster city, California",27935,06,84550,37162
394,"Hollywood city, Florida",61598,12,32000,63052
395,"Homestead city, Florida",27094,12,32275,29156
396,"Horizon West CDP, Florida",-999999999,12,32610,25581
397,"Wilmington city, Delaware",32049,10,77580,29693
398,"Broomfield city, Colorado",30161,08,09280,31208
399,"Chandler city, Arizona",107668,04,12000,113114
400,"Hartford city, Connecticut",45491,09,37000,47484
401,"Bloomington city, Illinois",33803,17,06613,31939
402,"Bolingbrook village, Illinois",24600,17,07133,32255
403,"Eastvale city, California",-999999999,06,21230,27495
404,"Idaho Falls city, Idaho",24257,16,39700,25227
405,"Westminster city, Colorado",47797,08,83835,47017
406,"Iowa City city, Iowa",30270,19,38595,30076
407,"Moreno Valley city, California",54104,06,49270,81719
408,"Baltimore city, Maryland",254370,24,04000,220336
409,"Mountain View city, California",34637,06,49670,36654
410,"Redwood City city, California",29450,06,60102,33974
411,"Brooklyn Park city, Minnesota",30074,27,07966,32338
412,"Rialto city, California",29043,06,60466,37783
413,"Farmington Hills city, Michigan",35224,26,27440,35020
414,"Worcester city, Massachusetts",76065,25,82000,82150
415,"Jacksonville city, Florida",386283,12,35000,371055
416,"Alameda city, California",30281,06,00562,31187
417,"Kendall CDP, Florida",33184,12,36100,31789
418,"Kissimmee city, Florida",25999,12,36950,29112
419,"Castro Valley CDP, California",23103,06,11964,24940
420,"Tucson city, Arizona",223068,04,77000,223284
421,"Urban Honolulu CDP, Hawaii",138398,15,71550,148336
422,"South Bend city, Indiana",42707,18,71000,38892
423,"Murrieta city, California",34414,06,50076,41510
424,"Napa city, California",30418,06,50258,33193
425,"Newport Beach city, California",39131,06,51182,34188
426,"Bethesda CDP, Maryland",27748,24,07125,26863
427,"Richmond city, California",40019,06,60620,42681
428,"Frederick city, Maryland",33907,24,30325,30810
429,"Henderson city, Nevada",124470,32,31900,126969
430,"Duluth city, Minnesota",36310,27,17000,36239
431,"Eagan city, Minnesota",27069,27,17288,27926
432,"Temecula city, California",34958,06,78120,40918
433,"Whittier city, California",27773,06,85292,35949
434,"Lakeland city, Florida",45548,12,38250,45440
435,"Largo city, Florida",36493,12,39425,34193
436,"Lauderhill city, Florida",26555,12,39550,28082
437,"Lehigh Acres CDP, Florida",40295,12,39925,48225
438,"Castle Rock town, Colorado",27249,08,12415,28008
439,"Centennial city, Colorado",39660,08,12815,42655
440,"Bakersfield city, California",128007,06,03526,149642
441,"Baldwin Park city, California",19112,06,03666,31944
442,"Lakewood city, Colorado",70751,08,43000,67093
443,"Chico city, California",40956,06,13014,40643
444,"Johns Creek city, Georgia",29256,13,42425,30047
445,"Champaign city, Illinois",37423,17,12385,36826
446,"Chicago city, Illinois",1139537,17,14000,1081277
447,"Naperville city, Illinois",54377,17,51622,59009
448,"Yuma city, Arizona",36530,04,85540,37872
449,"Fremont city, California",75716,06,26000,94124
450,"Kansas City city, Kansas",57819,20,36000,59236
451,"Lawrence city, Kansas",41041,20,38900,42240
452,"Kenner city, Louisiana",25267,22,39475,24805
453,"Norwalk city, California",26506,06,52526,41324
454,"Boston city, Massachusetts",271941,25,07000,270495
455,"Oakland city, California",170366,06,53000,175322
456,"Quincy city, Massachusetts",44051,25,55745,42664
457,"Riverside city, California",91110,06,62000,126051
458,"Gaithersburg city, Maryland",26764,24,31175,26827
459,"Rocklin city, California",25528,06,62364,28359
460,"Flint city, Michigan",32837,26,29000,32274
461,"Waldorf CDP, Maryland",29701,24,81175,29909
462,"Arvada city, Colorado",50678,08,03455,49227
463,"Alhambra city, California",29022,06,00884,31417
464,"Chino city, California",26774,06,13210,37697
465,"Chino Hills city, California",25703,06,13214,32800
466,"Mesa city, Arizona",199112,04,46000,203198
467,"Chula Vista city, California",83451,06,13392,112443
468,"Citrus Heights city, California",34140,06,13588,35125
469,"Macon-Bibb County, Georgia",57677,13,49008,57794
470,"Cicero town, Illinois",24737,17,14351,34604
471,"Escondido city, California",50171,06,22804,57407
472,"Fresno city, California",181841,06,27000,204752
473,"Fullerton city, California",48423,06,28000,58412
474,"Meridian city, Idaho",47825,16,52120,50004
