Geographic Area Name,Geographic,Area,Zip,City ,State,Total population ,TOTAL Brew Population Age Bracket population ,male_brew_age,Median Income,Number of white households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households:,density (km2),density(mil2)
ZCTA5 51446,ZCTA5,51446,51446,Irwin,IA,520,169,81,38472,229,5,41,54,6,2
ZCTA5 51447,ZCTA5,51447,51447,Kirkman,IA,198,41,21,34375,86,6,0,16,2.3,1
ZCTA5 51448,ZCTA5,51448,51448,Kiron,IA,545,141,48,26139,236,0,28,58,4.1,2
ZCTA5 51449,ZCTA5,51449,51449,Lake City,IA,2098,646,343,29802,792,16,55,226,8.6,3
ZCTA5 51450,ZCTA5,51450,51450,Lake View,IA,1475,383,176,36063,676,20,51,224,10.5,4
ZCTA5 51451,ZCTA5,51451,51451,Lanesboro,IA,112,10,8,33194,38,0,4,16,73.9,29
ZCTA5 51452,ZCTA5,51452,,,,,,,,71,1,7,25,27.4,11
ZCTA5 51453,ZCTA5,51453,51453,Lohrville,IA,631,173,105,28043,223,11,4,81,2.5,1
ZCTA5 51454,ZCTA5,51454,51454,Manilla,IA,1291,428,268,36760,446,13,14,119,5.5,2
ZCTA5 51455,ZCTA5,51455,51432,Aspinwall,IA,2185,881,511,36250,906,29,35,368,7.7,3
ZCTA5 51458,ZCTA5,51458,51458,Odebolt,IA,1451,398,227,32000,475,6,29,171,4.7,2
ZCTA5 51459,ZCTA5,51459,51459,Ralston,IA,75,26,23,47813,29,1,8,9,56.6,22
ZCTA5 51460,ZCTA5,51460,,,,,,,,47,6,0,22,65.8,25
ZCTA5 51461,ZCTA5,51461,51461,Schleswig,IA,1095,489,282,35694,464,24,38,170,8.9,3
ZCTA5 51462,ZCTA5,51462,51462,Scranton,IA,1033,323,177,31913,413,12,43,121,3.3,1
ZCTA5 51463,ZCTA5,51463,51463,Templeton,IA,515,101,60,30972,222,11,2,72,5.8,2
ZCTA5 51465,ZCTA5,51465,51465,Vail,IA,696,223,124,32159,286,14,13,80,5.1,2
ZCTA5 51466,ZCTA5,51466,51466,Wall Lake,IA,1071,301,181,35735,426,21,21,144,9,3
ZCTA5 51467,ZCTA5,51467,51467,Westside,IA,567,134,74,37679,227,6,12,69,3.6,1
ZCTA5 51501,ZCTA5,51501,51501,Council Bluffs,IA,34906,13821,7069,30813,13015,691,1744,5447,565.1,218
ZCTA5 51503,ZCTA5,51503,51503,Council Bluffs,IA,37330,12684,6453,37004,14250,523,1625,5122,118.7,46
ZCTA5 51510,ZCTA5,51510,51510,Carter Lake,IA,3791,1166,782,31725,1155,106,220,326,816.8,315
ZCTA5 51520,ZCTA5,51520,51520,Arion,IA,185,38,20,25469,79,1,5,8,4.1,2
ZCTA5 51521,ZCTA5,51521,51521,Avoca,IA,2202,600,323,39727,792,24,64,329,7.7,3
ZCTA5 51523,ZCTA5,51523,51523,Blencoe,IA,358,120,65,32250,156,16,5,32,3.1,1
ZCTA5 51525,ZCTA5,51525,51525,Carson,IA,1151,381,207,38583,470,25,36,194,6.7,3
ZCTA5 51526,ZCTA5,51526,51526,Crescent,IA,1629,626,383,37652,678,29,31,156,15.5,6
ZCTA5 51527,ZCTA5,51527,51527,Defiance,IA,475,199,142,39395,225,28,5,44,5.6,2
ZCTA5 51528,ZCTA5,51528,51528,Dow City,IA,829,233,145,30189,284,4,35,99,3.7,1
ZCTA5 51529,ZCTA5,51529,51529,Dunlap,IA,1665,513,322,28686,781,40,19,317,5.2,2
ZCTA5 51530,ZCTA5,51530,51530,Earling,IA,728,128,73,26065,251,8,10,91,3.8,1
ZCTA5 51531,ZCTA5,51531,51531,Elk Horn,IA,806,228,122,31480,273,2,3,103,10,4
ZCTA5 51532,ZCTA5,51532,51532,Elliott,IA,604,215,131,30403,261,13,14,61,4.5,2
ZCTA5 51533,ZCTA5,51533,51533,Emerson,IA,816,334,163,36071,415,5,13,118,4.7,2
ZCTA5 51535,ZCTA5,51535,51535,Griswold,IA,1764,437,240,34275,710,24,41,262,4.9,2
ZCTA5 51536,ZCTA5,51536,51536,Hancock,IA,458,101,49,31250,171,6,10,50,3,1
ZCTA5 51537,ZCTA5,51537,51537,Harlan,IA,6509,2145,1070,34494,2695,79,189,1041,15.9,6
ZCTA5 51540,ZCTA5,51540,51540,Hastings,IA,469,66,41,27734,120,1,3,34,2.1,1
ZCTA5 51541,ZCTA5,51541,51541,Henderson,IA,360,121,60,30875,135,10,15,53,4,2
ZCTA5 51542,ZCTA5,51542,51542,Honey Creek,IA,1018,302,160,46190,363,16,17,52,10,4
ZCTA5 51543,ZCTA5,51543,51543,Kimballton,IA,381,108,45,29402,181,4,7,75,7.2,3
ZCTA5 51544,ZCTA5,51544,51544,Lewis,IA,648,191,118,21958,283,4,11,87,5.3,2
ZCTA5 51545,ZCTA5,51545,51545,Little Sioux,IA,345,71,36,17237,123,0,9,53,2.5,1
ZCTA5 51546,ZCTA5,51546,51546,Logan,IA,2815,1227,673,40148,1174,64,62,255,10.3,4
ZCTA5 51548,ZCTA5,51548,51548,Mc Clelland,IA,486,190,125,43274,183,12,9,28,7.3,3
ZCTA5 51549,ZCTA5,51549,51549,Macedonia,IA,498,197,112,45208,217,2,16,58,7.3,3
ZCTA5 51550,ZCTA5,51550,51550,Magnolia,IA,190,39,22,32500,51,1,7,14,87.6,34
ZCTA5 51551,ZCTA5,51551,51551,Malvern,IA,1783,554,408,46713,615,11,49,227,7.8,3
ZCTA5 51552,ZCTA5,51552,51552,Marne,IA,265,95,76,28393,127,6,3,49,3.5,1
ZCTA5 51553,ZCTA5,51553,51553,Minden,IA,992,381,209,39097,379,6,32,104,9.5,4
ZCTA5 51554,ZCTA5,51554,51554,Mineola,IA,172,34,27,33512,48,0,13,20,19.6,8
ZCTA5 51555,ZCTA5,51555,51555,Missouri Valley,IA,5099,1686,846,36042,1842,91,164,628,12.4,5
ZCTA5 51556,ZCTA5,51556,51556,Modale,IA,428,151,105,36510,194,18,21,58,3.3,1
ZCTA5 51557,ZCTA5,51557,51557,Mondamin,IA,779,300,198,40913,377,39,23,104,4.4,2
ZCTA5 51558,ZCTA5,51558,51558,Moorhead,IA,518,159,100,39773,234,7,16,45,3,1
ZCTA5 51559,ZCTA5,51559,51559,Neola,IA,1911,787,444,41108,707,32,79,181,9.1,4
ZCTA5 51560,ZCTA5,51560,51560,Oakland,IA,1998,668,349,31603,686,61,109,186,9,3
ZCTA5 51561,ZCTA5,51561,51561,Pacific Junction,IA,907,385,255,40664,316,14,27,91,6.9,3
ZCTA5 51562,ZCTA5,51562,51562,Panama,IA,463,230,110,38107,187,1,0,41,6,2
ZCTA5 51563,ZCTA5,51563,51563,Persia,IA,681,229,120,32321,273,9,10,39,5.2,2
ZCTA5 51564,ZCTA5,51564,51564,Pisgah,IA,501,163,105,30625,196,26,18,75,4.7,2
ZCTA5 51565,ZCTA5,51565,51565,Portsmouth,IA,464,166,90,42422,244,2,0,57,4.4,2
ZCTA5 51566,ZCTA5,51566,51566,Red Oak,IA,6772,2080,1119,28333,2835,152,359,1113,14.7,6
ZCTA5 51570,ZCTA5,51570,51570,Shelby,IA,1146,338,155,36585,411,9,37,168,5.7,2
ZCTA5 51571,ZCTA5,51571,51571,Silver City,IA,635,257,172,43018,209,3,13,49,5.9,2
ZCTA5 51572,ZCTA5,51572,51572,Soldier,IA,360,152,88,38846,219,6,7,102,4.4,2
ZCTA5 51573,ZCTA5,51573,51573,Stanton,IA,1075,331,182,40903,384,19,26,64,7.2,3
ZCTA5 51575,ZCTA5,51575,51575,Treynor,IA,1738,528,305,52292,577,6,20,101,12,5
ZCTA5 51576,ZCTA5,51576,51576,Underwood,IA,2058,775,349,45855,660,0,63,145,17,7
ZCTA5 51577,ZCTA5,51577,51577,Walnut,IA,1101,279,152,33112,452,4,34,195,4.3,2
ZCTA5 51578,ZCTA5,51578,51578,Westphalia,IA,116,50,33,30625,62,0,6,13,915.7,354
ZCTA5 51579,ZCTA5,51579,51579,Woodbine,IA,2437,772,406,34926,822,29,78,236,7.6,3
ZCTA5 51630,ZCTA5,51630,51630,Blanchard,IA,180,61,42,42738,58,11,1,10,2.6,1
ZCTA5 51631,ZCTA5,51631,51631,Braddyville,IA,297,100,75,29830,142,7,19,40,3.4,1
ZCTA5 51632,ZCTA5,51632,51632,Clarinda,IA,7024,2634,1710,28926,2376,144,170,893,12.6,5
ZCTA5 51636,ZCTA5,51636,51636,Coin,IA,356,201,83,30125,213,8,39,57,3.4,1
ZCTA5 51637,ZCTA5,51637,51637,College Springs,IA,173,113,112,29583,112,11,6,61,76.2,29
ZCTA5 51638,ZCTA5,51638,51638,Essex,IA,1189,364,202,29875,608,29,33,328,6,2
ZCTA5 51639,ZCTA5,51639,51639,Farragut,IA,873,279,184,39511,310,18,19,110,4.2,2
ZCTA5 51640,ZCTA5,51640,51640,Hamburg,IA,1290,525,299,32639,618,18,56,226,5.3,2
ZCTA5 51645,ZCTA5,51645,51645,Imogene,IA,219,99,82,49875,108,0,2,32,2.3,1
ZCTA5 51646,ZCTA5,51646,51646,New Market,IA,730,286,186,32781,335,9,26,134,6.1,2
ZCTA5 51647,ZCTA5,51647,51647,Northboro,IA,173,79,47,,96,14,0,54,2.8,1
ZCTA5 51648,ZCTA5,51648,51648,Percival,IA,166,76,66,44766,127,0,0,63,1.8,1
ZCTA5 51649,ZCTA5,51649,51649,Randolph,IA,355,124,85,31083,111,4,5,22,3.5,1
ZCTA5 51650,ZCTA5,51650,51650,Riverton,IA,322,84,46,31016,106,4,5,50,3.2,1
ZCTA5 51651,ZCTA5,51651,,,,,,,,67,3,1,22,223.1,86
ZCTA5 51652,ZCTA5,51652,51652,Sidney,IA,1629,461,224,30788,594,32,48,271,7.8,3
ZCTA5 51653,ZCTA5,51653,51653,Tabor,IA,1357,434,199,37734,509,7,42,119,15.6,6
ZCTA5 51654,ZCTA5,51654,51654,Thurman,IA,421,134,67,29917,119,0,16,14,3.3,1
ZCTA5 51656,ZCTA5,51656,51656,Yorktown,IA,60,10,17,41250,16,0,0,9,54.1,21
ZCTA5 52002,ZCTA5,52002,52002,Dubuque,IA,17177,6197,3272,41571,6525,292,359,1947,230.6,89
ZCTA5 52003,ZCTA5,52003,52003,Dubuque,IA,14060,5082,2591,42028,5324,258,348,1674,94.9,37
ZCTA5 52030,ZCTA5,52030,52030,Andrew,IA,380,162,100,35625,161,3,26,40,619.7,239
ZCTA5 52032,ZCTA5,52032,52032,Bernard,IA,1424,714,365,33658,575,12,11,120,5.4,2
ZCTA5 52033,ZCTA5,52033,52033,Cascade,IA,3478,1116,575,37394,1201,33,53,408,13,5
ZCTA5 52035,ZCTA5,52035,52035,Colesburg,IA,915,239,146,29881,408,2,31,110,8.3,3
ZCTA5 52036,ZCTA5,52036,,,,,,,,64,1,5,30,113.1,44
ZCTA5 52037,ZCTA5,52037,52037,Delmar,IA,1216,299,164,37083,364,23,27,98,5.2,2
ZCTA5 52038,ZCTA5,52038,52038,Dundee,IA,478,183,137,31667,171,1,17,17,8,3
ZCTA5 52039,ZCTA5,52039,52039,Durango,IA,1195,267,136,31883,319,23,1,93,9.3,4
ZCTA5 52040,ZCTA5,52040,52040,Dyersville,IA,5911,2002,1084,35648,2238,121,106,675,34.7,13
ZCTA5 52041,ZCTA5,52041,52041,Earlville,IA,1490,709,422,43706,734,45,40,206,14.2,5
ZCTA5 52042,ZCTA5,52042,52042,Edgewood,IA,1828,587,346,36517,607,0,39,221,10.6,4
ZCTA5 52044,ZCTA5,52044,52044,Elkport,IA,158,96,49,30795,75,27,0,2,8,3
ZCTA5 52045,ZCTA5,52045,52045,Epworth,IA,2739,890,455,40980,1050,47,100,363,22.1,9
ZCTA5 52046,ZCTA5,52046,52046,Farley,IA,2391,889,452,36097,908,35,70,199,21,8
ZCTA5 52047,ZCTA5,52047,52047,Farmersburg,IA,570,247,142,33333,261,4,31,66,8.2,3
ZCTA5 52048,ZCTA5,52048,52048,Garber,IA,327,118,70,29063,126,15,8,41,3.6,1
ZCTA5 52049,ZCTA5,52049,52049,Garnavillo,IA,1339,366,224,36328,498,3,22,180,6.3,2
ZCTA5 52050,ZCTA5,52050,52050,Greeley,IA,490,171,98,35781,199,0,13,59,6.2,2
ZCTA5 52052,ZCTA5,52052,52052,Guttenberg,IA,2955,759,418,32077,1332,54,54,469,12.2,5
ZCTA5 52053,ZCTA5,52053,52053,Holy Cross,IA,1120,390,220,40612,406,42,11,86,8.1,3
ZCTA5 52054,ZCTA5,52054,52054,La Motte,IA,920,277,160,39861,313,14,12,75,6.2,2
ZCTA5 52056,ZCTA5,52056,,,,,,,,85,11,6,17,182.5,70
ZCTA5 52057,ZCTA5,52057,52036,Delaware,IA,8064,2551,1389,40417,3244,93,106,1162,22.3,9
ZCTA5 52060,ZCTA5,52060,52060,Maquoketa,IA,8494,2788,1515,32489,3336,189,290,1243,19.5,8
ZCTA5 52064,ZCTA5,52064,52064,Miles,IA,752,303,163,38056,307,13,6,82,7.9,3
ZCTA5 52065,ZCTA5,52065,52056,Luxemburg,IA,802,313,229,39063,317,42,5,87,6.5,3
ZCTA5 52066,ZCTA5,52066,52066,North Buena Vista,IA,86,31,22,30938,46,2,0,16,14.1,5
ZCTA5 52068,ZCTA5,52068,52068,Peosta,IA,4835,1860,1129,50258,1577,59,55,274,42.1,16
ZCTA5 52069,ZCTA5,52069,52069,Preston,IA,1512,556,272,26107,596,25,46,178,12.7,5
ZCTA5 52070,ZCTA5,52070,52070,Sabula,IA,1006,363,239,32083,488,31,41,156,9.2,4
ZCTA5 52071,ZCTA5,52071,,,,,,,,63,18,0,15,103.9,40
ZCTA5 52072,ZCTA5,52072,52072,Saint Olaf,IA,384,215,122,,198,2,2,69,11.2,4
ZCTA5 52073,ZCTA5,52073,52073,Sherrill,IA,1590,592,357,39345,552,33,4,165,12.2,5
ZCTA5 52074,ZCTA5,52074,52074,Spragueville,IA,328,101,69,30625,114,4,10,12,4.4,2
ZCTA5 52075,ZCTA5,52075,,,,,,,,66,0,8,26,98.2,38
ZCTA5 52076,ZCTA5,52076,52076,Strawberry Point,IA,2123,722,421,32131,912,48,89,331,8.1,3
ZCTA5 52077,ZCTA5,52077,52077,Volga,IA,362,107,56,34028,140,9,6,43,3.8,1
ZCTA5 52078,ZCTA5,52078,52078,Worthington,IA,847,215,144,34605,249,4,33,54,6,2
ZCTA5 52079,ZCTA5,52079,52079,Zwingle,IA,753,190,121,33674,351,48,0,154,4.9,2
ZCTA5 52133,ZCTA5,52133,52133,Castalia,IA,473,118,58,21290,247,0,38,38,5.3,2
ZCTA5 52134,ZCTA5,52134,52134,Chester,IA,252,106,48,34000,110,0,21,34,4.3,2
ZCTA5 52135,ZCTA5,52135,52135,Clermont,IA,793,215,98,34792,291,2,5,112,8.7,3
ZCTA5 52136,ZCTA5,52136,52136,Cresco,IA,6009,1933,1087,31757,2250,68,195,682,10.6,4
ZCTA5 52140,ZCTA5,52140,52140,Dorchester,IA,553,150,76,32663,226,0,0,109,2.3,1
ZCTA5 52141,ZCTA5,52141,52141,Elgin,IA,1386,366,211,29348,534,4,25,180,6,2
ZCTA5 52142,ZCTA5,52142,52142,Fayette,IA,1797,517,251,23597,557,26,24,268,8.5,3
ZCTA5 52144,ZCTA5,52144,52144,Fort Atkinson,IA,1186,324,195,42607,454,33,17,176,4.8,2
ZCTA5 52146,ZCTA5,52146,52146,Harpers Ferry,IA,867,192,150,34286,395,35,1,133,3.8,1
ZCTA5 52147,ZCTA5,52147,52147,Hawkeye,IA,947,321,197,30459,400,17,13,135,5.6,2
ZCTA5 52151,ZCTA5,52151,52151,Lansing,IA,2057,462,232,31094,839,58,66,345,6.1,2
ZCTA5 52154,ZCTA5,52154,52154,Lawler,IA,981,255,171,36833,349,37,15,103,4.4,2
ZCTA5 52155,ZCTA5,52155,52155,Lime Springs,IA,1244,460,225,33929,528,20,30,160,5.3,2
ZCTA5 52156,ZCTA5,52156,52156,Luana,IA,739,280,157,40380,201,18,13,45,5.5,2
ZCTA5 52157,ZCTA5,52157,52157,Mc Gregor,IA,1645,583,315,29196,807,25,48,319,11.6,4
ZCTA5 52158,ZCTA5,52158,52158,Marquette,IA,273,90,52,20333,152,4,2,88,87.1,34
ZCTA5 52159,ZCTA5,52159,52159,Monona,IA,2232,879,568,37861,1026,30,67,386,12.4,5
ZCTA5 52160,ZCTA5,52160,52160,New Albin,IA,808,320,171,42074,399,4,20,97,8.2,3
ZCTA5 52161,ZCTA5,52161,52161,Ossian,IA,1409,450,278,40056,593,43,10,204,10.2,4
ZCTA5 52162,ZCTA5,52162,52162,Postville,IA,3481,1092,627,31704,952,70,105,197,13.8,5
ZCTA5 52163,ZCTA5,52163,52163,Protivin,IA,273,116,68,40694,145,3,8,48,77.6,30
ZCTA5 52164,ZCTA5,52164,52164,Randalia,IA,193,102,65,31076,123,3,11,31,4.4,2
ZCTA5 52165,ZCTA5,52165,52165,Ridgeway,IA,876,390,226,45085,445,5,10,172,6.2,2
ZCTA5 52166,ZCTA5,52166,52166,Saint Lucas,IA,127,52,34,38125,55,0,7,22,191.5,74
ZCTA5 52168,ZCTA5,52168,52168,Spillville,IA,379,114,74,22614,201,9,14,105,378,146
ZCTA5 52169,ZCTA5,52169,52169,Wadena,IA,417,120,85,37546,154,8,6,70,4.2,2
ZCTA5 52170,ZCTA5,52170,52170,Waterville,IA,499,89,58,39602,254,0,7,94,4.1,2
ZCTA5 52171,ZCTA5,52171,52171,Waucoma,IA,926,242,146,37092,400,14,6,154,4.8,2
ZCTA5 52172,ZCTA5,52172,52172,Waukon,IA,6097,2110,1202,32453,2527,98,123,1148,14.9,6
ZCTA5 52175,ZCTA5,52175,52175,West Union,IA,3412,1088,551,30337,1448,17,100,628,15.9,6
ZCTA5 52201,ZCTA5,52201,52201,Ainsworth,IA,1177,566,375,40137,529,27,34,146,8.8,3
ZCTA5 52202,ZCTA5,52202,52202,Alburnett,IA,1112,404,214,43320,390,9,49,78,16.9,7
ZCTA5 52205,ZCTA5,52205,52205,Anamosa,IA,8782,3368,2216,32649,2986,116,484,941,26.4,10
ZCTA5 52206,ZCTA5,52206,52206,Atkins,IA,2635,1129,595,44722,956,40,59,174,37.6,15
ZCTA5 52207,ZCTA5,52207,52207,Baldwin,IA,343,53,49,26500,139,10,4,54,3.4,1
ZCTA5 52208,ZCTA5,52208,52208,Belle Plaine,IA,2951,1081,622,38152,1233,60,107,436,19.2,7
ZCTA5 52209,ZCTA5,52209,52209,Blairstown,IA,1106,360,218,35083,366,15,27,118,10.1,4
ZCTA5 52210,ZCTA5,52210,52210,Brandon,IA,746,338,160,33784,275,2,24,82,9.9,4
ZCTA5 52211,ZCTA5,52211,52211,Brooklyn,IA,2592,781,458,34469,1146,112,34,511,11.3,4
ZCTA5 52212,ZCTA5,52212,52212,Center Junction,IA,274,129,117,38640,187,0,8,52,6.6,3
ZCTA5 52213,ZCTA5,52213,52213,Center Point,IA,4408,1450,778,40987,1525,29,161,409,21,8
ZCTA5 52214,ZCTA5,52214,52214,Central City,IA,3001,1053,549,39890,1198,45,81,258,13.2,5
ZCTA5 52215,ZCTA5,52215,52215,Chelsea,IA,692,436,228,37500,360,14,18,94,4.7,2
ZCTA5 52216,ZCTA5,52216,52216,Clarence,IA,1461,460,225,30104,611,25,64,245,9.1,4
ZCTA5 52217,ZCTA5,52217,52217,Clutier,IA,505,163,71,23864,227,6,44,72,3.9,2
ZCTA5 52218,ZCTA5,52218,52218,Coggon,IA,1726,640,395,41571,663,15,41,226,8.5,3
ZCTA5 52219,ZCTA5,52219,52219,Prairieburg,IA,160,53,37,32917,59,4,14,19,137.8,53
ZCTA5 52220,ZCTA5,52220,52220,Conroy,IA,252,87,78,44375,76,12,0,39,80,31
ZCTA5 52221,ZCTA5,52221,52221,Guernsey,IA,224,86,47,30463,100,4,25,34,4.5,2
ZCTA5 52222,ZCTA5,52222,52222,Deep River,IA,635,180,92,25960,299,7,50,99,3.4,1
ZCTA5 52223,ZCTA5,52223,52223,Delhi,IA,1389,288,156,39677,437,5,42,168,8.2,3
ZCTA5 52224,ZCTA5,52224,52224,Dysart,IA,1890,734,503,36818,785,43,51,246,7.9,3
ZCTA5 52225,ZCTA5,52225,52225,Elberon,IA,427,85,65,32868,187,3,3,37,4.3,2
ZCTA5 52227,ZCTA5,52227,52227,Ely,IA,3089,1165,631,45049,1054,15,68,284,37.8,15
ZCTA5 52228,ZCTA5,52228,52228,Fairfax,IA,3402,1518,829,49267,1329,39,44,322,37.7,15
ZCTA5 52229,ZCTA5,52229,52229,Garrison,IA,730,329,176,30592,296,14,14,81,6.5,3
ZCTA5 52231,ZCTA5,52231,52231,Harper,IA,316,134,80,33333,136,0,10,48,4.2,2
ZCTA5 52232,ZCTA5,52232,52232,Hartwick,IA,181,148,79,30208,99,6,0,22,5.9,2
ZCTA5 52233,ZCTA5,52233,52233,Hiawatha,IA,7091,2563,1413,33598,2683,88,310,1098,692.9,268
ZCTA5 52235,ZCTA5,52235,52235,Hills,IA,858,279,176,37743,325,8,39,105,147.8,57
ZCTA5 52236,ZCTA5,52236,52236,Homestead,IA,570,112,88,44048,200,9,0,70,6.7,3
ZCTA5 52237,ZCTA5,52237,52237,Hopkinton,IA,1593,518,295,39125,529,28,15,72,7.2,3
ZCTA5 52242,ZCTA5,52242,52242,Iowa City,IA,5657,93,65,3919,19,0,0,0,2069.5,799
ZCTA5 52245,ZCTA5,52245,52243,Iowa City,IA,21874,7722,3939,,8488,194,400,4332,1019.9,394
ZCTA5 52246,ZCTA5,52246,52246,Iowa City,IA,22829,8922,4950,28268,7269,73,409,4163,517.8,200
ZCTA5 52248,ZCTA5,52248,52248,Keota,IA,1674,485,264,39107,663,39,28,201,5.2,2
ZCTA5 52249,ZCTA5,52249,52249,Keystone,IA,912,299,158,36902,355,8,28,107,7,3
ZCTA5 52251,ZCTA5,52251,52251,Ladora,IA,501,260,151,37500,242,6,16,74,7.1,3
ZCTA5 52252,ZCTA5,52252,,,,,,,,30,14,0,7,32,12
ZCTA5 52253,ZCTA5,52253,52253,Lisbon,IA,3356,1040,515,44346,1093,83,61,314,23.1,9
ZCTA5 52254,ZCTA5,52254,52254,Lost Nation,IA,878,221,152,37361,377,59,37,132,6,2
ZCTA5 52255,ZCTA5,52255,52255,Lowden,IA,1189,510,284,30486,549,24,48,222,11.5,4
ZCTA5 52257,ZCTA5,52257,52257,Luzerne,IA,259,55,39,44750,95,1,6,21,4.9,2
ZCTA5 52301,ZCTA5,52301,52301,Marengo,IA,3745,1243,727,36214,1528,68,97,543,11.8,5
ZCTA5 52302,ZCTA5,52302,52302,Marion,IA,43130,17189,8860,39657,16189,602,1437,5634,220.1,85
ZCTA5 52305,ZCTA5,52305,52305,Martelle,IA,663,306,194,30893,277,5,34,97,12,5
ZCTA5 52306,ZCTA5,52306,52306,Mechanicsville,IA,1653,430,250,36981,582,35,34,192,6.8,3
ZCTA5 52307,ZCTA5,52307,52307,Middle Amana,IA,145,40,22,39297,50,0,12,32,85.7,33
ZCTA5 52308,ZCTA5,52308,52308,Millersburg,IA,135,27,25,43750,94,2,4,54,514.4,199
ZCTA5 52309,ZCTA5,52309,52309,Monmouth,IA,419,133,89,40313,265,0,9,86,6.1,2
ZCTA5 52310,ZCTA5,52310,52252,Langworthy,IA,6417,1970,1014,,2513,117,121,999,16.4,6
ZCTA5 52312,ZCTA5,52312,52312,Morley,IA,96,18,14,30577,35,0,2,21,322.7,125
ZCTA5 52313,ZCTA5,52313,52313,Mount Auburn,IA,391,82,61,43036,133,7,2,23,4.3,2
ZCTA5 52315,ZCTA5,52315,52315,Newhall,IA,1171,456,286,41833,503,13,50,184,18,7
ZCTA5 52316,ZCTA5,52316,52316,North English,IA,1622,505,269,32159,562,22,37,214,8,3
ZCTA5 52317,ZCTA5,52317,52317,North Liberty,IA,22096,10573,5642,53229,7054,183,413,2175,245.5,95
ZCTA5 52318,ZCTA5,52318,52318,Norway,IA,908,307,130,36090,409,13,31,105,11.2,4
ZCTA5 52320,ZCTA5,52320,52320,Olin,IA,1087,414,219,32250,448,22,29,142,8.5,3
ZCTA5 52321,ZCTA5,52321,52321,Onslow,IA,451,174,84,35000,196,24,29,43,5,2
ZCTA5 52322,ZCTA5,52322,52322,Oxford,IA,2260,742,403,34183,775,13,44,363,8.7,3
ZCTA5 52323,ZCTA5,52323,52323,Oxford Junction,IA,738,507,296,26064,380,33,25,155,9.2,4
ZCTA5 52324,ZCTA5,52324,52324,Palo,IA,2476,919,517,48580,656,36,39,121,18.7,7
ZCTA5 52325,ZCTA5,52325,52325,Parnell,IA,815,173,108,30365,265,37,9,96,5.1,2
ZCTA5 52326,ZCTA5,52326,52326,Quasqueton,IA,565,310,154,35759,279,6,22,79,304,117
ZCTA5 52327,ZCTA5,52327,52327,Riverside,IA,3333,1000,514,41354,1361,97,96,261,16.8,6
ZCTA5 52328,ZCTA5,52328,52328,Robins,IA,2889,992,513,51503,972,39,60,105,402.6,155
ZCTA5 52329,ZCTA5,52329,52329,Rowley,IA,722,212,141,25500,293,6,16,66,5.7,2
ZCTA5 52330,ZCTA5,52330,52330,Ryan,IA,848,393,249,41719,347,1,7,119,7.3,3
ZCTA5 52332,ZCTA5,52332,52332,Shellsburg,IA,1995,628,352,32161,629,35,37,189,16.5,6
ZCTA5 52333,ZCTA5,52333,52333,Solon,IA,7312,2271,1169,41779,2651,55,163,670,32.7,13
ZCTA5 52334,ZCTA5,52334,52334,South Amana,IA,355,82,45,33472,82,0,0,0,6,2
ZCTA5 52335,ZCTA5,52335,52335,South English,IA,605,220,121,31435,271,4,20,110,5.6,2
ZCTA5 52336,ZCTA5,52336,52336,Springville,IA,2310,978,580,39542,1051,44,61,341,20.7,8
ZCTA5 52337,ZCTA5,52337,52337,Stanwood,IA,828,304,172,31917,326,23,40,127,11.1,4
ZCTA5 52338,ZCTA5,52338,52338,Swisher,IA,3457,1552,896,49609,1354,49,30,294,44.9,17
ZCTA5 52339,ZCTA5,52339,52339,Tama,IA,4717,1468,791,30875,1066,58,131,320,16.4,6
ZCTA5 52340,ZCTA5,52340,52340,Tiffin,IA,4810,1954,971,43858,1711,17,374,445,95.2,37
ZCTA5 52341,ZCTA5,52341,52341,Toddville,IA,1045,371,271,43328,414,53,0,85,33.6,13
ZCTA5 52342,ZCTA5,52342,52342,Toledo,IA,3192,858,447,32667,1128,61,94,406,12.7,5
ZCTA5 52344,ZCTA5,52344,,,,,,,,33,10,0,23,1717.2,663
ZCTA5 52345,ZCTA5,52345,52345,Urbana,IA,1572,648,348,43854,502,29,37,106,180.8,70
ZCTA5 52346,ZCTA5,52346,52346,Van Horne,IA,1094,441,225,42887,362,21,42,67,8.1,3
ZCTA5 52347,ZCTA5,52347,52347,Victor,IA,1392,407,220,34375,521,33,41,121,8.2,3
ZCTA5 52348,ZCTA5,52348,52348,Vining,IA,48,25,21,29583,28,0,5,12,104.4,40
ZCTA5 52349,ZCTA5,52349,52349,Vinton,IA,7405,2573,1310,35329,3163,134,170,1132,20,8
ZCTA5 52351,ZCTA5,52351,52351,Walford,IA,1380,623,335,50719,500,24,16,97,313.5,121
ZCTA5 52352,ZCTA5,52352,52352,Walker,IA,1815,648,351,38005,744,31,24,188,9.3,4
ZCTA5 52353,ZCTA5,52353,52353,Washington,IA,9416,3382,1714,32584,3472,174,355,1297,22.6,9
ZCTA5 52354,ZCTA5,52354,52354,Watkins,IA,355,44,41,33833,120,0,11,15,3.5,1
ZCTA5 52355,ZCTA5,52355,52355,Webster,IA,267,55,42,36806,99,0,3,42,2.6,1
ZCTA5 52356,ZCTA5,52356,52356,Wellman,IA,2833,915,537,34653,1092,9,80,360,11.4,4
ZCTA5 52358,ZCTA5,52358,52358,West Branch,IA,3839,1457,806,40714,1529,11,117,500,19.3,7
