Geographic Area Name,Geographic,Area,Zip,City ,State,Total population ,TOTAL Brew Population Age Bracket population ,male_brew_age,Median Income,Number of white households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households:,density (km2),density(mil2)
ZCTA5 06365,ZCTA5,6365,6365,Preston,CT,4770,1598,939,44047,1710,82,161,454,60,23
ZCTA5 06370,ZCTA5,6370,6370,Oakdale,CT,7138,3028,1786,41622,2570,213,198,739,122,47
ZCTA5 06371,ZCTA5,6371,6371,Old Lyme,CT,9840,3190,1673,49904,3816,130,262,1105,71.1,27
ZCTA5 06373,ZCTA5,6373,6373,Oneco,CT,267,107,68,,49,0,9,26,33.1,13
ZCTA5 06374,ZCTA5,6374,6374,Plainfield,CT,8108,3405,2049,36030,2896,111,419,977,122.8,47
ZCTA5 06375,ZCTA5,6375,6375,Quaker Hill,CT,3758,1338,740,42464,1304,46,76,467,186.2,72
ZCTA5 06376,ZCTA5,6376,6376,South Lyme,CT,40,11,13,,20,0,11,0,729.4,282
ZCTA5 06377,ZCTA5,6377,6377,Sterling,CT,2739,1139,623,35568,962,46,172,155,70.1,27
ZCTA5 06380,ZCTA5,6380,6380,Taftville,CT,2892,770,443,34362,1092,39,60,546,1023.4,395
ZCTA5 06382,ZCTA5,6382,6382,Uncasville,CT,11060,4662,3054,35781,3052,273,261,844,236,91
ZCTA5 06384,ZCTA5,6384,6384,Voluntown,CT,2611,955,406,45885,972,58,184,254,27.2,11
ZCTA5 06385,ZCTA5,6385,6385,Waterford,CT,15796,6129,3057,47944,6204,287,654,2145,245.4,95
ZCTA5 06387,ZCTA5,6387,6387,Wauregan,CT,359,158,106,50909,130,0,10,65,2391.9,924
ZCTA5 06389,ZCTA5,6389,6389,Yantic,CT,129,62,73,47417,48,0,0,0,130.4,50
ZCTA5 06390,ZCTA5,6390,6390,Fishers Island,NY,422,27,26,30208,22,0,0,6,5.5,2
ZCTA5 06401,ZCTA5,6401,6401,Ansonia,CT,18946,7575,3832,33634,5890,300,978,2416,1212.7,468
ZCTA5 06403,ZCTA5,6403,6403,Beacon Falls,CT,5985,1868,1056,49764,2579,123,291,991,240.6,93
ZCTA5 06409,ZCTA5,6409,6409,Centerbrook,CT,686,247,131,55982,320,15,47,210,225.8,87
ZCTA5 06410,ZCTA5,6410,6408,Cheshire,CT,28559,10546,5997,,8767,318,434,2601,344.2,133
ZCTA5 06413,ZCTA5,6413,6413,Clinton,CT,13161,4698,2551,46536,5159,251,414,1708,316.3,122
ZCTA5 06414,ZCTA5,6414,6414,Cobalt,CT,330,21,24,,30,0,0,0,40.8,16
ZCTA5 06415,ZCTA5,6415,6415,Colchester,CT,16300,6018,3190,52980,5785,329,355,1601,111.1,43
ZCTA5 06417,ZCTA5,6417,6417,Deep River,CT,4415,1842,950,53439,2007,62,179,732,127.8,49
ZCTA5 06419,ZCTA5,6419,6419,Killingworth,CT,6174,2082,1010,50380,2175,23,120,524,68.6,26
ZCTA5 06422,ZCTA5,6422,6422,Durham,CT,7152,2953,1524,58183,2781,126,108,708,118.2,46
ZCTA5 06423,ZCTA5,6423,6423,East Haddam,CT,4821,1521,867,48860,2092,185,197,488,56.4,22
ZCTA5 06426,ZCTA5,6426,6426,Essex,CT,3453,776,474,56225,1506,27,16,499,244.4,94
ZCTA5 06437,ZCTA5,6437,6437,Guilford,CT,22064,6989,3566,52201,8080,167,519,2175,181.2,70
ZCTA5 06439,ZCTA5,6439,,,,,,,,15,0,0,15,7.4,3
ZCTA5 06441,ZCTA5,6441,6441,Higganum,CT,5484,2226,1295,64647,1911,150,255,383,86,33
ZCTA5 06442,ZCTA5,6442,6442,Ivoryton,CT,2594,745,478,51635,954,29,50,455,265.5,103
ZCTA5 06443,ZCTA5,6443,6443,Madison,CT,17713,5469,2722,54521,6297,82,359,1465,189.4,73
ZCTA5 06444,ZCTA5,6444,6444,Marion,CT,636,31,13,59485,72,0,31,0,67.5,26
ZCTA5 06447,ZCTA5,6447,6447,Marlborough,CT,6133,2421,1333,58898,2026,117,177,321,101.8,39
ZCTA5 06450,ZCTA5,6450,6450,Meriden,CT,36007,14258,7260,36913,11638,879,1450,5177,1008.6,389
ZCTA5 06451,ZCTA5,6451,6451,Meriden,CT,24894,9954,4946,35863,6876,420,1240,2792,959.5,370
ZCTA5 06456,ZCTA5,6456,6456,Middle Haddam,CT,355,42,29,75822,122,0,4,57,57.9,22
ZCTA5 06459,ZCTA5,6459,,,,,,,,0,0,0,0,1351.1,522
ZCTA5 06461,ZCTA5,6461,6461,Milford,CT,14734,5869,3140,53347,4889,223,337,1251,595.5,230
ZCTA5 06469,ZCTA5,6469,6469,Moodus,CT,3272,1228,641,48557,1287,0,165,427,115.4,45
ZCTA5 06470,ZCTA5,6470,6404,Botsford,CT,16284,5737,3207,,5247,181,413,1205,164.9,64
ZCTA5 06471,ZCTA5,6471,6471,North Branford,CT,7195,2389,1225,44912,2957,299,249,1004,319.3,123
ZCTA5 06472,ZCTA5,6472,6472,Northford,CT,6438,2467,1364,53290,2095,119,143,388,154.8,60
ZCTA5 06473,ZCTA5,6473,6473,North Haven,CT,24574,9255,5052,51215,8113,279,691,2589,439,169
ZCTA5 06477,ZCTA5,6477,6477,Orange,CT,14280,4770,2500,61067,4207,106,387,903,319.7,123
ZCTA5 06479,ZCTA5,6479,6479,Plantsville,CT,10156,3604,2021,48729,3954,40,342,1242,545.5,211
ZCTA5 06480,ZCTA5,6480,6480,Portland,CT,9365,3885,2068,52465,3425,151,361,931,157.5,61
ZCTA5 06481,ZCTA5,6481,6481,Rockfall,CT,1259,546,314,36215,545,23,6,289,271,105
ZCTA5 06482,ZCTA5,6482,6482,Sandy Hook,CT,10884,3884,1880,52530,3864,291,283,843,219.2,85
ZCTA5 06483,ZCTA5,6483,6483,Seymour,CT,16748,6866,3562,38899,5768,248,747,2108,445,172
ZCTA5 06484,ZCTA5,6484,6484,Shelton,CT,40869,14744,7550,49515,14487,506,1271,4749,516.1,199
ZCTA5 06488,ZCTA5,6488,6487,South Britain,CT,19896,6274,3373,,7428,77,494,2798,196.5,76
ZCTA5 06498,ZCTA5,6498,6498,Westbrook,CT,6793,2483,1562,39924,2914,37,215,1405,166.7,64
ZCTA5 06510,ZCTA5,6510,6501,New Haven,CT,4409,1913,1027,,1199,12,28,947,5653.2,2183
ZCTA5 06513,ZCTA5,6513,6513,New Haven,CT,38618,15301,7144,27141,7297,525,1228,3324,2073.9,801
ZCTA5 06515,ZCTA5,6515,6515,New Haven,CT,17877,7626,3440,27964,3202,159,221,1674,1604,619
ZCTA5 06518,ZCTA5,6518,6518,Hamden,CT,19528,6181,3078,27493,4591,252,419,2091,473,183
ZCTA5 06519,ZCTA5,6519,6519,New Haven,CT,15450,6903,3208,21837,1945,127,499,712,3511.2,1356
ZCTA5 06524,ZCTA5,6524,6524,Bethany,CT,5297,2088,979,54038,1529,55,67,240,97.5,38
ZCTA5 06604,ZCTA5,6604,6601,Bridgeport,CT,30003,10994,5702,,4809,413,783,2532,3343.6,1291
ZCTA5 06606,ZCTA5,6606,6606,Bridgeport,CT,48427,20416,10248,29380,7213,354,951,2993,3657.7,1412
ZCTA5 06607,ZCTA5,6607,6607,Bridgeport,CT,8690,3688,1910,23403,372,6,91,100,3020.7,1166
ZCTA5 06608,ZCTA5,6608,6608,Bridgeport,CT,14312,5799,2880,21430,1130,78,270,432,5319.5,2054
ZCTA5 06610,ZCTA5,6610,6610,Bridgeport,CT,23347,9728,5089,29357,2859,220,586,1127,2907,1122
ZCTA5 06612,ZCTA5,6612,6612,Easton,CT,7605,2456,1211,72660,2540,29,171,486,107,41
ZCTA5 06614,ZCTA5,6614,6614,Stratford,CT,33749,12711,6370,42917,10120,460,996,3542,1177.9,455
ZCTA5 06702,ZCTA5,6702,6701,Waterbury,CT,3882,936,677,,875,21,88,754,1606.4,620
ZCTA5 06704,ZCTA5,6704,6703,Waterbury,CT,27300,11522,5653,,5468,396,1313,2027,1349.5,521
ZCTA5 06705,ZCTA5,6705,6705,Waterbury,CT,27197,9793,4844,30797,7105,302,1032,3239,1775.9,686
ZCTA5 06706,ZCTA5,6706,6706,Waterbury,CT,14699,6470,3543,25213,3162,251,515,990,1515.6,585
ZCTA5 06708,ZCTA5,6708,6708,Waterbury,CT,30345,12649,6240,33760,9344,581,1372,4052,1286.1,497
ZCTA5 06710,ZCTA5,6710,6710,Waterbury,CT,11056,3852,2152,28298,1750,99,445,607,4098.3,1582
ZCTA5 06712,ZCTA5,6712,6712,Prospect,CT,9344,3080,1568,46088,3116,134,176,768,254.2,98
ZCTA5 06750,ZCTA5,6750,6750,Bantam,CT,1370,318,197,41779,508,0,45,252,55.4,21
ZCTA5 06751,ZCTA5,6751,6751,Bethlehem,CT,3367,928,573,44619,1305,76,75,447,69.3,27
ZCTA5 06752,ZCTA5,6752,6752,Bridgewater,CT,1667,584,322,56216,716,27,12,182,42.4,16
ZCTA5 06753,ZCTA5,6753,,,,,,,,28,0,1,9,7.8,3
ZCTA5 06754,ZCTA5,6754,6753,Cornwall,CT,1568,525,278,61875,632,63,28,164,21.1,8
ZCTA5 06755,ZCTA5,6755,6755,Gaylordsville,CT,1164,448,260,44639,327,0,87,47,77.7,30
ZCTA5 06756,ZCTA5,6756,6756,Goshen,CT,2993,1056,625,55537,974,38,101,247,32.1,12
ZCTA5 06758,ZCTA5,6758,6758,Lakeside,CT,39,0,13,33750,21,0,0,10,19.7,8
ZCTA5 06759,ZCTA5,6759,6759,Litchfield,CT,5729,1672,806,45913,2282,95,135,762,41.2,16
ZCTA5 06762,ZCTA5,6762,6749,Waterbury,CT,7574,2482,1198,,2720,59,157,839,165.6,64
ZCTA5 06763,ZCTA5,6763,6763,Morris,CT,2217,757,425,50132,792,38,85,247,48.9,19
ZCTA5 06770,ZCTA5,6770,6770,Naugatuck,CT,31634,12964,7219,41195,10331,602,985,3568,747.3,289
ZCTA5 06777,ZCTA5,6777,6777,New Preston Marble Dale,CT,1715,438,209,54663,615,3,39,204,35.2,14
ZCTA5 06778,ZCTA5,6778,6778,Northfield,CT,1243,493,234,41005,493,31,1,138,101.1,39
ZCTA5 06782,ZCTA5,6782,6782,Plymouth,CT,2268,886,547,44361,796,95,33,305,109.2,42
ZCTA5 06783,ZCTA5,6783,6783,Roxbury,CT,2255,683,398,57340,914,18,28,408,31.1,12
ZCTA5 06784,ZCTA5,6784,6784,Sherman,CT,3607,799,443,59968,1463,51,121,482,62.3,24
ZCTA5 06785,ZCTA5,6785,6785,South Kent,CT,753,149,50,41458,305,29,42,84,19.8,8
ZCTA5 06786,ZCTA5,6786,6781,Pequabuck,CT,9384,3703,2020,,3740,124,273,1432,258.4,100
ZCTA5 06787,ZCTA5,6787,6787,Thomaston,CT,7545,2773,1566,42616,2955,109,148,1090,236,91
ZCTA5 06790,ZCTA5,6790,6790,Torrington,CT,35486,13501,7263,32816,13042,565,1710,5205,329,127
ZCTA5 06791,ZCTA5,6791,6791,Harwinton,CT,5546,1840,1053,55015,2049,128,214,420,69.2,27
ZCTA5 06793,ZCTA5,6793,6793,Washington,CT,1189,357,295,51146,520,58,0,184,37.6,15
ZCTA5 06794,ZCTA5,6794,6794,Washington Depot,CT,1119,376,182,40308,291,0,9,138,28.6,11
ZCTA5 06795,ZCTA5,6795,6795,Watertown,CT,13873,5429,2782,38107,4826,163,638,1274,212.5,82
ZCTA5 06796,ZCTA5,6796,6796,West Cornwall,CT,1023,179,115,57292,425,13,29,131,11.3,4
ZCTA5 06804,ZCTA5,6804,6804,Brookfield,CT,17748,6281,3246,50996,5644,193,480,1248,341.4,132
ZCTA5 06807,ZCTA5,6807,6807,Cos Cob,CT,7197,2777,1443,73942,2285,108,153,680,884.7,342
ZCTA5 06811,ZCTA5,6811,6811,Danbury,CT,31216,12102,6812,43522,9138,259,632,3316,589.1,227
ZCTA5 06812,ZCTA5,6812,6812,New Fairfield,CT,13579,4234,2227,48767,4196,171,244,846,257.9,100
ZCTA5 06820,ZCTA5,6820,6820,Darien,CT,21499,7628,3948,100600,6179,82,376,1087,655.5,253
ZCTA5 06824,ZCTA5,6824,6824,Fairfield,CT,34876,11832,6158,54361,11245,418,943,3052,692.5,267
ZCTA5 06825,ZCTA5,6825,6825,Fairfield,CT,22090,6994,3731,47940,6465,248,729,1699,1192.7,461
ZCTA5 06830,ZCTA5,6830,6830,Greenwich,CT,25043,9083,4437,51544,7962,196,754,2698,707,273
ZCTA5 06831,ZCTA5,6831,6831,Greenwich,CT,15254,5331,2773,65534,4805,75,302,946,212.6,82
ZCTA5 06840,ZCTA5,6840,6840,New Canaan,CT,20612,6642,3304,80688,6393,241,436,1472,359.8,139
ZCTA5 06850,ZCTA5,6850,6850,Norwalk,CT,20801,8395,4349,53667,5651,155,135,2459,1090.8,421
ZCTA5 06851,ZCTA5,6851,6851,Norwalk,CT,28254,12337,5947,47012,8373,167,766,3230,1444.5,558
ZCTA5 06853,ZCTA5,6853,6853,Norwalk,CT,3797,1500,778,82946,1363,19,24,462,1281.7,495
ZCTA5 06855,ZCTA5,6855,6855,Norwalk,CT,8380,3695,2086,43232,2745,117,225,1132,1320.8,510
ZCTA5 06870,ZCTA5,6870,6870,Old Greenwich,CT,7720,2809,1529,102296,2228,56,128,497,1346.5,520
ZCTA5 06878,ZCTA5,6878,6878,Riverside,CT,8519,2982,1553,92409,2057,33,99,410,1339.3,517
ZCTA5 06880,ZCTA5,6880,6838,Greens Farms,CT,27233,8507,4317,,8693,150,471,2077,525.5,203
ZCTA5 06883,ZCTA5,6883,6829,Georgetown,CT,10354,3529,1729,,3075,111,296,525,201.9,78
ZCTA5 06890,ZCTA5,6890,6890,Southport,CT,4466,1371,702,92763,1574,20,64,431,619.7,239
ZCTA5 06896,ZCTA5,6896,6875,Redding Center,CT,8704,2733,1367,,3077,72,167,711,107.5,42
ZCTA5 06897,ZCTA5,6897,6897,Wilton,CT,18520,6390,3136,79575,5431,232,334,1080,266.4,103
ZCTA5 06901,ZCTA5,6901,6901,Stamford,CT,10595,5042,2731,59242,3125,38,218,2221,6738.6,2602
ZCTA5 06903,ZCTA5,6903,6903,Stamford,CT,14405,4716,2537,70457,4438,74,237,639,328.8,127
ZCTA5 06905,ZCTA5,6905,6905,Stamford,CT,21809,9107,4571,60358,5984,207,354,2217,1644.8,635
ZCTA5 06907,ZCTA5,6907,6907,Stamford,CT,9371,3524,1906,45171,2438,52,279,892,1745.5,674
ZCTA5 07001,ZCTA5,7001,7001,Avenel,NJ,16920,7974,5364,37796,2314,67,298,915,1771.9,684
ZCTA5 07002,ZCTA5,7002,7002,Bayonne,NJ,71686,29401,14842,38533,17232,1027,2374,6173,4678.1,1806
ZCTA5 07003,ZCTA5,7003,7003,Bloomfield,NJ,52955,23037,11478,46216,11682,398,1220,4588,3798.1,1466
ZCTA5 07005,ZCTA5,7005,7005,Boonton,NJ,15985,5737,3027,48455,4652,110,317,1643,314.6,121
ZCTA5 07006,ZCTA5,7006,7006,Caldwell,NJ,26733,9707,4902,61573,8268,198,655,2315,1091.2,421
ZCTA5 07008,ZCTA5,7008,7008,Carteret,NJ,25342,9600,4768,31919,3791,83,581,1227,2202.7,850
ZCTA5 07009,ZCTA5,7009,7009,Cedar Grove,NJ,13014,4443,2170,55952,4185,81,277,1279,1187.8,459
ZCTA5 07010,ZCTA5,7010,7010,Cliffside Park,NJ,25721,10583,5387,47257,6954,445,746,2617,10300.1,3977
ZCTA5 07011,ZCTA5,7011,7011,Clifton,NJ,41691,16483,8327,30083,8238,472,1227,2667,5046.2,1948
ZCTA5 07012,ZCTA5,7012,7012,Clifton,NJ,13333,5998,3315,47380,3562,76,435,1227,2590.2,1000
ZCTA5 07013,ZCTA5,7013,7013,Clifton,NJ,28843,11090,6268,46584,8297,630,600,2902,2556.5,987
ZCTA5 07014,ZCTA5,7014,7014,Clifton,NJ,5589,1908,1218,44326,1223,23,71,589,1083.9,418
ZCTA5 07016,ZCTA5,7016,7016,Cranford,NJ,23827,9310,4995,63642,8260,367,625,2345,1938.3,748
ZCTA5 07017,ZCTA5,7017,7017,East Orange,NJ,39054,16855,7879,32025,537,66,114,229,6618.5,2555
ZCTA5 07018,ZCTA5,7018,7018,East Orange,NJ,30429,12915,6210,31793,432,20,32,312,6979.1,2695
ZCTA5 07020,ZCTA5,7020,7020,Edgewater,NJ,14336,7594,4101,83142,3398,47,280,1869,5659.6,2185
ZCTA5 07021,ZCTA5,7021,7021,Essex Fells,NJ,2244,767,429,105461,660,9,6,105,622.3,240
ZCTA5 07022,ZCTA5,7022,7022,Fairview,NJ,15025,7128,4526,30774,4159,343,494,1879,6827.2,2636
ZCTA5 07023,ZCTA5,7023,7023,Fanwood,NJ,7774,2906,1525,72642,2201,0,171,286,2227,860
ZCTA5 07024,ZCTA5,7024,7024,Fort Lee,NJ,40171,15956,7947,56254,9993,248,804,5079,6100.6,2355
ZCTA5 07026,ZCTA5,7026,7026,Garfield,NJ,32655,14073,7436,34807,9013,599,1611,2534,5940.7,2294
ZCTA5 07027,ZCTA5,7027,7027,Garwood,NJ,4454,1947,1187,51659,1541,71,95,610,2626.9,1014
ZCTA5 07028,ZCTA5,7028,7028,Glen Ridge,NJ,8094,3016,1493,86786,2122,0,125,231,2351.6,908
ZCTA5 07029,ZCTA5,7029,7029,Harrison,NJ,22044,10968,6131,36096,3624,125,391,1271,6420.4,2479
ZCTA5 07031,ZCTA5,7031,7031,North Arlington,NJ,16457,7237,3733,51726,5193,215,434,1838,2539.3,980
ZCTA5 07032,ZCTA5,7032,7032,Kearny,NJ,41999,19054,10772,37231,8513,604,1186,2422,1824.3,704
ZCTA5 07034,ZCTA5,7034,7034,Lake Hiawatha,NJ,10163,4289,2171,50693,2373,83,135,1094,3035.4,1172
ZCTA5 07035,ZCTA5,7035,7035,Lincoln Park,NJ,11015,4037,2111,44890,3467,83,419,1219,632,244
ZCTA5 07036,ZCTA5,7036,7036,Linden,NJ,45161,19400,9985,37863,8829,624,874,3270,1596.1,616
