name,brewery_type,address_1,city,state_province,postal_code,longitude,latitude,state,zip_code,brewery_id,Incomplete,Population  , Population Density per km2 , Population Density per mile2 , Target population percentage  , TOTAL Brew Population Age Bracket population  ,male_brew_age,Median Income 12 mths ,Total: - white households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households:
3 Sheeps Brewing Co,micro,1837 North Ave,Sheboygan,Wisconsin,53083-4620,-87.73006524,43.77384561,Wisconsin,53083,86,,"21,768",254,98,19%,7708,4121,38964,7960,275,556,2659
3 Sons Brewing Co.,proprietor,236 N Federal Hwy,Dania,Florida,33004-2870,-80.14361029,26.04800238,Florida,33004,88,,"16,162",907,350,19%,6799,3055,28665,4162,138,475,1708
3 Trails Brewing Co,micro,111 N Main St ,Independence,Missouri,64050,-94.41265,39.122385,Missouri,64050,90,,"22,223",647,250,18%,7692,4092,28191,7955,303,1191,4005
32 North Brewing Co,closed,8655 Production Ave Ste A,San Diego,California,92121-2258,-117.1649842,32.88313237,California,92121,93,,"4,658",130,50,27%,1985,1248,64167,1028,24,37,420
CH Evans Brewing Co/Albany Pump Station,brewpub,19 Quackenbush Sq,Albany,New York,12207-2311,-73.75196248,42.65219766,New York,12207,1641,INCOMPLETE,,845,326,,,,,,,,
350 Brewing Co,brewpub,7144 183rd St,Tinley Park,Illinois,60477-3933,-87.79160288,41.55864726,Illinois,60477,95,,"37,335","1,007",389,20%,14643,7332,42653,12754,445,1089,5006
38Â°-75Â° Brewing,brewpub,2000 Coastal Highway STE 105,Rehoboth Beach,Delaware,19971,-75.090191,38.7074994,Delaware,19971,98,,"14,348",304,117,14%,3666,2056,45489,6608,192,203,2798
3cross Fermentation Cooperative,micro,4 Knowlton Ave,Worcester,Massachusetts,1603,-71.83057593,42.24364875,Massachusetts,1603,99,,"22,417","1,720",664,22%,9008,4889,28681,4937,383,924,2152
3Halves Brewing Co,brewpub,110 E Kansas St,Liberty,Missouri,64068-2374,-94.4190247,39.2461993,Missouri,64068,100,,"37,222",168,65,20%,13930,7290,38928,12320,389,1457,3690
3rd Degree Brewhouse,micro,1625 N Main St,Fuquay Varina,North Carolina,27526,-78.794223,35.5914556,North Carolina,27526,101,,"56,089",216,83,20%,22711,11373,39509,16031,518,1173,3982
Boese Brothers Brewing,micro,601 Gold Ave SW,Albuquerque,New Mexico,87102-3119,-106.654295,35.083957,New Mexico,87102,1097,INCOMPLETE,,"1,128",435,,,,,,,,
Dialogue Brewing,micro,1501 1st St NW,Albuquerque,New Mexico,87102-1535,-106.6456104,35.0976942,New Mexico,87102,2175,INCOMPLETE,,"1,128",435,,,,,,,,
4 By 4 Brewing Company,micro,2811 E Galloway St Ste A,Springfield,Missouri,65804-4601,-93.239889,37.147986,Missouri,65804,106,,"40,064",798,308,19%,14766,7576,32430,17593,743,1287,8226
4 Hands Brewing Co,regional,1220 S 8th St,Saint Louis,Missouri,63104-3610,-90.19762012,38.61526593,Missouri,63104,107,,"19,317","2,325",898,27%,10113,5121,42608,5512,117,133,3680
4 Stitch Brewing Co,nano,7 192nd St SW,Bothell,Washington,98012,-122.2328187,47.82525617,Washington,98012,109,,"74,956","1,850",714,25%,35223,18528,58435,17389,565,1418,5103
Marble Brewery - Production,regional,111 Marble Ave NW,Albuquerque,New Mexico,87102-2315,-106.6467287,35.0928224,New Mexico,87102,4494,INCOMPLETE,,"1,128",435,,,,,,,,
42 North Brewing Company,brewpub,25 Pine St,East Aurora,New York,14052-1827,-78.607989,42.769311,New York,14052,114,,"17,679",114,44,19%,6053,3334,45178,7137,338,484,1955
4204 Main Street Brewing Co,brewpub,4204 W Main St,Belleville,Illinois,62226,-90.02053343,38.53796122,Illinois,62226,115,,"29,156",821,317,20%,11367,5776,35544,7892,262,659,3348
47 Hills Brewing Co,brewpub,137 S Linden Ave,South San Francisco,California,94080-6410,-122.4136168,37.64425595,California,94080,117,,"66,592","2,529",976,24%,28917,15729,43987,7977,371,940,2745
