name,brewery_type,address_1,city,state_province,postal_code,longitude,latitude,state,zip_code,brewery_id,Incomplete,Population  , Population Density per km2 , Population Density per mile2 , Target population percentage  , TOTAL Brew Population Age Bracket population  ,male_brew_age,Median Income 12 mths ,Total: - white households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households:
Tailspin Brewing Co,micro,626 S 2nd St,Coldwater,Ohio,45828-9603,-84.6288605,40.47316407,Ohio,45828,6825,,"6,495",78,30,18%,2277,1174,37569,2314,44,100,614
Take 16 Brewing Company,micro,509 E Main St,Luverne,Minnesota,56156-1905,-96.20317435,43.65421673,Minnesota,56156,6826,,"6,270",15,6,16%,2035,994,35168,2505,44,308,892
Emmett's Brewing Co - Palatine,brewpub,110 N Brockway St,Palatine,Illinois,60067-5063,-88.046297,42.11332289,Illinois,60067,2459,INCOMPLETE,,"1,158",447,,,,,,,,
Talking Waters Brewing Co.,micro,205 S 1st St,Montevideo,Minnesota,56265-1412,-95.7235032,44.942758,Minnesota,56265,6829,,"7,634",11,4,20%,2602,1537,33557,2977,96,330,1097
Tallgrass Brewing Co,regional,5960 Dry Hop Cir,Manhattan,Kansas,66503-9815,-96.6792762,39.1428736,Kansas,66503,6832,,"16,565",78,30,22%,6861,3589,47091,5865,244,227,1868
Tallgrass Taphouse Co,brewpub,320 Poyntz Ave,Manhattan,Kansas,66502-6038,-96.561291,39.1795046,Kansas,66502,6833,,"44,384",78,30,19%,15131,8538,21046,14904,623,1120,8525
Tallulah Brewing Company,micro,1804 4th Ave S,Jasper,Alabama,35501-5330,-87.278675,33.830796,Alabama,35501,6834,,"10,284",81,31,20%,3563,2006,23476,3108,216,501,1049
Tamarack Brewing Co,micro,105 Blacktail Rd # 2,Lakeside,Montana,59922-9628,-114.2253672,48.0161369,Montana,59922,6835,,"2,643",25,9,13%,620,337,33370,1005,30,14,389
Tandem Brewing Co,brewpub,17 SE 3rd Ave,Ontario,Oregon,97914-2803,-116.9627719,44.02391075,Oregon,97914,6839,,"19,534",29,11,27%,7690,5338,23111,4818,226,463,2040
Tangled Roots Brewing Company,brewpub,130 E Madison St,Ottawa,Illinois,61350-5098,-88.84091316,41.34692308,Illinois,61350,6841,,"23,997",62,24,19%,8837,4614,34419,9322,289,1110,3416
TangleTown Public House,micro,2106 N 55th St,Seattle,Washington,98103-6202,-122.333474,47.6687837,Washington,98103,6842,,"53,056","4,397",1698,30%,31022,16074,64616,19938,438,844,11759
Tannery Bend Beerworks,closed,101 South Coombs Street Suite X,Napa,California,94559,-122.287271,38.28513283,California,94559,6843,,"28,137",261,101,22%,11497,6164,39929,8136,450,897,3318
Tannery Bend Beerworks,brewpub,6369 Telegraph Ave,Oakland,California,94609,-122.260843,37.84998999,California,94609,6844,,"23,578","5,709",2204,31%,14490,7364,54052,5222,138,289,3182
Tanzenwald Brewing Company,brewpub,103 Water St N,Northfield,Minnesota,55057-2121,-93.1617022,44.4600704,Minnesota,55057,6847,,"25,519",77,30,15%,7164,3814,31400,7211,241,417,2566
Taos Ale House,brewpub,401 Paseo del Pueblo Norte,Taos,New Mexico,87571-5907,-105.568722,36.41222,New Mexico,87571,6848,,"11,650",29,11,22%,4144,2551,21665,3354,116,323,1814
Alcatraz Brewing,micro,20 Ocean Vista Ln,Palm Coast,Florida,32137-2743,-81.19287028,29.61781196,Florida,32137,246,INCOMPLETE,,277,107,,,,,,,,
Tap and Vine,brewpub,907 Lincoln Way,Auburn,California,95603,-121.0694956,38.89956738,California,95603,6852,,"28,021",308,119,18%,9712,5005,37069,10810,449,996,3914
Tap It Brewing Co,closed,675 Clarion Ct Ste 1,San Luis Obispo,California,93401-8178,-120.6459687,35.24427999,California,93401,6853,,"29,877",172,67,19%,10760,5777,42263,10837,325,926,5122
Tap on Main Brewing Company,micro,601A N Main St,Somerset,Kentucky,42501,-84.608383,37.100832,Kentucky,42501,6854,,"18,047",32,12,19%,6597,3375,24212,6185,208,858,2153
Tapistry Brewing Company,micro,4236 Lake St,Bridgman,Michigan,49106-9109,-86.5561575,41.9427559,Michigan,49106,6855,,"4,822",140,54,21%,1784,1019,30494,2033,133,85,634
Taplands Brewery,brewpub,1171 Homestead Rd Ste 110,Santa Clara,California,95050-5479,-121.9460243,37.34814789,California,95050,6856,,"39,031","2,779",1073,27%,18252,10520,49786,7935,578,683,3483
Taproot Brewing Co / Newport Vineyards,micro,909 E Main Rd,Middletown,Rhode Island,02842-5529,-71.2726634,41.5293214,Rhode Island,2842,6857,,"17,115",523,202,20%,6492,3349,39620,6031,327,554,2258
Taps and Apps,brewpub,95-1830 Meheula Pkwy Ste C-6,Mililani,Hawaii,96789-6311,-158.002414,21.467355,Hawaii,96789,6858,,"54,732",809,312,21%,21257,11545,49175,3634,85,250,876
TAPS Brewery and Barrel Room,planning,,Tustin,California,92780-7302,-117.826166,33.7458511,California,92780,6859,,"56,034","3,375",1303,21%,23134,11523,35207,9798,627,1458,2843
TAPS Fish House and Brewery - Brea,brewpub,101 E Imperial Hwy,Brea,California,92821-4924,-117.9018387,33.9171643,California,92821,6860,,"41,335","1,128",436,20%,16947,8392,47829,9411,260,1023,3075
TAPS Fish House and Brewery - Corona,brewpub,2745 Lakeshore Dr,Corona,California,92883-7367,-117.5088541,33.81408315,California,92883,6861,,"34,836",245,95,20%,14142,7093,45579,6901,273,562,1506
De Bine Brewing Company,micro,993 Florida Ave,Palm Harbor,Florida,34683-4224,-82.76761678,28.07847685,Florida,34683,2068,INCOMPLETE,,"1,257",485,,,,,,,,
Tarboro Brewing Company,micro,526 N Main St,Tarboro,North Carolina,27886-4313,-77.53557317,35.89855641,North Carolina,27886,6863,,"18,776",38,14,16%,5930,2943,27092,3661,183,421,1267
Tarla Mediterranean Bar and Grill,brewpub,1480 1st St,Napa,California,94559-2843,-122.289765,38.29719738,California,94559,6864,,"28,137",261,101,22%,11497,6164,39929,8136,450,897,3318
Tarpon River Brewing,micro,280 SW 6th Street,Fort Lauderdale,Florida,33301,-80.14595562,26.11462092,Florida,33301,6865,,"19,109","2,519",973,28%,8781,5318,64308,7666,65,246,4823
Tattered Flag Brewery,brewpub,1 S Union St,Middletown,Pennsylvania,17057-1446,-76.731309,40.194934,Pennsylvania,17057,6866,,"23,112",290,112,19%,8763,4468,36819,8427,372,870,3426
Tavern Brewery,brewpub,200 W Lake Dr,Detroit Lakes,Minnesota,56501-3917,-95.8477011,46.8066561,Minnesota,56501,6867,,"17,784",37,14,17%,5865,3079,33514,6887,247,424,2524
Taxman Brewing Co,micro,13 S Baldwin St,Bargersville,Indiana,46106-9089,-86.16716199,39.52148548,Indiana,46106,6868,,"8,672",122,47,20%,3528,1748,43134,3000,143,301,575
Taylor House Brewing Co,micro,76 Lehigh St,Catasauqua,Pennsylvania,18032,-75.46805342,40.64817832,Pennsylvania,18032,6870,,"9,489","1,817",702,23%,3932,2227,36390,3681,287,477,1159
TBD,micro,17985 Armada Center Rd,Armada,Michigan,48005-2323,-82.95124856,42.84942455,Michigan,48005,6871,,"5,318",56,22,21%,2039,1124,39565,1784,92,198,399
Tecumseh Brewing Company,brewpub,128 W Chicago Blvd,Tecumseh,Michigan,49286-1553,-83.946191,42.004052,Michigan,49286,6874,,"14,991",97,37,18%,5621,2706,34339,5197,121,488,1529
Teeccino Brewing Company,planning,,Carpinteria,California,93013-2905,-119.5184564,34.3988838,California,93013,6875,,"16,299",154,59,20%,5749,3191,40672,5028,154,299,1927
Tek Mountain Brewing,micro,1844 Sir Tyler Dr,Wilmington,North Carolina,28405-8305,-77.8239017,34.24224042,North Carolina,28405,6876,,"31,775",558,216,19%,11581,5913,34238,11658,234,604,5568
Telegraph Brewing Co,micro,418 N Salsipuedes St,Santa Barbara,California,93103-3127,-119.6881651,34.4228601,California,93103,6877,,"20,029","1,356",524,21%,7669,4137,43778,5427,284,506,2341
Temblor Brewing Company,brewpub,3200 Buck Owens Blvd Ste 200,Bakersfield,California,93308-6376,-119.043071,35.3885985,California,93308,6879,,"56,037",62,24,20%,20903,11216,26331,16154,1297,2486,5891
Temescal Brewing,micro,4115 Telegraph Ave,Oakland,California,94609-2405,-122.2645038,37.8303644,California,94609,6880,,"23,578","5,709",2204,31%,14490,7364,54052,5222,138,289,3182
"Temperance Beer Company, LLC",micro,2000 Dempster St,Evanston,Illinois,60202-1017,-87.7013174,42.040962,Illinois,60202,6881,,"33,245","4,397",1698,22%,15274,7428,48406,9736,194,684,4321
Temperance Row Brewing and Uptown Deli,brewpub,41 N State St,Westerville,Ohio,43081-2123,-82.92806564,40.11493135,Ohio,43081,6882,,"64,338",990,382,22%,28149,14401,48677,21112,887,1760,7525
Temperate Habits Brewing Company,brewpub,500 S 1st St,Mount Vernon,Washington,98273-3809,-122.337629,48.419856,Washington,98273,6883,,"31,243",142,55,19%,11243,5993,32612,9382,396,932,3383
Templin Family Brewing,micro,936 S 300 W,Salt Lake City,Utah,84101,-111.9000402,40.7486519,Utah,84101,6884,,"8,140","1,344",519,30%,3838,2434,36250,2901,89,129,2110
Ten 10 Brewing Co,brewpub,1010 Virginia Dr,Orlando,Florida,32803-2532,-81.36592044,28.56397689,Florida,32803,6885,,"21,003","1,256",485,34%,12883,7080,49471,8763,251,474,4905
Ten Bends Beer,micro,590 E Main St,Hyde Park,Vermont,05655-9267,-72.60515022,44.58894694,Vermont,5655,6886,,"3,020",31,12,25%,1206,768,39223,1207,33,127,465
Ten Mile Brewing,micro,1136 E Willow St,Signal Hill,California,90755-3433,-118.1806752,33.8043697,California,90755,6888,,"11,923","2,099",811,26%,5838,3091,42602,2376,84,297,1125
Ten Ninety Brewing Co,micro,1025 Waukegan Rd,Glenview,Illinois,60025,-87.7996254,42.0589281,Illinois,60025,6890,,"41,256","1,553",600,18%,14140,7550,49677,12753,581,952,3417
Ten Pin Brewing - Production Facility,micro,1149 N Stratford Rd,Moses Lake,Washington,98837-1514,-119.2781737,47.14487355,Washington,98837,6891,,"46,262",36,14,19%,17035,8979,33118,12588,652,1507,4187
Ten Pin Brewing Co,brewpub,1165 N Stratford Rd,Moses Lake,Washington,98837-1514,-119.2781699,47.14506441,Washington,98837,6892,,"46,262",36,14,19%,17035,8979,33118,12588,652,1507,4187
Tenacious Brewing Company,planning,,San Diego,California,92101,-117.1627714,32.7174209,California,92101,6894,,"47,505","3,091",1193,34%,26729,16087,52980,18181,141,439,13110
Palm Harbor Brewery,brewpub,1022 Georgia Ave,Palm Harbor,Florida,34683-4317,-82.76688529,28.07707237,Florida,34683,5336,INCOMPLETE,,"1,257",485,,,,,,,,
Stilt House Brewery,micro,625 US 19 Alt,Palm Harbor,Florida,34683,-82.7601246,28.07966677,Florida,34683,6670,INCOMPLETE,,"1,257",485,,,,,,,,
Tent City Beer Company,micro,6760 El Camino Real,Atascadero,California,93422-4205,-120.66767,35.487726,California,93422,6900,,"33,041",186,72,21%,12300,6809,39676,11583,743,1038,3509
Perrylodgic Brewing Company,micro,3465 US-79 N,Paris,Tennessee,38242-9998,-88.3268031,36.2785418,Tennessee,38242,5435,INCOMPLETE,,44,17,,,,,,,,
Terminal Gravity Brewing Co,micro,803 SE School St,Enterprise,Oregon,97828-1674,-117.2713718,45.4187654,Oregon,97828,6903,,"3,283",2,1,14%,936,476,27207,1315,25,61,514
Terramar Brewstillery,micro,5712 Gilkey Ave,Bow,Washington,98232-9353,-122.443599,48.564097,Washington,98232,6904,,"4,053",29,11,21%,1470,855,42342,1516,39,12,395
Terrapin Beer Co,large,265 Newton Bridge Rd,Athens,Georgia,30607-1145,-83.39779284,33.9885289,Georgia,30607,6905,,"11,383",112,43,22%,4740,2452,29646,2477,182,167,685
Terre Haute Brewing Company,brewpub,401 S 9th St,Terre Haute,Indiana,47807-4417,-87.404517,39.462286,Indiana,47807,6906,,"12,063","1,292",499,16%,3885,1893,13422,4077,121,569,2458
Terrestrial Brewing Company,micro,7524 Father Frascati Dr,Cleveland,Ohio,44102-2087,-81.7361552,41.4869219,Ohio,44102,6907,,"43,347","2,704",1044,23%,19588,9942,21070,11747,640,1887,6712
Territorial Brewing Company,brewpub,256 Helmer Rd N,Springfield,Michigan,49037-7914,-85.23565712,42.3151618,Michigan,49037,6908,,"21,427",413,159,20%,7764,4207,23771,5671,283,665,2822
Territorial Brewing Company Production Facility,micro,2815 6th Ave,Springfield,Michigan,49037-7986,-85.22954317,42.31466956,Michigan,49037,6909,,"21,427",413,159,20%,7764,4207,23771,5671,283,665,2822
Texas Ale Project,micro,1001 N Riverfront Blvd,Dallas,Texas,75207-4201,-96.8148593,32.7818812,Texas,75207,6910,,"7,116",817,315,74%,6360,5286,30555,1439,11,0,1314
Texas Beer Company,micro,1331 W 2nd St,Taylor,Texas,76574-2434,-97.42424416,30.56782579,Texas,76574,6911,,"19,366",50,19,18%,6982,3495,32661,5699,189,605,1945
Texas Beer Company,micro,201 N Main St,Taylor,Texas,76574,-97.409585,30.568804,Texas,76574,6912,,"19,366",50,19,18%,6982,3495,32661,5699,189,605,1945
Texas Corners Brewing Company,brewpub,6970 Texas Dr,Kalamazoo,Michigan,49009-9795,-85.6486336,42.2300087,Michigan,49009,6914,,"47,188",178,69,19%,17005,8888,36816,15739,620,1257,5044
Texas Leaguer Brewing Company,micro,13503 Pike Rd,Missouri City,Texas,77489-1033,-95.5480643,29.627854,Texas,77489,6915,,"37,257","1,319",509,20%,15000,7589,33301,1930,125,333,350
The 377 Brewery,micro,2027 Yale Blvd SE,Albuquerque,New Mexico,87106-4139,-106.6219267,35.0561133,New Mexico,87106,6918,,"26,987",279,108,23%,10942,6231,27847,8552,513,890,5036
Rooster Brewing,micro,609 Main St,Paris,Kentucky,40361-1816,-84.25166366,38.21039483,Kentucky,40361,6009,INCOMPLETE,,28,11,,,,,,,,
The Ale Apothecary,micro,30 SW Century Drive Suite 140,Bend,Oregon,97702,-121.3314277,44.05140622,Oregon,97702,6920,,"51,161",189,73,22%,20950,11208,36369,18835,1425,1294,5993
The Alementary,micro,58 Voorhis Ln,Hackensack,New Jersey,07601-4820,-74.0400401,40.90460655,New Jersey,7601,6921,,"46,030","4,205",1624,24%,21294,11067,42027,9301,368,1242,5328
The Amelia Tavern,brewpub,318 Centre St,Fernandina Beach,Florida,32034-4241,-81.46236272,30.67106045,Florida,32034,6922,,"38,167",230,89,18%,12366,6680,40675,15163,712,725,4891
The Angry Swede Brewing Company,micro,513 Francis St,St Joseph,Missouri,64501,-94.867977,39.808641,Missouri,64501,6923,,"11,020","1,142",441,22%,4394,2419,22450,3473,151,442,1698
The Answer Brewpub,brewpub,6008 W Broad St,Richmond,Virginia,23230-2222,-77.5070979,37.5931962,Virginia,23230,6924,,"8,263",671,259,23%,3729,1896,40331,2710,36,178,1809
The Bakers' Brewery,brewpub,531 Silverthorne Ln,Silverthorne,Colorado,80498,-106.0672002,39.62976193,Colorado,80498,6926,,"8,405",11,4,30%,3870,2488,48157,3004,121,66,1173
The Barley House Brewing Company LLC,brewpub,8399 Sharon Mercer Rd,Mercer,Pennsylvania,16137,-80.265315,41.225933,Pennsylvania,16137,6927,,"12,654",46,18,26%,5271,3333,26421,4321,157,407,1426
The Bear And Peacock,micro,1288 Orange Ave,Winter Park,Florida,32789-4940,-81.3566559,28.5929429,Florida,32789,6928,,"26,399","1,277",493,17%,9267,4578,47818,9471,289,581,4254
The Bell Marker,brewpub,602 Broadway Ste 101,San Diego,California,92101-5449,-117.0763473,32.597261,California,92101,6931,,"47,505","3,091",1193,34%,26729,16087,52980,18181,141,439,13110
The Black Abbey Brewing Company,micro,2952 Sidco Dr Ste 211,Nashville,Tennessee,37204-3710,-86.755903,36.10481686,Tennessee,37204,6935,,"15,959",902,348,25%,8254,3981,44709,5233,74,249,2585
The Blue Grasshopper Brew Pub,brewpub,4500 Arrowhead Ridge Dr SE,Rio Rancho,New Mexico,87124-5986,-106.648789,35.254421,New Mexico,87124,6936,,"59,781",282,109,18%,21391,10508,33148,16977,737,2071,5181
Bearded Owl Brewing,brewpub,112 State St Ste 1A,Peoria,Illinois,61602-5121,-89.59536426,40.68918521,Illinois,61602,726,INCOMPLETE,,261,101,,,,,,,,
The Boathouse Beer Co and Boozery,brewpub,450 W Lake St,Tawas City,Michigan,48763-8320,-83.5169024,44.26826378,Michigan,48763,6940,,"4,949",22,8,16%,1603,804,29213,1825,79,242,612
The Boiler Room Brewhaus LLC,micro,10 S National Ave,Fort Scott,Kansas,66701-1311,-94.70741825,37.84103842,Kansas,66701,6941,,"11,642",16,6,17%,3744,2027,26343,4529,125,389,1718
The Bold Mariner Brewing Company,micro,2409 Bowdens Ferry Rd,Norfolk,Virginia,23508-2450,-76.30542793,36.87609575,Virginia,23508,6942,,"20,485","2,448",945,18%,6311,3616,20020,4089,52,287,1885
The Booth Brewing Co.,micro,123 W 3rd St,Eureka,California,95501-0222,-124.1743072,40.80226985,California,95501,6943,,"23,323","1,264",488,25%,10804,5943,26707,7842,486,720,4262
The BottleHouse Brewery And Meadery,micro,2050 Lee Rd,Cleveland Heights,Ohio,44118-2557,-81.5658351,41.503726,Ohio,44118,6944,,"40,242","2,239",865,18%,14967,7334,36012,10067,187,693,4387
The Brew Brothers / Scioto Downs Racino,brewpub,6000 S. High Street,Columbus,Ohio,43207,-82.995426,39.922819,Ohio,43207,6945,,"46,853",769,297,22%,19318,10134,30225,12111,794,1961,4599
The Brew Brothers/Eldorado Hotel and Casino,brewpub,345 N Virginia St,Reno,Nevada,89501-1136,-119.8164176,39.5367577,Nevada,89501,6946,,"3,948","2,707",1045,29%,1730,1152,24283,2137,74,0,1898
"The Brew Kettle, Taproom and Smokehouse",brewpub,8377 Pearl Rd,Strongsville,Ohio,44136-1637,-81.8224061,41.3471323,Ohio,44136,6947,,"25,890",719,278,16%,8864,4227,45258,9412,374,478,3342
The Brew Mentor,micro,9528 Diamond Centre Dr,Mentor,Ohio,44060-1876,-81.30001012,41.71468462,Ohio,44060,6948,,"60,360",583,225,18%,21010,10793,40384,23924,1061,1989,8584
The Brew On Broadway (The BoB),micro,3445 S Broadway,Englewood,Colorado,80113-2528,-104.98772,39.65416792,Colorado,80113,6949,,"22,821","1,135",438,22%,10301,5101,49483,9322,149,625,4650
The Brewer's Art / Old Line Brewery LLC,brewpub,1106 N Charles St,Baltimore,Maryland,21201-5557,-76.6146068,39.303716,Maryland,21201,6950,,"18,382","5,405",2087,24%,9034,4438,31570,3740,81,13,3096
The Brewer's Table,micro,4715 E 5th St,Austin,Texas,78702-5033,-97.7043433,30.2529441,Texas,78702,6952,,"25,910","1,915",739,33%,14895,8622,40799,7184,155,625,4530
The Brewery At Bacchus,brewpub,4 S Chestnut St,New Paltz,New York,12561-1902,-74.0867508,41.7472558,New York,12561,6955,,"18,726",116,45,13%,5002,2525,26876,5387,210,303,2694
The Brewhouse,brewpub,229 W Montecito St,Santa Barbara,California,93101-3824,-119.6954247,34.41245574,California,93101,6960,,"30,513","3,791",1464,26%,13939,7830,34454,9345,381,637,5524
The Brewing Lair,micro,67007 CA Hwy 70,Blairsden,California,96103-1651,-120.6140437,39.78456595,California,96103,6961,,"1,611",6,2,9%,261,141,38698,663,14,55,272
John S. Rhodell Brewery,micro,100 Walnut St Ste 111,Peoria,Illinois,61602-1544,-89.59536426,40.68918521,Illinois,61602,3859,INCOMPLETE,,261,101,,,,,,,,
The Brick Oven Brewpub,brewpub,604 Canton Rd,Akron,Ohio,44312-2513,-81.43734194,41.04719534,Ohio,44312,6964,,"30,510",627,242,20%,11712,6043,31732,12659,616,1485,4871
The Bronx Brewery,micro,856 E 136th St,Bronx,New York,10454-3509,-73.91064054,40.801861,New York,10454,6965,,"40,232","14,171",5472,20%,16086,8054,16712,2284,198,534,986
The Cleveland Brewery,micro,777 E 185th St,Cleveland,Ohio,44119-2170,-81.549766,41.586428,Ohio,44119,6967,,"12,134","2,246",867,21%,4774,2573,26726,2208,51,273,1343
The Collective Brewing Project,micro,112 Saint Louis Ave,Fort Worth,Texas,76104-1228,-97.32879227,32.74352324,Texas,76104,6968,,"21,571","1,247",481,19%,7820,3995,27160,2979,105,305,1625
The Courtyard Brewery,micro,1020 Erato St,New Orleans,Louisiana,70130-4112,-90.07054452,29.9387632,Louisiana,70130,6970,,"14,521","2,439",942,29%,7630,4259,43660,4958,206,227,3340
The Crossings Restaurant and Brewpub,brewpub,45 Main St,Putnam,Connecticut,06260-1917,-71.9081681,41.9144568,Connecticut,6260,6973,,"9,236",178,69,21%,3811,1927,29925,3525,244,445,1390
The Dancing Fox,brewpub,203 S School St,Lodi,California,95240-3511,-121.3878496,38.097198,California,95240,6974,,"49,102",281,108,22%,19568,10557,31686,9929,523,1365,3408
The Depot Craft Brewery Distillery,brewpub,325 E 4th St,Reno,Nevada,89512-3313,-119.809561,39.53112425,Nevada,89512,6975,,"30,148","1,742",673,19%,10578,5863,26317,7008,305,642,4502
The Distant Whistle Brewhouse,micro,118 S Main St,Vicksburg,Michigan,49097-1289,-85.53248776,42.11909502,Michigan,49097,6976,,"11,353",63,24,20%,4376,2259,37992,4417,305,284,1197
The Dreamchaser's Brewery,micro,115 E North Main St,Waxhaw,North Carolina,28173-6029,-80.74349914,34.92524057,North Carolina,28173,6977,,"64,144",218,84,19%,24839,12039,48405,15151,542,951,1959
The FarmHouse Brewery,micro,14 George St,Owego,New York,13827-1084,-76.26950941,42.11123746,New York,13827,6980,,"11,381",49,19,17%,3646,1916,32855,4948,207,376,2090
The Fat Cat Beer Co,contract,7979 Ivanhoe Ave Ste 555,La Jolla,California,92037-4570,-117.272443,32.84869008,California,92037,6981,,"41,260","1,202",464,17%,13510,7147,61566,13637,244,726,5604
The Federal Brewing Company,micro,102 S Main St,Federalsburg,Maryland,21632-1215,-75.77333325,38.69360488,Maryland,21632,6982,,"6,616",30,12,15%,2100,986,28606,1672,105,209,555
"The Feinics Company, Inc.",planning,,Pollock Pines,California,95726-9751,-120.5776645,38.7497125,California,95726,6983,,"8,985",21,8,17%,2598,1538,39698,3239,209,255,1080
Free Will Brewing Company,micro,410 E Walnut St Ste 10,Perkasie,Pennsylvania,18944-1683,-75.28115172,40.37048301,Pennsylvania,18944,2849,INCOMPLETE,,230,89,,,,,,,,
The Fox Brewpub,brewpub,310 S Carson St,Carson City,Nevada,89701-4754,-119.7708155,39.1269616,Nevada,89701,6988,,"29,213",321,124,24%,11642,6963,33744,8134,591,903,2920
"The Good Beer Company, Inc.",micro,309 W 4th St,Santa Ana,California,92701-4502,-117.8699581,33.74807823,California,92701,6991,,"48,789","5,868",2266,22%,20552,10957,26237,3585,246,672,1290
The Grain Shed,brewpub,1026 E Newark Ave,Spokane,Washington,99202,-117.3948236,47.64927782,Washington,99202,6994,,"21,969","1,333",515,20%,8052,4311,21103,6556,228,747,3552
The Grateful Gnome Sandwich Shoppe and Brewery,brewpub,4369 Stuart St,Denver,Colorado,80212-2335,-105.0432655,39.7764426,Colorado,80212,6995,,"20,397","2,143",827,29%,10619,5862,58135,8391,271,454,4687
The Guardian Brewing Company,micro,514 E Jackson Street,Muncie,Indiana,47305,-85.38148786,40.19281286,Indiana,47305,6996,,"3,629",914,353,23%,1358,847,20746,1226,35,81,845
The Guild Brewing Co - Pawtucket Beer Hall,brewpub,461 Main St,Pawtucket,Rhode Island,02860-2913,-71.3890045,41.8767586,Rhode Island,2860,6997,,"47,894","3,479",1343,22%,20676,10742,29387,10062,511,1430,4769
The Guild Brewing Co - Warren,brewpub,99 Water St Ste2,Warren,Rhode Island,2885,-71.28731013,41.73399952,Rhode Island,2885,6998,,"11,147",700,270,21%,4496,2307,38630,4845,205,601,2006
The Harmony Inn,brewpub,230 Mercer St,Harmony,Pennsylvania,16037-6812,-80.12650213,40.8029435,Pennsylvania,16037,7000,,"5,012",53,21,19%,1682,937,39261,1808,109,107,471
The Heavy Metal Brewing Co.,brewpub,809 Macarthur Blvd,Vancouver,Washington,98661-7013,-122.6171177,45.6275368,Washington,98661,7001,,"48,983","1,765",681,22%,20608,10959,34728,15837,900,2468,6687
The Hidden Mother Brewery,micro,412 W Sharp Ave,Spokane,Washington,99201-2421,-117.417792,47.669775,Washington,99201,7002,,"15,716","1,839",710,28%,7047,4366,21351,6517,126,396,4841
The Highway Brewing Co.,brewpub,209 W Houghton Ave,West Branch,Michigan,48661-1219,-84.23751651,44.27635208,Michigan,48661,7003,,"10,535",15,6,18%,3380,1883,26315,4221,182,368,1432
The Hold By Revelry Brewing,micro,36 Romney St,Charleston,South Carolina,29403-3825,-79.94569372,32.80761336,South Carolina,29403,7004,,"21,363","1,575",608,24%,9219,5097,34473,5648,166,123,3746
The Hop Brewery,brewpub,203 W Market St,Christopher,Illinois,62822,-89.05481692,37.97270012,Illinois,62822,7005,,"2,745",440,170,19%,926,523,22403,1162,51,129,585
The Hop Haus,micro,2568 SW Orchard Ct,Gresham,Oregon,97080-9532,-122.4497736,45.4787523,Oregon,97080,7006,,"45,647",828,320,21%,18182,9482,36987,14256,806,1213,3672
The Intrepid Sojourner Beer Project,micro,925 W 8th Ave,Denver,Colorado,80204-4333,-104.9993865,39.7291386,Colorado,80204,7008,,"35,269","2,385",921,29%,18264,10072,39441,10611,487,732,6377
The Jolly Scholar,brewpub,11111 Euclid Ave,Cleveland,Ohio,44106-1715,-81.60836498,41.5074076,Ohio,44106,7010,,"26,608","2,230",861,16%,7812,4147,20486,4569,47,188,3202
The Knickerbocker/ New Holland Brewing,brewpub,417 Bridge St NW,Grand Rapids,Michigan,49504-5305,-85.68044312,42.97068214,Michigan,49504,7011,,"41,249","1,416",547,20%,16645,8441,29112,13850,466,1325,6704
The Knuckle Brewing Company,brewpub,918 Harley Davidson Way,Sturgis,South Dakota,57785-8511,-103.5124614,44.41556787,South Dakota,57785,7012,,"9,895",7,3,21%,3726,2059,29261,3819,203,317,1311
The Larimer Beer Company,contract,3620 Newport St,Denver,Colorado,80207-1508,-104.9093487,39.76773768,Colorado,80207,7016,,"21,170","2,244",866,26%,10766,5508,49559,5091,264,435,1857
The Livery,brewpub,190 5th St,Benton Harbor,Michigan,49022-3484,-86.45330019,42.11813538,Michigan,49022,7018,,"30,143",172,66,19%,11281,5600,22091,5517,340,795,2217
The Lone Wolfe Brewing Co.,brewpub,36 Mill St,Wolfeboro,New Hampshire,03894-4485,-71.21503305,43.58572415,New Hampshire,3894,7021,,"6,382",52,20,14%,1675,916,32809,2976,0,384,1109
The Lost Borough Brewing Company,micro,543 Atlantic Ave,Rochester,New York,14609-7316,-77.56856467,43.15638738,New York,14609,7022,,"41,329","2,138",825,20%,17808,8334,31040,10319,438,1084,4987
The Malai Kitchen,brewpub,3699 McKinney Ave Ste 319,Dallas,Texas,75204-4563,-96.796677,32.808204,Texas,75204,7025,,"34,012","4,807",1856,33%,20836,11335,60872,13263,77,420,9796
The Manhattan Project Beer Company,micro,15103 Surveyor Blvd,Addison,Texas,75001-4316,-96.845846,32.951222,Texas,75001,7026,,"16,528","1,676",647,33%,9792,5417,51671,5273,93,264,3433
The Maple Grille LLC,brewpub,13105 Gratiot Rd,Hemlock,Michigan,48626-8444,-84.1741049,43.4157758,Michigan,48626,7027,,"5,962",35,14,18%,1974,1068,36362,2260,45,175,561
The Mason Jar Brewing Company,micro,29683 New Hub Dr Ste A,Menifee,California,92586-6545,-117.1772064,33.68931288,California,92586,7028,,"22,188","1,199",463,13%,5174,2878,27312,7063,136,630,3593
The Millworks Brewery,brewpub,340 Verbeke St,Harrisburg,Pennsylvania,17102-2052,-76.8874206,40.270538,Pennsylvania,17102,7029,,"7,989","3,933",1519,27%,3887,2194,32082,2653,60,177,1888
The Mitten Brewing Co,brewpub,527 Leonard St NW,Grand Rapids,Michigan,49504-4278,-85.68101,42.98507733,Michigan,49504,7030,,"41,249","1,416",547,20%,16645,8441,29112,13850,466,1325,6704
