name,brewery_type,address_1,city,state_province,postal_code,longitude,latitude,state,zip_code
5 Seasons Brewing Co - Westside,brewpub,1000 Marietta St NW Ste 204,Atlanta,Georgia,30318-0683,,,Georgia,30318
5 Stones Artisan Brewery,micro,11335 Farm To Market Road 1863,New Braunfels,Texas,78132,-98.232345,29.711365,Texas,78132
515 Brewing Co,micro,7700 University Ave,Clive,Iowa,50325-1271,-93.7228408,41.599992,Iowa,50325
5150 Brewing At The Brass Tap Rocklin,micro,5150 Commons Dr Ste 101,Rocklin,California,95677-3925,-121.207331,38.8047402,California,95677
51st State Brewing Company,brewpub,115 Harding Ave,Kingsford,Michigan,49802-3815,-88.08819,45.808408,Michigan,49802
51st Ward Beer Company,contract,323 N Washington St,Westmont,Illinois,60559-1512,-87.981157,41.804494,Illinois,60559
54-40 Brewing Company,brewpub,3801 S Truman Rd Ste 1,Washougal,Washington,98671-2589,-122.3269349,45.56577849,Washington,98671
550 Brewing,proprietor,119 E Chuska St,Aztec,New Mexico,87410-2110,-107.9950235,36.8213739,New Mexico,87410
559 Local Brewing,micro,608 4th St,Clovis,California,93612-1183,-119.7017487,36.82517171,California,93612
56 Brewing,micro,3055 Columbia Ave NE Ste 102,Minneapolis,Minnesota,55418-1860,,,Minnesota,55418
5770 Brewery,micro,303A W Main St,Teutopolis,Illinois,62467-1355,-88.47806652,39.13142194,Illinois,62467
5th Element Brewing,planning,,Leander,Texas,78641-4009,,,Texas,78641
5th Line Brewing Co,micro,1015 E Lincoln Ave Ste 106,Yakima,Washington,98901,-120.4930458,46.61136701,Washington,98901
5x5 Brewing Co.,planning,,Mission,Texas,78572-6215,,,Texas,78572
6 & 40 Brewery/Taproom,planning,,Lakewood,Colorado,80215-5548,-105.1100582,39.6311085,Colorado,80215
"6 Bears & A Goat Brewing Company, LLC",brewpub,1140 International Pkwy,Fredericksburg,Virginia,22406-1126,,,Virginia,22406
6 Bridges Brewing,planning,,Johns Creek,Georgia,30097,,,Georgia,30097
6 Degrees of Separation,brewpub,35 Main St,Ossining,New York,10562-4662,-73.86768188,41.15866213,New York,10562
603 Brewery,micro,12 Liberty Dr Unit 7,Londonderry,New Hampshire,03053-2286,,,New Hampshire,03053
608 Brewing Company,planning,,La Crosse,Wisconsin,54603,,,Wisconsin,54603
612 Brew,micro,945 Broadway St NE,Minneapolis,Minnesota,55413-1471,-93.2062058,45.000631,Minnesota,55413
6th and La Brea,brewpub,600 South La Brea Ave,Los Angeles,California,90036,-118.3440213,34.0730485,California,90036
7 Devils Brewing Co,brewpub,247 S 2nd St,Coos Bay,Oregon,97420-1642,-124.2147508,43.36654751,Oregon,97420
7 Hermits Brewing Company,brewpub,PO Box 3186,Eagle,Colorado,81631-3186,,,Colorado,81631
7 Hills Brewing Company,brewpub,1085 Washington St,Dubuque,Iowa,52001-4932,-90.6635263,42.5045556,Iowa,52001
7 Locks Brewing,micro,12227 Wilkins Ave,Rockville,Maryland,20852-1833,,,Maryland,20852
