City_ID,NAME,state,place,population_total,population_male,population_female,population_median_age,population_median_age_male,population_median_age_female,population_total_2,population_18_to_24,population_25_to_34,population_35_to_44,population_45_to_54,population_55_to_64,income_household,income_household_median,income_family_median,income_nonfamily_median,earnings_median,employment_total,employment_male,employment_female,occupancy_status_total,occupancy_status_occupied,occupancy_status_vacant
1083,"Monroe city, Louisiana",22,51410,47287,23232,24055,38.9,37.8,40.2,20445,5365,2130,1830,1953,1710,10613,33290,52283,72877,33183,27834,15331,15448,21154,18791,2363
1084,"Natchitoches city, Louisiana",22,53545,20445,9436,11009,26.5,24.9,28.2,27983,2908,2228,3836,3460,2906,158827,40391,37019,105176,21566,20223,5725,7589,8842,7467,1375
1085,"New Iberia city, Louisiana",22,54035,27983,13830,14153,36.4,35.9,36.7,376971,31032,59462,56973,43684,48761,12845,30449,68102,74545,21825,15506,8508,7921,13322,10613,2709
1086,"New Orleans city, Louisiana",22,55000,376971,178394,198577,38.3,37.7,39.0,35483,3320,5342,5278,3730,4586,9759,46942,113555,37591,36391,143517,117124,130980,194701,158827,35874
1087,"Prairieville CDP, Louisiana",22,62385,35483,17746,17737,33.8,36.5,33.3,23796,6861,3864,2180,1614,2019,7092,93554,42554,78257,41096,20416,12022,12117,12845,12845,0
1088,"Ruston city, Louisiana",22,66655,23796,12232,11564,26.5,23.6,33.3,20309,1755,1231,3070,3820,1854,76167,22726,115295,90515,20712,20048,9200,7615,11010,9759,1251
1089,"Shenandoah CDP, Louisiana",22,69225,20309,10757,9552,38.8,39.6,38.6,183489,15317,25109,23112,21218,21248,10271,113357,51903,61544,55980,20199,6331,6013,7909,7092,817
1090,"Shreveport city, Louisiana",22,70000,183489,84436,99053,38.3,36.3,40.4,28657,1839,3812,4016,2146,2711,9484,42034,59478,87571,30631,27657,51608,59509,90211,76167,14044
1091,"Slidell city, Louisiana",22,70805,28657,12577,16080,34.3,35.3,34.0,26231,2059,4431,2465,2996,4201,10093,57824,67133,65347,36037,19797,6811,8528,11416,10271,1145
1092,"Terrytown CDP, Louisiana",22,75180,26231,12020,14211,33.4,32.1,35.6,24023,2497,2368,2675,3036,3809,15542,53006,74898,51855,30105,30644,8059,8946,10016,9484,532
1093,"Auburn city, Maine",23,02060,24023,11071,12952,42.5,39.0,45.1,31922,2624,4381,4303,3543,4515,10042,58809,90504,63678,40924,57985,7557,7996,11026,10093,933
1094,"Bangor city, Maine",23,02795,31922,14725,17197,42.4,41.3,43.7,23646,2212,3138,2468,3017,3242,16205,45700,55127,29979,36895,16492,9660,10863,16842,15542,1300
1095,"Biddeford city, Maine",23,04860,23646,12257,11389,42.6,41.8,45.7,36621,5025,5314,4268,3595,5277,32523,53824,74800,71171,35595,16879,7174,7606,11158,10042,1116
1096,"Lewiston city, Maine",23,38740,36621,17855,18766,39.3,36.1,42.0,68329,4104,14416,11956,7041,8235,8830,54156,103538,46723,33780,23784,12039,11801,17486,16205,1281
1097,"Portland city, Maine",23,60545,68329,33134,35195,37.8,38.6,36.9,19177,975,2424,2201,3164,3212,9014,70244,113581,73699,46127,16308,23293,23238,35456,32523,2933
1098,"Saco city, Maine",23,64675,19177,9071,10106,47.6,44.3,48.7,19641,974,3524,2412,2332,3144,13095,66159,69558,66209,44158,31473,6322,6379,9946,8830,1116
1099,"Sanford city, Maine",23,65725,19641,9487,10154,44.5,42.9,45.3,27000,1654,3920,3735,3165,4196,7938,59391,103737,43466,41217,16830,5832,6808,9848,9014,834
1100,"South Portland city, Maine",23,71990,27000,13585,13415,45.8,46.7,43.6,20045,4446,2933,1474,1666,2382,17871,78018,67629,81964,50097,19556,9269,7994,14343,13095,1248
1101,"Waterville city, Maine",23,80740,20045,8456,11589,30.6,29.7,32.4,40698,2552,6755,5710,3578,3906,8628,48032,99661,45808,27980,37201,5333,7636,8166,7938,228
1102,"Annapolis city, Maryland",24,01600,40698,17916,22782,35.6,36.3,34.7,22356,1376,3185,4868,2682,2354,8832,87031,114242,41065,52002,20242,11195,12521,19623,17871,1752
1103,"Arbutus CDP, Maryland",24,01975,22356,12244,10112,36.2,35.9,36.5,24352,1875,2197,2537,3623,3326,16183,84753,148065,64273,57496,472136,7978,7086,8825,8628,197
1104,"Arnold CDP, Maryland",24,02275,24352,12529,11823,43.9,38.6,46.6,49211,3638,8007,5941,4703,5878,9796,135964,111960,73696,61493,22806,7278,7325,9448,8832,616
1105,"Aspen Hill CDP, Maryland",24,02825,49211,25149,24062,34.8,33.2,38.2,26228,1530,5583,4673,2913,2545,254370,106075,114758,70070,48485,46293,15392,13905,17367,16183,1184
1106,"Ballenger Creek CDP, Maryland",24,03800,26228,13545,12683,34.3,33.5,34.6,576498,53839,105520,79387,61882,73778,10512,95423,68178,47338,50624,17268,9060,8826,10016,9796,220
1107,"Baltimore city, Maryland",24,04000,576498,270543,305955,36.1,34.9,37.6,28224,1406,2450,4522,4618,3164,21660,54652,144511,78584,42296,55086,182129,204777,293487,254370,39117
1108,"Bel Air North CDP, Maryland",24,05825,28224,14055,14169,43.6,41.3,45.1,58628,4937,8501,7453,7240,7424,6449,115864,125364,84902,62511,48512,8354,8758,10748,10512,236
1109,"Bel Air South CDP, Maryland",24,05950,58628,29793,28835,37.6,35.7,39.8,22683,2001,2400,2953,2462,1777,27748,110685,82519,55060,58898,19662,19313,17439,22593,21660,933
1110,"Beltsville CDP, Maryland",24,06400,22683,11068,11615,36.9,32.7,42.1,68014,4896,7092,8520,10596,8620,20786,80323,250001,48996,31686,22595,7001,5825,6896,6449,447
1111,"Bethesda CDP, Maryland",24,07125,68014,33897,34117,43.9,41.3,44.9,57648,3753,7529,7327,8441,10693,9524,167162,151292,77876,104518,41633,20471,21252,29577,27748,1829
1112,"Bowie city, Maryland",24,08775,57648,28321,29327,44.1,40.3,48.3,24425,1831,3715,3584,3486,2469,13304,136352,110571,101000,67153,27218,19094,20608,21063,20786,277
1113,"Camp Springs CDP, Maryland",24,12600,24425,11781,12644,38.3,43.4,36.4,25549,3166,4637,1806,1112,4213,18057,102558,83293,65858,52004,20407,8615,6970,9899,9524,375
1114,"Carney CDP, Maryland",24,13325,25549,14334,11215,45.2,31.7,57.0,51748,8438,4032,9170,3339,6254,11810,57989,122602,62281,45538,36025,9441,5645,13888,13304,584
1115,"Catonsville CDP, Maryland",24,14125,51748,24984,26764,37.7,37.3,38.1,35004,2521,6636,4935,4620,4506,8536,103195,74627,57471,41727,16444,16313,15980,18451,18057,394
1116,"Chillum CDP, Maryland",24,16875,35004,16212,18792,35.6,36.5,35.2,27643,1553,2413,4217,4419,3298,14688,66714,139365,65058,35613,21917,10743,12651,12594,11810,784
1117,"Clarksburg CDP, Maryland",24,17350,27643,13858,13785,38.6,36.6,41.9,43465,3630,4071,4932,7192,7516,5927,114970,116141,26814,60015,33077,7666,9025,8536,8536,0
1118,"Clinton CDP, Maryland",24,17900,43465,20541,22924,46.3,44.0,49.8,20594,1283,2667,2477,2683,2887,10880,108638,142485,75756,47506,83577,13755,14352,14813,14688,125
1119,"Cloverly CDP, Maryland",24,18150,20594,9886,10708,39.8,39.6,41.5,25434,2813,4295,4181,2245,3084,9262,152568,92321,26481,47949,23341,6415,6351,6119,5927,192
1120,"Cockeysville CDP, Maryland",24,18250,25434,13639,11795,38.8,37.0,40.8,35107,18176,4821,2806,2471,2212,42050,80211,92470,29492,42131,48123,9351,7805,11168,10880,288
1121,"College Park city, Maryland",24,18750,35107,18283,16824,21.5,21.7,21.2,104043,8301,17166,15417,10541,12314,11879,74862,122121,64250,26816,19251,15841,15055,9864,9262,602
1122,"Columbia CDP, Maryland",24,19125,104043,49542,54501,37.9,37.9,38.0,31954,1533,4458,5423,3543,3490,23757,110002,137268,87413,67148,25259,31085,34554,43548,42050,1498
1123,"Crofton CDP, Maryland",24,20875,31954,15929,16025,36.7,34.2,37.8,57861,4480,9782,8208,5497,7965,9888,123259,58336,65294,65154,19726,9186,9893,11879,11879,0
1124,"Dundalk CDP, Maryland",24,23975,57861,27401,30460,39.4,36.7,42.1,24861,1612,4016,3292,3747,3454,11197,51842,91776,63817,38617,59383,17780,19134,25687,23757,1930
1125,"Edgewood CDP, Maryland",24,25150,24861,13640,11221,37.9,32.7,46.3,31550,2561,3569,3751,4608,4854,9592,71211,146590,51789,44894,32001,8101,8553,10366,9888,478
1126,"Eldersburg CDP, Maryland",24,25575,31550,16078,15472,42.3,40.5,44.1,27372,1406,4390,4482,4819,1991,27318,125376,123936,40892,67620,16239,10520,9816,11314,11197,117
1127,"Elkridge CDP, Maryland",24,25750,27372,12809,14563,33.8,32.9,35.1,76286,5967,4580,12015,11003,9486,16456,122866,153430,58435,69005,20082,7810,10054,9821,9592,229
1128,"Ellicott City CDP, Maryland",24,26000,76286,37743,38543,42.4,42.2,42.6,38791,1647,6970,5367,3515,5554,8374,141110,64944,58915,75759,63457,22834,23079,27995,27318,677
1129,"Essex CDP, Maryland",24,26600,38791,18716,20075,40.7,38.3,42.6,19517,1719,3066,2137,3077,3187,8358,56449,76701,72631,38634,54668,11090,12691,17271,16456,815
1130,"Fairland CDP, Maryland",24,27250,19517,10267,9250,42.7,39.4,45.7,24188,1001,2917,4232,2482,3940,33907,78054,131393,47060,38013,67501,6830,6524,8897,8374,523
1131,"Fort Washington CDP, Maryland",24,29525,24188,12319,11869,42.6,41.5,45.1,79588,6438,10888,10851,10583,10302,26764,130231,96798,36761,62020,55881,7641,7657,8906,8358,548
1132,"Frederick city, Maryland",24,30325,79588,37466,42122,37.9,37.4,38.2,69109,5970,11663,10806,9117,7577,30985,81411,110445,51290,46874,19194,24936,25724,35383,33907,1476
