name,brewery_type,address_1,City,State,postal_code,longitude,latitude,state_x,zip_code,brewery_id,NAME,state_y,place,population_total,population_male,population_female,population_median_age,population_median_age_male,population_median_age_female,population_total_2,population_18_to_24,population_25_to_34,population_35_to_44,population_45_to_54,population_55_to_64,income_household,income_household_median,income_family_median,income_nonfamily_median,earnings_median,employment_total,employment_male,employment_female,occupancy_status_total,occupancy_status_occupied,occupancy_status_vacant
101 Brewery,brewpub,294793 US Highway 101,Quilcene,Washington,98376-9000,-122.8755823,47.82347577,Washington,98376.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,
101 North Brewing Company,closed,1304 Scott St Ste D,Petaluma,California,94954-7100,-122.665055,38.27029381,California,94954.0,13,"Petaluma city, California",6.0,56784.0,59393.0,27755.0,31638.0,45.5,45.1,46.1,60755.0,6926.0,7060.0,9681.0,7329.0,7058.0,16067.0,102467.0,131616.0,61443.0,53478.0,49932.0,17782.0,18763.0,25458.0,24948.0,510.0
105 West Brewing Co,micro,1043 Park St,Castle Rock,Colorado,80109-1585,-104.8667206,39.38269495,Colorado,80109.0,14,"Castle Rock town, Colorado",8.0,12415.0,76366.0,36808.0,39558.0,35.6,36.5,34.9,106957.0,7154.0,12137.0,14510.0,15642.0,13190.0,39660.0,125657.0,137087.0,47455.0,62025.0,56465.0,24865.0,24891.0,28082.0,27249.0,833.0
10K Brewing,micro,2005 2nd Ave,Anoka,Minnesota,55303-2243,-93.38952559,45.19812039,Minnesota,55303.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
10th District Brewing Company,micro,491 Washington St,Abington,Massachusetts,02351-2419,-70.94594149,42.10591754,Massachusetts,2351.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Below Brewing Company,micro,6820 Bourgeois Rd,Houston,Texas,77066-3107,-95.5186591,29.9515464,Texas,77066.0,17,"Houston city, Texas",48.0,35000.0,2287047.0,1124951.0,1162096.0,34.8,34.7,35.0,22835.0,1704.0,5221.0,3563.0,2384.0,2402.0,9574.0,27153.0,104704.0,37383.0,33364.0,192072.0,772846.0,765525.0,1028763.0,924981.0,103782.0
1188 Brewing Co,brewpub,141 E Main St,John Day,Oregon,97845-1210,-118.9218754,44.4146563,Oregon,97845.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,
12 West Brewing Company - Production Facility,micro,,Mesa,Arizona,85207,-111.5860662,33.436188,Arizona,85207.0,21,"Mesa city, Arizona",4.0,46000.0,509492.0,252457.0,257035.0,37.7,37.2,38.2,509492.0,44340.0,76031.0,64891.0,55321.0,63204.0,20799.0,69266.0,83116.0,47460.0,39493.0,406200.0,158187.0,157221.0,221995.0,199112.0,22883.0
122 West Brewing Co,closed,2416 Meridian St,Bellingham,Washington,98225-2405,-122.485982,48.7621709,Washington,98225.0,22,"Bellingham city, Washington",53.0,5280.0,92290.0,44429.0,47861.0,32.9,32.0,33.7,19565.0,1029.0,2876.0,3344.0,2163.0,2056.0,19368.0,122665.0,78707.0,74578.0,30407.0,20258.0,33988.0,33666.0,42715.0,40653.0,2062.0
127 Brewing,micro,3090 Shirley Dr,Jackson,Michigan,49201-7010,-84.43116792,42.28667212,Michigan,49201.0,23,"Jackson city, Michigan",26.0,41420.0,31346.0,14152.0,17194.0,31.9,31.0,32.6,73255.0,20697.0,11983.0,8179.0,5970.0,5529.0,21152.0,34989.0,59445.0,43383.0,26435.0,30390.0,9445.0,10573.0,14070.0,12283.0,1787.0
12Degree Brewing,brewpub,820 Main St,Louisville,Colorado,80027-1865,-105.1319826,39.9782443,Colorado,80027.0,24,"Louisville city, Colorado",8.0,46355.0,22911.0,11402.0,11509.0,42.2,40.8,43.3,77185.0,5784.0,9009.0,10001.0,9020.0,10105.0,13452.0,143077.0,153596.0,33996.0,65290.0,18452.0,7679.0,7484.0,9545.0,9080.0,465.0
13 Below Brewery,micro,7391 Forbes Rd,Cincinnati,Ohio,45233-1013,-84.70634815,39.12639764,Ohio,45233.0,26,"Cincinnati city, Ohio",39.0,15000.0,308913.0,146416.0,162497.0,32.5,31.9,33.3,368006.0,37919.0,63547.0,44335.0,41713.0,50529.0,19452.0,60726.0,69237.0,17058.0,32244.0,107339.0,98523.0,109998.0,160420.0,144929.0,15491.0
13 Virtues Brewing Co,brewpub,6410 SE Milwaukie Ave,Portland,Oregon,97202-5518,-122.6487531,45.4762536,Oregon,97202.0,28,"Portland city, Oregon",41.0,59000.0,642218.0,318808.0,323410.0,38.3,38.3,38.3,35579.0,2708.0,7539.0,4020.0,3619.0,4012.0,11598.0,36125.0,79590.0,40542.0,46590.0,50737.0,229443.0,227784.0,303483.0,286734.0,16749.0
14 Cannons Brewing Company,micro,31125 Via Colinas Ste 907,Westlake Village,California,91362-3974,-118.802397,34.15334,California,91362.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
14er Brewing Company,proprietor,2801 Walnut St,Denver,Colorado,80205-2235,-104.9839636,39.7614112,Colorado,80205.0,32,"Denver city, Colorado",8.0,20000.0,711463.0,358282.0,353181.0,35.1,35.1,35.1,20328.0,4138.0,3382.0,3208.0,2591.0,1527.0,8555.0,81630.0,105365.0,43326.0,50986.0,592643.0,259713.0,246522.0,351829.0,326634.0,25195.0
16 Lots Brewing,brewpub,753 Reading Rd,Mason,Ohio,45040-1303,-84.3183801,39.3545967,Ohio,45040.0,34,"Mason city, Ohio",39.0,48188.0,35087.0,15902.0,19185.0,41.9,43.6,40.0,32241.0,1989.0,4911.0,4237.0,3803.0,4494.0,10705.0,89818.0,101796.0,32428.0,56774.0,40303.0,11499.0,13816.0,13205.0,12538.0,667.0
16 Mile Brewing Co,micro,413 S Bedford St,Georgetown,Delaware,19947-1849,-75.37816436,38.6788938,Delaware,19947.0,35,,,,,,,,,,,,,,,,,,,,,,,,,,
16 Stone Brewpub,brewpub,9542 Main St,Holland Patent,New York,13354,-75.2565195,43.24211175,New York,13354.0,36,,,,,,,,,,,,,,,,,,,,,,,,,,
1717 Brewing Co,micro,322 E Court Ave,Des Moines,Iowa,50309-2015,-93.6120353,41.5872267,Iowa,50309.0,38,"Des Moines city, Iowa",19.0,21000.0,212333.0,105192.0,107141.0,35.1,35.2,35.0,59118.0,6957.0,9013.0,6378.0,5755.0,7840.0,10350.0,60693.0,83093.0,31136.0,38262.0,64383.0,71833.0,69983.0,97957.0,90416.0,7541.0
1718 Ocracoke Brewing,brewpub,1129 Irvin Garrish Hwy,Ocracoke,North Carolina,27960,-75.97176063,35.10715368,North Carolina,27960.0,39,,,,,,,,,,,,,,,,,,,,,,,,,,
180 and Tapped,micro,2010 A State Ave,Coraopolis,Pennsylvania,15108,-80.15020356,40.50984957,Pennsylvania,15108.0,41,,,,,,,,,,,,,,,,,,,,,,,,,,
1817 Brewery,micro,100 B South Olive St,okolona,Mississippi,38860,-88.750264,34.001703,Mississippi,38860.0,42,,,,,,,,,,,,,,,,,,,,,,,,,,
1840 Brewing Company,micro,342 E Ward St,Milwaukee,Wisconsin,53207-1348,-87.90606942,43.00436242,Wisconsin,53207.0,43,"Milwaukee city, Wisconsin",55.0,53000.0,569326.0,275049.0,294277.0,32.3,31.2,33.1,27642.0,1764.0,2613.0,2705.0,3051.0,5509.0,17530.0,114080.0,109956.0,,32332.0,15646.0,178488.0,192146.0,257812.0,232362.0,25450.0
1850 Brewing Company,micro,,Mariposa,California,95338,-119.9036592,37.570148,California,95338.0,44,,,,,,,,,,,,,,,,,,,,,,,,,,
18th Street Brewery,micro,5725 Miller Ave,Gary,Indiana,46403-2871,-87.26887786,41.59928343,Indiana,46403.0,45,"Gary city, Indiana",18.0,27000.0,62035.0,26711.0,35324.0,36.3,37.6,35.6,33659.0,4148.0,3462.0,4579.0,2847.0,3739.0,10305.0,35468.0,47249.0,28330.0,31297.0,19046.0,15030.0,20325.0,36437.0,24454.0,11983.0
18th Street Brewery,micro,5417 Oakley Ave,Hammond,Indiana,46320-1817,-87.517422,41.61556796,Indiana,46320.0,46,"Hammond city, Indiana",18.0,31000.0,76991.0,38407.0,38584.0,37.4,34.8,38.1,23916.0,2126.0,2129.0,3086.0,3094.0,4488.0,11886.0,46248.0,90346.0,42586.0,31561.0,687369.0,25768.0,26566.0,33703.0,30737.0,2966.0
1905 Brewing Company,micro,1301 S Chestnut St,Assumption,Illinois,62510-8504,-89.0503635,39.5172564,Illinois,62510.0,47,,,,,,,,,,,,,,,,,,,,,,,,,,
1912 Brewing,micro,2045 N Forbes Blvd Ste 105,Tucson,Arizona,85745-1444,-110.9927505,32.24673727,Arizona,85745.0,48,"Tucson city, Arizona",4.0,77000.0,543215.0,271982.0,271233.0,33.6,32.8,34.6,97097.0,12076.0,15315.0,11351.0,7116.0,8544.0,36530.0,50306.0,61461.0,60109.0,30567.0,445020.0,183136.0,179304.0,242816.0,223068.0,19748.0
192 Brewing,micro,7324 NE 175th St,Kenmore,Washington,98028-2500,-122.2415652,47.75670075,Washington,98028.0,49,"Kenmore city, Washington",53.0,35170.0,24133.0,11894.0,12239.0,38.8,38.9,38.0,84478.0,8118.0,12839.0,10172.0,8607.0,9729.0,23054.0,81373.0,81174.0,38250.0,69924.0,51080.0,8549.0,7232.0,9390.0,8958.0,432.0
2 Basset Brewery,micro,202 E Main St,White Sulphur Springs,Montana,59645-9081,-110.9004865,46.54807609,Montana,59645.0,52,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Dogz and A Guy Brewing,micro,228 Church St,Montrose,Pennsylvania,18801-1271,-75.8800318,41.8336364,Pennsylvania,18801.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Feet Brewing Company,brewpub,80 Columbia St,Bangor,Maine,04401-6319,-68.77283099,44.80012684,Maine,4401.0,54,"Bangor city, Maine",23.0,2795.0,31922.0,14725.0,17197.0,42.4,41.3,43.7,23646.0,2212.0,3138.0,2468.0,3017.0,3242.0,16205.0,45700.0,55127.0,29979.0,36895.0,16492.0,9660.0,10863.0,16842.0,15542.0,1300.0
