NAME,state,place,population_total,population_male,population_female,population_median_age,population_median_age_male,population_median_age_female,population_total_2,population_18_to_24,population_25_to_34,population_35_to_44,population_45_to_54,population_55_to_64,income_household,income_household_median,income_family_median,income_nonfamily_median,earnings_median,employment_total,employment_male,employment_female,occupancy_status_total,occupancy_status_occupied,occupancy_status_vacant,City,State
"Camp Springs CDP, Maryland",24,12600,24425,11781,12644,38.3,43.4,36.4,25549.0,3166.0,4637.0,1806.0,1112.0,4213.0,18057.0,102558.0,83293.0,65858.0,52004,20407.0,8615,6970,9899,9524,375,Camp Spring,Maryland
"Carney CDP, Maryland",24,13325,25549,14334,11215,45.2,31.7,57.0,51748.0,8438.0,4032.0,9170.0,3339.0,6254.0,11810.0,57989.0,122602.0,62281.0,45538,36025.0,9441,5645,13888,13304,584,Carne,Maryland
"Catonsville CDP, Maryland",24,14125,51748,24984,26764,37.7,37.3,38.1,35004.0,2521.0,6636.0,4935.0,4620.0,4506.0,8536.0,103195.0,74627.0,57471.0,41727,16444.0,16313,15980,18451,18057,394,Catonsvill,Maryland
"Chillum CDP, Maryland",24,16875,35004,16212,18792,35.6,36.5,35.2,27643.0,1553.0,2413.0,4217.0,4419.0,3298.0,14688.0,66714.0,139365.0,65058.0,35613,21917.0,10743,12651,12594,11810,784,Chillu,Maryland
"Clarksburg CDP, Maryland",24,17350,27643,13858,13785,38.6,36.6,41.9,43465.0,3630.0,4071.0,4932.0,7192.0,7516.0,5927.0,114970.0,116141.0,26814.0,60015,33077.0,7666,9025,8536,8536,0,Clarksbur,Maryland
"Clinton CDP, Maryland",24,17900,43465,20541,22924,46.3,44.0,49.8,20594.0,1283.0,2667.0,2477.0,2683.0,2887.0,10880.0,108638.0,142485.0,75756.0,47506,83577.0,13755,14352,14813,14688,125,Clinto,Maryland
"Cloverly CDP, Maryland",24,18150,20594,9886,10708,39.8,39.6,41.5,25434.0,2813.0,4295.0,4181.0,2245.0,3084.0,9262.0,152568.0,92321.0,26481.0,47949,23341.0,6415,6351,6119,5927,192,Cloverl,Maryland
"Cockeysville CDP, Maryland",24,18250,25434,13639,11795,38.8,37.0,40.8,35107.0,18176.0,4821.0,2806.0,2471.0,2212.0,42050.0,80211.0,92470.0,29492.0,42131,48123.0,9351,7805,11168,10880,288,Cockeysvill,Maryland
"College Park city, Maryland",24,18750,35107,18283,16824,21.5,21.7,21.2,104043.0,8301.0,17166.0,15417.0,10541.0,12314.0,11879.0,74862.0,122121.0,64250.0,26816,19251.0,15841,15055,9864,9262,602,College Park,Maryland
"Columbia CDP, Maryland",24,19125,104043,49542,54501,37.9,37.9,38.0,31954.0,1533.0,4458.0,5423.0,3543.0,3490.0,23757.0,110002.0,137268.0,87413.0,67148,25259.0,31085,34554,43548,42050,1498,Columbi,Maryland
"Crofton CDP, Maryland",24,20875,31954,15929,16025,36.7,34.2,37.8,57861.0,4480.0,9782.0,8208.0,5497.0,7965.0,9888.0,123259.0,58336.0,65294.0,65154,19726.0,9186,9893,11879,11879,0,Crofto,Maryland
"Dundalk CDP, Maryland",24,23975,57861,27401,30460,39.4,36.7,42.1,24861.0,1612.0,4016.0,3292.0,3747.0,3454.0,11197.0,51842.0,91776.0,63817.0,38617,59383.0,17780,19134,25687,23757,1930,Dundal,Maryland
"Edgewood CDP, Maryland",24,25150,24861,13640,11221,37.9,32.7,46.3,31550.0,2561.0,3569.0,3751.0,4608.0,4854.0,9592.0,71211.0,146590.0,51789.0,44894,32001.0,8101,8553,10366,9888,478,Edgewoo,Maryland
"Eldersburg CDP, Maryland",24,25575,31550,16078,15472,42.3,40.5,44.1,27372.0,1406.0,4390.0,4482.0,4819.0,1991.0,27318.0,125376.0,123936.0,40892.0,67620,16239.0,10520,9816,11314,11197,117,Eldersbur,Maryland
"Elkridge CDP, Maryland",24,25750,27372,12809,14563,33.8,32.9,35.1,76286.0,5967.0,4580.0,12015.0,11003.0,9486.0,16456.0,122866.0,153430.0,58435.0,69005,20082.0,7810,10054,9821,9592,229,Elkridg,Maryland
"Ellicott City CDP, Maryland",24,26000,76286,37743,38543,42.4,42.2,42.6,38791.0,1647.0,6970.0,5367.0,3515.0,5554.0,8374.0,141110.0,64944.0,58915.0,75759,63457.0,22834,23079,27995,27318,677,Ellicott Cit,Maryland
"Essex CDP, Maryland",24,26600,38791,18716,20075,40.7,38.3,42.6,19517.0,1719.0,3066.0,2137.0,3077.0,3187.0,8358.0,56449.0,76701.0,72631.0,38634,54668.0,11090,12691,17271,16456,815,Esse,Maryland
"Fairland CDP, Maryland",24,27250,19517,10267,9250,42.7,39.4,45.7,24188.0,1001.0,2917.0,4232.0,2482.0,3940.0,33907.0,78054.0,131393.0,47060.0,38013,67501.0,6830,6524,8897,8374,523,Fairlan,Maryland
"Fort Washington CDP, Maryland",24,29525,24188,12319,11869,42.6,41.5,45.1,79588.0,6438.0,10888.0,10851.0,10583.0,10302.0,26764.0,130231.0,96798.0,36761.0,62020,55881.0,7641,7657,8906,8358,548,Fort Washingto,Maryland
"Frederick city, Maryland",24,30325,79588,37466,42122,37.9,37.4,38.2,69109.0,5970.0,11663.0,10806.0,9117.0,7577.0,30985.0,81411.0,110445.0,51290.0,46874,19194.0,24936,25724,35383,33907,1476,Frederick,Maryland
"Gaithersburg city, Maryland",24,31175,69109,32849,36260,35.9,35.5,36.1,85247.0,7914.0,11364.0,13431.0,11587.0,11137.0,27700.0,99429.0,104483.0,68695.0,50325,33602.0,22757,23552,29266,26764,2502,Gaithersburg,Maryland
"Germantown CDP, Maryland",24,32025,85247,40361,44886,37.0,36.4,37.4,71019.0,4790.0,10729.0,9627.0,8926.0,10147.0,10079.0,91931.0,97197.0,40927.0,49122,21359.0,28054,30088,31519,30985,534,Germantow,Maryland
"Glen Burnie CDP, Maryland",24,32650,71019,34142,36877,36.6,36.0,36.7,24557.0,1963.0,4946.0,2767.0,3528.0,2480.0,18749.0,83577.0,115945.0,61685.0,47660,16428.0,22258,24097,28452,27700,752,Glen Burni,Maryland
"Greenbelt city, Maryland",24,34775,24557,11174,13383,33.8,31.9,33.9,43500.0,4196.0,5239.0,5650.0,6313.0,5345.0,9340.0,88940.0,52316.0,63075.0,46648,14479.0,7183,9065,10798,10079,719,Greenbelt,Maryland
"Hagerstown city, Maryland",24,36075,43500,19871,23629,37.4,39.7,35.5,27084.0,1784.0,4233.0,3317.0,4323.0,4741.0,8291.0,41695.0,162369.0,72393.0,33691,24641.0,12858,14727,20214,18749,1465,Hagerstown,Maryland
"Ilchester CDP, Maryland",24,41475,27084,14530,12554,37.7,33.4,40.8,22625.0,1112.0,3430.0,4335.0,2108.0,2546.0,5065.0,147943.0,80706.0,66320.0,68182,23539.0,10180,9027,9381,9340,41,Ilcheste,Maryland
"Landover CDP, Maryland",24,45325,22625,11427,11198,33.9,34.2,33.8,20657.0,2264.0,2669.0,2942.0,2359.0,2245.0,12885.0,73196.0,65823.0,71376.0,45081,15908.0,7358,7143,8722,8291,431,Landove,Maryland
"Langley Park CDP, Maryland",24,45525,20657,12043,8614,28.4,28.1,29.4,29481.0,2634.0,6170.0,5186.0,4021.0,3358.0,10917.0,73457.0,109496.0,61335.0,25874,26462.0,8202,4995,5065,5065,0,Langley Par,Maryland
"Laurel city, Maryland",24,45900,29481,14358,15123,36.3,36.7,35.9,30798.0,1969.0,4113.0,3608.0,4285.0,4293.0,7801.0,85190.0,83470.0,31108.0,51708,21783.0,10515,11454,13638,12885,753,Laurel,Maryland
"Lochearn CDP, Maryland",24,47450,30798,15476,15322,37.8,37.1,40.3,20372.0,3566.0,3315.0,3072.0,2748.0,1963.0,13258.0,70033.0,84857.0,86875.0,41063,25485.0,9705,9405,11641,10917,724,Lochear,Maryland
"Maryland City CDP, Maryland",24,51075,20372,10070,10302,29.6,32.1,25.9,30612.0,3135.0,5255.0,2985.0,5149.0,3750.0,11352.0,91916.0,69575.0,73464.0,43611,38856.0,8189,6969,7801,7801,0,Maryland Cit,Maryland
"Middle River CDP, Maryland",24,52300,30612,13240,17372,39.9,39.2,40.5,27938.0,2019.0,3839.0,3028.0,3773.0,3082.0,11595.0,59288.0,79523.0,91997.0,36683,19304.0,8983,12052,13968,13258,710,Middle Rive,Maryland
"Milford Mill CDP, Maryland",24,52562,27938,11188,16750,40.8,35.7,42.1,32388.0,2173.0,5063.0,4078.0,4748.0,4548.0,21246.0,52217.0,85690.0,46045.0,41015,22348.0,6706,9461,11722,11352,370,Milford Mil,Maryland
"Montgomery Village CDP, Maryland",24,53325,32388,16594,15794,37.6,36.2,40.7,48096.0,2437.0,7840.0,7101.0,5572.0,5398.0,7944.0,84919.0,160198.0,41657.0,40020,33798.0,11132,10332,12259,11595,664,Montgomery Villag,Maryland
"North Bethesda CDP, Maryland",24,56337,48096,23431,24665,40.5,38.7,42.4,25245.0,2105.0,3676.0,4793.0,3140.0,2271.0,8410.0,122274.0,152152.0,76341.0,72286,29737.0,14270,14564,21862,21246,616,North Bethesd,Maryland
"North Laurel CDP, Maryland",24,56725,25245,12652,12593,35.1,33.3,37.3,26822.0,3926.0,1649.0,2272.0,4785.0,4440.0,17580.0,134013.0,168952.0,42194.0,51790,25253.0,8650,8170,8173,7944,229,North Laure,Maryland
"North Potomac CDP, Maryland",24,56875,26822,13155,13667,46.3,47.1,46.0,42944.0,5474.0,4965.0,7341.0,5366.0,5201.0,12322.0,160109.0,144891.0,41805.0,71613,21972.0,8685,9078,8758,8410,348,North Potoma,Maryland
"Odenton CDP, Maryland",24,58300,42944,19998,22946,37.4,33.2,38.3,37831.0,2821.0,3027.0,5148.0,4682.0,5912.0,12779.0,124327.0,166111.0,31564.0,60473,18436.0,13032,16385,18372,17580,792,Odento,Maryland
"Olney CDP, Maryland",24,58900,37831,17087,20744,43.0,41.3,43.3,30905.0,3029.0,5626.0,2745.0,5827.0,4364.0,11956.0,156250.0,105238.0,31440.0,72965,28727.0,10423,12704,12626,12322,304,Olne,Maryland
"Owings Mills CDP, Maryland",24,59425,30905,12736,18169,40.0,40.1,38.3,25378.0,1705.0,3471.0,3320.0,3853.0,4870.0,9733.0,76995.0,85462.0,50453.0,42952,22822.0,9957,12307,13412,12779,633,Owings Mill,Maryland
"Parkville CDP, Maryland",24,60275,25378,12528,12850,43.1,41.5,45.4,20481.0,1920.0,2365.0,852.0,3469.0,2562.0,12908.0,65182.0,97887.0,40565.0,49894,31728.0,9113,9252,13170,11956,1214,Parkvill,Maryland
"Parole CDP, Maryland",24,60325,20481,10564,9917,53.0,45.5,63.2,33221.0,3005.0,7563.0,5301.0,4003.0,5110.0,11575.0,92959.0,108794.0,43767.0,45977,39292.0,6991,4473,9733,9733,0,Parol,Maryland
"Pasadena CDP, Maryland",24,60475,33221,15149,18072,36.8,37.3,35.9,28032.0,2070.0,4660.0,2439.0,3549.0,3905.0,15984.0,108760.0,112114.0,44801.0,55284,31049.0,11619,14082,13258,12908,350,Pasaden,Maryland
"Perry Hall CDP, Maryland",24,60975,28032,13011,15021,38.8,36.1,46.3,37723.0,2923.0,6000.0,2778.0,5189.0,4468.0,17174.0,91626.0,122251.0,29327.0,51146,21447.0,8022,8982,12147,11575,572,Perry Hal,Maryland
"Pikesville CDP, Maryland",24,61400,37723,17674,20049,45.6,42.7,48.4,48246.0,2627.0,1873.0,5848.0,7857.0,6161.0,13764.0,95258.0,222164.0,23677.0,55775,53699.0,10425,11798,16591,15984,607,Pikesvill,Maryland
"Potomac CDP, Maryland",24,63300,48246,23265,24981,48.2,47.6,48.4,38309.0,4359.0,2113.0,5282.0,6449.0,5069.0,10394.0,200813.0,100726.0,46269.0,100907,18307.0,12207,14332,17388,17174,214,Potoma,Maryland
"Randallstown CDP, Maryland",24,64950,38309,17915,20394,41.6,39.2,44.1,27779.0,2442.0,3087.0,2988.0,4425.0,3039.0,25537.0,85502.0,111250.0,63750.0,42555,26137.0,12003,12747,13978,13764,214,Randallstow,Maryland
"Reisterstown CDP, Maryland",24,65600,27779,13481,14298,39.8,32.8,40.8,67133.0,3541.0,9628.0,10876.0,9276.0,6725.0,7764.0,69780.0,146679.0,47216.0,48110,16397.0,8263,8421,10773,10394,379,Reisterstow,Maryland
"Rockville city, Maryland",24,67675,67133,33882,33251,39.7,37.6,43.1,20828.0,1729.0,2862.0,3174.0,1765.0,4332.0,12493.0,118903.0,92727.0,26830.0,69456,42995.0,20603,20861,26760,25537,1223,Rockville,Maryland
"Rosedale CDP, Maryland",24,68400,20828,9972,10856,42.5,40.2,50.2,32935.0,5159.0,4089.0,3943.0,3777.0,3465.0,6812.0,74852.0,81848.0,66486.0,47754,32369.0,6559,7859,8182,7764,418,Rosedal,Maryland
"Salisbury city, Maryland",24,69925,32935,14859,18076,31.6,31.5,31.6,20336.0,2052.0,3479.0,2552.0,2827.0,2352.0,20830.0,49517.0,62121.0,56263.0,22769,63047.0,9716,12173,13409,12493,916,Salisbury,Maryland
"Seabrook CDP, Maryland",24,70775,20336,9327,11009,35.8,31.7,40.6,54291.0,4124.0,10428.0,7741.0,6062.0,6878.0,14067.0,66613.0,134242.0,100381.0,37675,22257.0,6653,7092,7317,6812,505,Seabroo,Maryland
"Severn CDP, Maryland",24,71150,54291,26403,27888,35.4,34.5,36.9,41259.0,3372.0,2767.0,5858.0,6097.0,7266.0,33307.0,117030.0,180364.0,78984.0,67373,22525.0,17750,18112,21322,20830,492,Sever,Maryland
"Severna Park CDP, Maryland",24,71200,41259,20091,21168,42.3,39.2,44.3,80265.0,7821.0,12464.0,13549.0,8894.0,7620.0,11081.0,149740.0,112165.0,46354.0,72243,50487.0,13505,13274,14467,14067,400,Severna Par,Maryland
"Silver Spring CDP, Maryland",24,72450,80265,36995,43270,35.9,35.0,36.3,27496.0,2778.0,3854.0,5920.0,2310.0,3210.0,12081.0,84223.0,75055.0,48908.0,47467,64745.0,24279,27923,34703,33307,1396,Silver Sprin,Maryland
"South Laurel CDP, Maryland",24,73650,27496,13671,13825,36.9,36.5,37.7,26897.0,1983.0,4886.0,3726.0,2716.0,5023.0,23144.0,72493.0,76262.0,49505.0,40546,42600.0,8625,9734,11671,11081,590,South Laure,Maryland
"Suitland CDP, Maryland",24,75725,26897,12126,14771,40.4,35.2,42.8,62994.0,10251.0,8558.0,7005.0,5227.0,6758.0,29701.0,63302.0,132852.0,100068.0,43772,26689.0,8576,10469,12531,12081,450,Suitlan,Maryland
"Towson CDP, Maryland",24,78425,62994,27303,35691,33.7,38.0,30.8,80123.0,6633.0,11760.0,10958.0,12143.0,11935.0,16468.0,93032.0,120545.0,36986.0,49765,23343.0,17566,21777,24901,23144,1757,Towso,Maryland
"Waldorf CDP, Maryland",24,81175,80123,37177,42946,39.0,38.5,39.6,53474.0,4407.0,7600.0,8338.0,8018.0,6836.0,13333.0,103784.0,101192.0,86225.0,50968,37498.0,26287,29376,30901,29701,1200,Waldor,Maryland
"Wheaton CDP, Maryland",24,83775,53474,27383,26091,37.3,36.1,38.7,35719.0,1263.0,5015.0,5796.0,3306.0,4629.0,11679.0,96401.0,88165.0,38728.0,44278,35660.0,18836,17921,16775,16468,307,Wheato,Maryland
"Woodlawn CDP (Baltimore County), Maryland",24,86475,35719,14970,20749,37.4,35.7,39.3,28494.0,1009.0,3171.0,5391.0,3142.0,4097.0,9540.0,74860.0,125292.0,47141.0,47881,36528.0,8927,12313,13793,13333,460,Woodlawn CDP (Baltimore Co,Maryland
"Agawam Town city, Massachusetts",25,840,28494,14287,14207,41.6,41.4,42.0,39388.0,23899.0,2895.0,1735.0,1550.0,2178.0,18431.0,79769.0,121696.0,69656.0,55715,42969.0,9226,8250,12228,11679,549,Agawam Town,Massachusetts
"Amherst Town city, Massachusetts",25,1370,39388,18160,21228,21.1,21.5,20.8,45615.0,2292.0,6530.0,6319.0,6979.0,4918.0,17733.0,62009.0,181985.0,43343.0,9187,21523.0,14955,17799,11118,9540,1578,Amherst Town,Massachusetts
"Arlington CDP, Massachusetts",25,1640,45615,22210,23405,39.1,38.5,39.6,46579.0,3656.0,5231.0,7933.0,5959.0,5662.0,20998.0,136017.0,94503.0,31425.0,78125,36203.0,13441,14830,19217,18431,786,Arlingto,Massachusetts
"Attleboro city, Massachusetts",25,2690,46579,22780,23799,38.8,35.7,41.2,49591.0,3817.0,6777.0,5078.0,5941.0,7946.0,10576.0,86187.0,99086.0,66852.0,45123,564064.0,14100,15896,18758,17733,1025,Attleboro,Massachusetts
"Barnstable Town city, Massachusetts",25,3690,49591,22832,26759,48.5,50.5,46.6,26833.0,1195.0,3366.0,3535.0,4271.0,3214.0,16497.0,85196.0,192500.0,42205.0,40616,32225.0,13178,16740,26525,20998,5527,Barnstable Town,Massachusetts
"Belmont CDP, Massachusetts",25,5105,26833,13176,13657,41.6,41.1,41.9,42448.0,5630.0,5707.0,4254.0,4696.0,6895.0,271941.0,162258.0,125187.0,70446.0,92320,23622.0,8314,8401,10965,10576,389,Belmon,Massachusetts
"Beverly city, Massachusetts",25,5595,42448,20496,21952,40.5,41.6,38.5,654281.0,98867.0,151591.0,85769.0,65244.0,68987.0,15250.0,95133.0,92973.0,34123.0,50698,81857.0,13126,15030,16786,16497,289,Beverly,Massachusetts
"Boston city, Massachusetts",25,7000,654281,315141,339140,33.0,32.4,33.5,38821.0,3035.0,5511.0,6006.0,4652.0,5462.0,9026.0,79283.0,141594.0,47222.0,49039,52935.0,232473,248513,307025,271941,35084,Boston,Massachusetts
"Braintree Town city, Massachusetts",25,7740,38821,19515,19306,40.5,38.1,42.9,28811.0,4696.0,3246.0,4191.0,2423.0,3213.0,37554.0,119604.0,100080.0,53559.0,57826,20840.0,12945,12643,16045,15250,795,Braintree Town,Massachusetts
"Bridgewater Town city, Massachusetts",25,8130,28811,14726,14085,36.1,36.5,35.6,105455.0,10318.0,13755.0,13102.0,12214.0,12374.0,26733.0,89444.0,77768.0,100442.0,34322,106121.0,9291,8861,9087,9026,61,Bridgewater Town,Massachusetts
"Brockton city, Massachusetts",25,9000,105455,50254,55201,36.6,35.8,37.2,62728.0,7286.0,11852.0,8338.0,6453.0,6528.0,10695.0,68581.0,200989.0,27468.0,40334,30618.0,32382,32310,38391,37554,837,Brockton,Massachusetts
"Brookline CDP, Massachusetts",25,9210,62728,29317,33411,35.2,35.0,35.5,25990.0,2314.0,3096.0,3433.0,4360.0,2612.0,52487.0,134717.0,113560.0,46868.0,69867,47293.0,20898,21762,29271,26733,2538,Brooklin,Massachusetts
"Burlington CDP, Massachusetts",25,9875,25990,11896,14094,43.0,41.8,43.4,117097.0,25079.0,33030.0,15925.0,7755.0,9327.0,14361.0,111225.0,140521.0,37126.0,68444,24194.0,7985,7830,11521,10695,826,Burlingto,Massachusetts
"Cambridge city, Massachusetts",25,11000,117097,57484,59613,30.6,30.6,30.6,38871.0,2395.0,7712.0,5792.0,5154.0,4725.0,22670.0,104746.0,62540.0,63902.0,57295,20890.0,47401,45344,57581,52487,5094,Cambridge,Massachusetts
"Chelsea city, Massachusetts",25,13205,38871,20150,18721,35.5,35.9,35.1,55198.0,6175.0,7018.0,4934.0,8260.0,8214.0,10203.0,61907.0,75743.0,81926.0,34028,40156.0,14811,11626,14709,14361,348,Chelsea,Massachusetts
"Chicopee city, Massachusetts",25,13660,55198,25341,29857,43.2,46.0,41.1,27899.0,1968.0,2947.0,3799.0,3708.0,4436.0,10334.0,59728.0,124176.0,82908.0,40260,75691.0,17352,19567,23730,22670,1060,Chicopee,Massachusetts
"Danvers CDP, Massachusetts",25,16285,27899,14120,13779,45.5,43.8,48.2,25251.0,1507.0,3603.0,3756.0,3092.0,2962.0,18239.0,115743.0,161484.0,64856.0,54630,36739.0,9553,8710,10597,10203,394,Danver,Massachusetts
"Dedham CDP, Massachusetts",25,16530,25251,11737,13514,42.1,41.5,42.4,48552.0,3984.0,7172.0,7482.0,6906.0,6674.0,40521.0,120758.0,73445.0,34889.0,72134,55532.0,7336,8053,10648,10334,314,Dedha,Massachusetts
"Everett city, Massachusetts",25,21990,48552,24912,23640,40.1,37.9,44.8,93883.0,8004.0,13423.0,10631.0,12794.0,13582.0,18810.0,67146.0,58051.0,41419.0,37496,27883.0,16464,16372,19580,18239,1341,Everett,Massachusetts
"Fall River city, Massachusetts",25,23000,93883,43598,50285,39.1,38.9,39.4,41722.0,5317.0,5336.0,4650.0,5018.0,6503.0,26320.0,46672.0,81398.0,51333.0,36590,25078.0,28924,31825,43230,40521,2709,Fall River,Massachusetts
"Fitchburg city, Massachusetts",25,23875,41722,20726,20996,44.5,44.2,45.3,71260.0,6108.0,9479.0,12647.0,9054.0,7506.0,11989.0,61322.0,110591.0,54742.0,41193,53302.0,14462,13169,20098,18810,1288,Fitchburg,Massachusetts
"Framingham city, Massachusetts",25,24960,71260,37776,33484,36.6,34.3,38.4,33025.0,3786.0,2955.0,3499.0,6050.0,6123.0,12768.0,94023.0,160764.0,54312.0,50940,29024.0,25286,21608,27159,26320,839,Framingham,Massachusetts
"Franklin Town city, Massachusetts",25,25172,33025,16273,16752,46.1,45.1,47.4,29949.0,2599.0,3893.0,3063.0,3378.0,4441.0,25293.0,134236.0,113554.0,46125.0,64905,67261.0,12006,11228,12673,11989,684,Franklin Town,Massachusetts
"Gloucester city, Massachusetts",25,26150,29949,14815,15134,45.3,45.0,45.7,67356.0,5674.0,10600.0,7136.0,8648.0,10299.0,14005.0,85690.0,98227.0,40497.0,50543,35855.0,8623,9067,14120,12768,1352,Gloucester,Massachusetts
"Haverhill city, Massachusetts",25,29405,67356,31957,35399,37.0,36.4,37.3,37927.0,3194.0,5179.0,5175.0,3092.0,3705.0,30366.0,80388.0,55954.0,22105.0,42043,26098.0,20177,24062,26413,25293,1120,Haverhill,Massachusetts
"Holyoke city, Massachusetts",25,30840,37927,17810,20117,36.8,39.0,34.1,88511.0,10563.0,12863.0,12836.0,10709.0,8154.0,19541.0,45603.0,48349.0,27925.0,35205,92421.0,9830,11371,15413,14005,1408,Holyoke,Massachusetts
"Lawrence city, Massachusetts",25,34550,88511,41450,47061,31.0,30.5,31.9,43610.0,4585.0,5433.0,5962.0,4738.0,7155.0,12094.0,49087.0,82384.0,40096.0,28864,80691.0,27332,30552,31378,30366,1012,Lawrence,Massachusetts
"Leominster city, Massachusetts",25,35075,43610,22980,20630,40.4,39.5,42.5,34075.0,1315.0,1652.0,4591.0,5543.0,4067.0,42577.0,67122.0,228774.0,43453.0,48078,54192.0,14969,13463,21114,19541,1573,Leominster,Massachusetts
"Lexington CDP, Massachusetts",25,35250,34075,15940,18135,45.7,46.1,45.0,114005.0,14060.0,16847.0,13397.0,12860.0,16878.0,37304.0,205569.0,75841.0,45815.0,104559,34124.0,8643,9635,12213,12094,119,Lexingto,Massachusetts
"Lowell city, Massachusetts",25,37000,114005,54912,59093,36.3,34.8,37.8,100831.0,8932.0,13809.0,15269.0,12397.0,13058.0,26386.0,64221.0,83980.0,32395.0,34450,55953.0,37792,38985,44466,42577,1889,Lowell,Massachusetts
"Lynn city, Massachusetts",25,37490,100831,50353,50478,37.8,33.9,40.7,65057.0,5271.0,13933.0,10860.0,8186.0,6615.0,17630.0,64986.0,96380.0,30864.0,41249,24027.0,35343,31432,39222,37304,1918,Lynn,Massachusetts
"Malden city, Massachusetts",25,37875,65057,31645,33412,36.4,35.2,37.5,41118.0,2767.0,7610.0,6045.0,4637.0,6395.0,25462.0,86410.0,97483.0,71047.0,50326,41387.0,23952,21970,28151,26386,1765,Malden,Massachusetts
"Marlborough city, Massachusetts",25,38715,41118,20819,20299,38.2,38.3,38.1,62105.0,7325.0,15920.0,9129.0,6473.0,5241.0,12040.0,79579.0,135718.0,31996.0,45126,24291.0,14712,13202,18772,17630,1142,Marlborough,Massachusetts
"Medford city, Massachusetts",25,39835,62105,29536,32569,35.3,35.3,35.4,29315.0,1113.0,3262.0,4304.0,5002.0,4444.0,18582.0,120955.0,171794.0,45889.0,63570,21002.0,21621,23412,27113,25462,1651,Medford,Massachusetts
"Melrose city, Massachusetts",25,40115,29315,13776,15539,44.7,44.0,47.2,52804.0,5133.0,6662.0,7309.0,6971.0,6440.0,10378.0,140270.0,91732.0,39555.0,78679,23212.0,9523,9489,12040,12040,0,Melrose,Massachusetts
"Methuen Town city, Massachusetts",25,40710,52804,25421,27383,36.8,35.6,37.2,28848.0,2903.0,3351.0,4116.0,3776.0,4366.0,7446.0,79719.0,84367.0,26359.0,45031,80888.0,16103,18001,19330,18582,748,Methuen Town,Massachusetts
"Milford CDP, Massachusetts",25,41200,28848,14335,14513,41.4,40.4,43.3,28385.0,3521.0,2022.0,3663.0,4666.0,2608.0,11305.0,82560.0,219792.0,24017.0,34682,70890.0,9780,9829,11102,10378,724,Milfor,Massachusetts
"Milton CDP, Massachusetts",25,41725,28385,12965,15420,34.9,36.3,34.0,32051.0,1607.0,1500.0,5953.0,4299.0,3940.0,42743.0,201970.0,239578.0,34821.0,82747,25671.0,8247,9517,7832,7446,386,Milto,Massachusetts
"Needham CDP, Massachusetts",25,44140,32051,14882,17169,41.0,42.0,40.5,100947.0,9597.0,12812.0,14312.0,13613.0,11029.0,29961.0,182553.0,52348.0,60930.0,102176,25165.0,9299,9153,11436,11305,131,Needha,Massachusetts
"New Bedford city, Massachusetts",25,45000,100947,50997,49950,38.5,38.1,38.6,87455.0,11665.0,8428.0,11518.0,11474.0,10461.0,12877.0,49237.0,224531.0,58984.0,34896,25757.0,33010,31031,44717,42743,1974,New Bedford,Massachusetts
"Newton city, Massachusetts",25,45560,87455,42337,45118,39.2,38.7,39.5,29312.0,5022.0,3542.0,3320.0,3086.0,3750.0,13489.0,183208.0,104613.0,20639.0,78069,46494.0,27154,29035,31501,29961,1540,Newton,Massachusetts
"Northampton city, Massachusetts",25,46330,29312,11879,17433,41.4,38.7,41.8,30852.0,1650.0,4727.0,4348.0,5143.0,4809.0,13938.0,67878.0,133518.0,88839.0,36949,36097.0,8065,11455,13714,12877,837,Northampton,Massachusetts
"North Attleborough Town city, Massachusetts",25,46598,30852,15254,15598,40.9,40.4,43.3,31447.0,1976.0,6092.0,5282.0,2539.0,3584.0,22793.0,103625.0,120540.0,40914.0,62018,87211.0,10063,10983,13563,13489,74,North Attleborough Town,Massachusetts
"Norwood CDP, Massachusetts",25,50285,31447,15520,15927,38.2,36.3,41.8,54112.0,3901.0,6144.0,5820.0,5655.0,9649.0,19466.0,92560.0,112446.0,43664.0,66721,29354.0,10001,9605,14418,13938,480,Norwoo,Massachusetts
"Peabody city, Massachusetts",25,52490,54112,26740,27372,51.3,51.3,51.2,43642.0,2977.0,4506.0,5518.0,6433.0,8135.0,44051.0,79986.0,78485.0,22396.0,51787,20862.0,16838,15223,23286,22793,493,Peabody,Massachusetts
"Pittsfield city, Massachusetts",25,53960,43642,21024,22618,45.6,43.9,46.9,101131.0,8036.0,22294.0,13755.0,12430.0,13228.0,12998.0,61049.0,113386.0,47921.0,45115,48115.0,14172,14079,21933,19466,2467,Pittsfield,Massachusetts
"Quincy city, Massachusetts",25,55745,101131,50982,50149,37.6,36.3,39.1,34710.0,2682.0,5086.0,4450.0,4606.0,5770.0,9444.0,81748.0,115041.0,29101.0,51016,40433.0,35076,36508,46911,44051,2860,Quincy,Massachusetts
"Randolph Town city, Massachusetts",25,56000,34710,16283,18427,43.5,41.1,44.7,25216.0,1788.0,3476.0,3725.0,2961.0,4108.0,21171.0,85011.0,177144.0,29878.0,47186,25279.0,10713,12335,13287,12998,289,Randolph Town,Massachusetts
"Reading CDP, Massachusetts",25,56165,25216,12582,12634,40.4,35.8,43.4,59075.0,2520.0,9075.0,10778.0,9501.0,6383.0,21298.0,156271.0,83679.0,22540.0,77238,72757.0,8839,8194,9870,9444,426,Readin,Massachusetts
