NAME,state,place,population_total,population_male,population_female,population_median_age,population_median_age_male,population_median_age_female,population_total_2,population_18_to_24,population_25_to_34,population_35_to_44,population_45_to_54,population_55_to_64,income_household,income_household_median,income_family_median,income_nonfamily_median,earnings_median,employment_total,employment_male,employment_female,occupancy_status_total,occupancy_status_occupied,occupancy_status_vacant,City,State
"Hanahan city, South Carolina",45,32065,19220,9011,10209,32.6,33.4,31.7,38073.0,1284.0,1917.0,3428.0,4330.0,7736.0,9696.0,66117.0,80639.0,38494.0,55348,33486.0,5952,6726,8814,7983,831,Hanahan,South Carolina
"Hilton Head Island town, South Carolina",45,34045,38073,17893,20180,59.6,61.1,58.2,24214.0,1751.0,3110.0,4602.0,2144.0,3693.0,10102.0,73938.0,116322.0,31620.0,37940,19382.0,8795,10885,31165,16657,14508,Hilton Head Island,South Carolina
"Lexington town, South Carolina",45,41335,24214,13050,11164,39.8,37.7,42.6,25642.0,2470.0,2341.0,4769.0,2999.0,3323.0,37983.0,99298.0,63339.0,47370.0,49381,94018.0,8834,6959,10003,9696,307,Lexington,South Carolina
"Mauldin city, South Carolina",45,45115,25642,13072,12570,42.1,37.6,43.6,92398.0,3042.0,9648.0,16247.0,11655.0,14192.0,17674.0,52869.0,83321.0,55465.0,46848,18258.0,8552,8165,10184,10102,82,Mauldin,South Carolina
"Mount Pleasant town, South Carolina",45,48535,92398,46148,46250,43.0,42.5,43.4,37109.0,3101.0,5344.0,4621.0,2769.0,8471.0,11333.0,67256.0,70200.0,40152.0,51507,58604.0,28314,28405,41499,37983,3516,Mount Pleasant,South Carolina
"Myrtle Beach city, South Carolina",45,49075,37109,18258,18851,50.2,40.6,57.0,24406.0,632.0,2946.0,3149.0,3268.0,3406.0,47324.0,55864.0,75101.0,36407.0,28316,18254.0,12253,12459,26792,17674,9118,Myrtle Beach,South Carolina
"North Augusta city, South Carolina",45,50695,24406,11765,12641,45.3,45.8,44.7,117463.0,11970.0,22902.0,17099.0,13475.0,12077.0,9229.0,56879.0,73031.0,36279.0,51767,20658.0,6504,7270,12953,11333,1620,North Augusta,South Carolina
"North Charleston city, South Carolina",45,50875,117463,56047,61416,34.6,33.0,35.9,19727.0,451.0,841.0,1468.0,2794.0,4021.0,29268.0,60237.0,57861.0,67083.0,35142,19153.0,37126,42232,56930,47324,9606,North Charleston,South Carolina
"North Myrtle Beach city, South Carolina",45,51280,19727,9874,9853,62.3,61.0,62.6,74107.0,9214.0,10212.0,9665.0,10349.0,7744.0,11152.0,39805.0,89441.0,29784.0,23661,30233.0,5225,4583,29088,9229,19859,North Myrtle Beach,South Carolina
"Rock Hill city, South Carolina",45,61405,74107,33811,40296,34.8,33.5,36.0,22737.0,2323.0,4202.0,3336.0,1957.0,2516.0,11415.0,72310.0,64743.0,35723.0,35146,39600.0,22965,26658,31490,29268,2222,Rock Hill,South Carolina
"St. Andrews CDP, South Carolina",45,62395,22737,10844,11893,34.5,31.7,36.3,24694.0,1933.0,3250.0,3834.0,3665.0,2846.0,8120.0,52359.0,49023.0,37153.0,26895,34414.0,7506,7318,11947,11152,795,St. Andrew,South Carolina
"Simpsonville city, South Carolina",45,66580,24694,12864,11830,44.1,43.4,44.4,24999.0,1502.0,3228.0,2682.0,2846.0,4313.0,15264.0,43059.0,88330.0,71220.0,40623,20130.0,7994,7786,11980,11415,565,Simpsonville,South Carolina
"Socastee CDP, South Carolina",45,67390,24999,12624,12375,39.5,39.9,39.5,38400.0,4829.0,4941.0,5205.0,3065.0,5649.0,19679.0,75663.0,61896.0,57842.0,27558,16751.0,7592,7551,8935,8120,815,Socaste,South Carolina
"Spartanburg city, South Carolina",45,68290,38400,17866,20534,35.2,33.2,36.0,52769.0,2234.0,6659.0,9292.0,5704.0,5693.0,17585.0,45264.0,64395.0,28776.0,28295,16755.0,11290,13475,16590,15264,1326,Spartanburg,South Carolina
"Summerville town, South Carolina",45,70270,52769,23513,29256,37.4,37.7,37.1,42980.0,5373.0,5487.0,4889.0,4185.0,5919.0,9125.0,61735.0,76875.0,51039.0,40008,22440.0,15095,16266,22937,19679,3258,Summerville,South Carolina
"Sumter city, South Carolina",45,70405,42980,21570,21410,35.9,32.8,41.1,24197.0,3733.0,3938.0,2697.0,2144.0,2697.0,9068.0,69517.0,92028.0,36285.0,28819,20994.0,14007,13380,18680,17585,1095,Sumter,South Carolina
"Taylors CDP, South Carolina",45,71395,24197,11893,12304,32.7,31.0,33.0,21373.0,1248.0,2583.0,3713.0,2387.0,2631.0,9512.0,61733.0,90628.0,41235.0,33464,60706.0,8388,7689,9823,9125,698,Taylor,South Carolina
"Wade Hampton CDP, South Carolina",45,73870,21373,10428,10945,39.8,39.4,40.5,20059.0,2630.0,3178.0,2814.0,1936.0,1925.0,12371.0,54749.0,90737.0,47749.0,42396,152198.0,6161,6910,10303,9068,1235,Wade Hampto,South Carolina
"West Columbia city, South Carolina",45,75850,20059,8452,11607,37.3,37.9,35.6,28594.0,3196.0,2839.0,3717.0,2982.0,3461.0,9118.0,46392.0,80734.0,16164.0,34368,18770.0,4993,7720,9950,9512,438,West Columbia,South Carolina
"Aberdeen city, South Dakota",46,100,28594,13841,14753,36.2,34.7,38.0,23806.0,9326.0,2456.0,2385.0,1808.0,1755.0,32471.0,61495.0,88191.0,46612.0,36711,44497.0,9010,8316,13297,12371,926,Aberdeen,South Dakota
"Brookings city, South Dakota",46,7580,23806,12262,11544,24.2,24.4,23.4,76173.0,7460.0,9826.0,9135.0,8138.0,9547.0,83498.0,73273.0,84615.0,24212.0,21061,37194.0,9903,8546,10386,9118,1268,Brookings,South Dakota
"Rapid City city, South Dakota",46,52980,76173,40130,36043,38.3,34.8,40.4,196528.0,17859.0,27789.0,30523.0,21447.0,22597.0,9866.0,64648.0,97463.0,14656.0,35247,22473.0,24259,21949,34819,32471,2348,Rapid City,South Dakota
"Sioux Falls city, South Dakota",46,59020,196528,98502,98026,35.9,35.6,36.1,22925.0,2709.0,2329.0,3198.0,2566.0,2644.0,19367.0,91415.0,175214.0,79393.0,41641,147712.0,63636,61657,86893,83498,3395,Sioux Falls,South Dakota
"Watertown city, South Dakota",46,69300,22925,12004,10921,38.7,36.5,40.2,57328.0,3913.0,6930.0,7677.0,5092.0,8900.0,16303.0,156400.0,59828.0,29397.0,40532,126915.0,7801,6629,10824,9866,958,Watertown,South Dakota
"Bartlett city, Tennessee",47,3440,57328,29083,28245,38.9,35.0,42.1,45496.0,3037.0,2726.0,4255.0,8540.0,7522.0,13066.0,39409.0,76706.0,59891.0,44654,36946.0,17126,17381,19822,19367,455,Bartlett,Tennessee
"Brentwood city, Tennessee",47,8280,45496,22751,22745,47.4,47.2,47.7,27528.0,2534.0,4337.0,2766.0,3294.0,4026.0,77299.0,55065.0,63677.0,38972.0,75905,41736.0,14138,14045,16882,16303,579,Brentwood,Tennessee
"Bristol city, Tennessee",47,8540,27528,11573,15955,42.4,43.0,41.3,182111.0,19476.0,29441.0,21431.0,18144.0,23502.0,63787.0,60686.0,72004.0,60156.0,31911,32413.0,7195,9876,14347,13066,1281,Bristol,Tennessee
"Chattanooga city, Tennessee",47,14000,182111,86849,95262,37.0,35.6,37.9,170966.0,20354.0,31031.0,22682.0,17400.0,16060.0,18009.0,50999.0,133652.0,57222.0,37310,29176.0,55113,59962,86385,77299,9086,Chattanooga,Tennessee
"Clarksville city, Tennessee",47,15160,170966,85106,85860,29.9,28.4,31.0,47958.0,6260.0,7671.0,5325.0,5450.0,4048.0,19351.0,117896.0,69135.0,70321.0,35573,18603.0,55202,56459,68485,63787,4698,Clarksville,Tennessee
