name,brewery_type,address_1,City,State,postal_code,longitude,latitude,state_x,zip_code,brewery_id,NAME,state_y,place,households_total,households_total_male,households_total_female,marital_status__male_15_over,marital_status__male_15_over_percent,marital_status__female_15_over,marital_status__female_15_over_percent,edu_high_school_over,edu_high_school_over.1,edu_bach_degree_over,edu_bach_degree_over_percent,employment_status_percent,employment_status,income_household,income_household_median,income_household_mean,income_family,income_family_median,income_family_mean,income_per_capita,income_nonfamily,income_nonfamily_median,income_nonfamily_mean,income_below_poverty_family,income_below_poverty_percent_family,income_below_poverty,income_below_poverty_percent,housing_occupancy,housing_occupancy_percent,housing_in_structure,housing_in_structure_percent,population_total,population_over_21,population_over_21_percent,population_15_to_19,population_15_to_19_percent,population_male_over_18,population_male_over_18_percent,population_female_over_18,population_female_over_18_percent
Fat Head's Brewpub - Canton,brewpub,3885 Everhard Rd NW,Canton,Ohio,44709-4003,-81.41867571,40.85972436,Ohio,44709,2578,"Canton city, Ohio",39.0,12000.0,31168.0,7506.0,11182.0,27993.0,27993.0,29795.0,29795.0,43034.0,87.6,7886.0,16.1,56665.0,56665.0,31168.0,40934.0,54723.0,18296.0,52656.0,63768.0,24626.0,12872.0,27781.0,36704.0,-888888888.0,20.6,-888888888.0,25.5,36101.0,36101.0,36101.0,36101.0,70438.0,52366.0,74.3,4730.0,6.7,27176.0,49.7,27468.0,50.3
FATE Brewing Company,brewpub,1600 38th St Ste 100,Boulder,Colorado,80301-2610,-105.2454818,40.0149794,Colorado,80301,2583,"Boulder city, Colorado",8.0,7850.0,42376.0,12345.0,10989.0,48486.0,48486.0,46748.0,46748.0,57601.0,95.7,45460.0,75.6,94422.0,94422.0,42376.0,84167.0,127620.0,18491.0,126097.0,187094.0,52420.0,23885.0,50068.0,79089.0,-888888888.0,8.9,-888888888.0,23.0,44793.0,44793.0,44793.0,44793.0,104178.0,73607.0,70.7,14523.0,13.9,47079.0,51.2,44952.0,48.8
Fatty's Beer Works,contract,1436 Meeting Street Rd,Charleston,South Carolina,29405-9342,-79.950716,32.816629,South Carolina,29405,2586,"Charleston city, South Carolina",45.0,13330.0,63391.0,11898.0,20154.0,62143.0,62143.0,67442.0,67442.0,98841.0,94.1,57383.0,54.6,128193.0,128193.0,63391.0,74139.0,103964.0,34279.0,104734.0,136397.0,44925.0,29112.0,50738.0,64455.0,-888888888.0,7.2,-888888888.0,13.4,75367.0,75367.0,75367.0,75367.0,152046.0,116600.0,76.7,9814.0,6.5,60465.0,47.9,65744.0,52.1
Faultline Brewing Co,brewpub,1235 Oakmead Pkwy,Sunnyvale,California,94085-4040,-121.9895755,37.38688662,California,94085,2587,"Sunnyvale city, California",6.0,77000.0,59567.0,12471.0,11601.0,66465.0,66465.0,60951.0,60951.0,105478.0,93.4,76166.0,67.4,126032.0,126032.0,59567.0,156059.0,208202.0,38750.0,167145.0,225099.0,82723.0,20817.0,126832.0,171467.0,-888888888.0,4.0,-888888888.0,5.0,63065.0,63065.0,63065.0,63065.0,152258.0,118826.0,78.0,7298.0,4.8,63757.0,52.0,58874.0,48.0
Faust Hotel Restaurant and Brew Pub,micro,499 S Castell Ave,New Braunfels,Texas,78130-7618,-98.12031,29.698525,Texas,78130,2589,"New Braunfels city, Texas",48.0,50820.0,37815.0,7319.0,9006.0,37489.0,37489.0,40016.0,40016.0,56006.0,87.2,22944.0,35.7,76262.0,76262.0,37815.0,89073.0,102277.0,24719.0,93324.0,113510.0,39081.0,13096.0,50278.0,78539.0,-888888888.0,1.8,-888888888.0,4.2,41529.0,41529.0,41529.0,41529.0,96630.0,71502.0,74.0,5028.0,5.2,35514.0,48.0,38489.0,52.0
Fayetteville Brewing Company,planning,,Fayetteville,Arkansas,72704-7402,-94.1574328,36.0625843,Arkansas,72704,2591,"Fayetteville city, Arkansas",5.0,23290.0,40104.0,10501.0,12453.0,38513.0,38513.0,40060.0,40060.0,51917.0,96.3,25869.0,48.0,77789.0,77789.0,40104.0,61428.0,77939.0,20895.0,79294.0,93863.0,33179.0,19209.0,39609.0,58808.0,-888888888.0,12.3,-888888888.0,17.7,44706.0,44706.0,44706.0,44706.0,95231.0,66779.0,70.1,8222.0,8.6,36613.0,48.3,39202.0,51.7
Federation Brewing,micro,420 3rd St Unit A,Oakland,California,94607-3809,-122.2752148,37.79677436,California,94607,2597,"Oakland city, California",6.0,53000.0,170366.0,38564.0,55212.0,175322.0,175322.0,189337.0,189337.0,266366.0,83.7,148975.0,46.8,359568.0,359568.0,170366.0,82236.0,122444.0,94062.0,102619.0,141420.0,49966.0,76304.0,61854.0,91269.0,-888888888.0,9.9,-888888888.0,13.8,186660.0,186660.0,186660.0,186660.0,433797.0,336382.0,77.5,23785.0,5.5,167933.0,48.0,181951.0,52.0
Fegley's Brew Works,brewpub,812 Hamilton St,Allentown,Pennsylvania,18101-2437,-75.4575021,40.6060468,Pennsylvania,18101,2599,"Allentown city, Pennsylvania",42.0,2000.0,47204.0,11980.0,15298.0,48904.0,48904.0,52619.0,52619.0,65684.0,78.9,13095.0,15.7,100079.0,100079.0,47204.0,46745.0,60130.0,27259.0,55815.0,68726.0,23667.0,19945.0,30612.0,43090.0,-888888888.0,12.7,-888888888.0,17.3,51405.0,51405.0,51405.0,51405.0,125934.0,91714.0,72.8,7577.0,6.0,46931.0,47.9,50999.0,52.1
Feral Public House,brewpub,1109 Washington St,Vancouver,Washington,98660,-122.6723137,45.63010593,Washington,98660,2604,"Vancouver city, Washington",53.0,74060.0,81814.0,16852.0,24660.0,80174.0,80174.0,82946.0,82946.0,127243.0,91.0,41829.0,29.9,159927.0,159927.0,81814.0,69993.0,91911.0,46763.0,85002.0,113053.0,39959.0,35051.0,46909.0,60105.0,-888888888.0,7.1,-888888888.0,12.8,86065.0,86065.0,86065.0,86065.0,192176.0,150688.0,78.4,10089.0,5.2,77604.0,49.5,79191.0,50.5
Fermaentra,micro,1715 E Evans Ave,Denver,Colorado,80210-4601,-104.9428631,39.6784277,Colorado,80210,2606,"Denver city, Colorado",8.0,20000.0,326634.0,86470.0,97588.0,301634.0,301634.0,298132.0,298132.0,473939.0,90.9,286847.0,55.0,592643.0,592643.0,326634.0,81630.0,115122.0,152927.0,105365.0,145483.0,52690.0,173707.0,63720.0,85674.0,-888888888.0,8.2,-888888888.0,11.6,351829.0,351829.0,351829.0,351829.0,711463.0,558313.0,78.5,35211.0,4.9,291170.0,50.3,287833.0,49.7
