name,brewery_type,address_1,city,state_province,postal_code,longitude,latitude,state,zip_code,brewery_id
American Badass Beer,contract,1401 Abbott St Corktown,Detroit,Michigan,48216-1946,,,Michigan,48216,312
American Brewing Company,closed,180 W Dayton St Ste 102,Edmonds,Washington,98020-4127,,,Washington,98020,314
Americana Brewery,planning,,Fort Lauderdale,Florida,33328-1606,,,Florida,33328,319
Anawan Brewing Company,planning,,Dighton,Massachusetts,02764,,,Massachusetts,02764,329
Ancient City Brewing Co.,micro,3420 Agricultural Center Dr Ste 8,Saint Augustine,Florida,32092-0690,,,Florida,32092,333
Andean Brewing,micro,300 Corporate Dr Ste 2,Blauvelt,New York,10913-1162,,,New York,10913,334
Andrews Brewing Co,micro,353 High St,Lincolnville,Maine,04849-5846,,,Maine,04849,336
"Angelina Brewing Company, LLC.",planning,,Lufkin,Texas,75904-7550,,,Texas,75904,339
Angry Erik Brewing,micro,10 Millpond Dr Unit 8,Lafayette,New Jersey,07848-3825,,,New Jersey,07848,341
Angry Fish Brewing Company,micro,106 Fabrister Ln Ste C,Lexington,South Carolina,29072,,,South Carolina,29072,342
Angry Troll Brewing / 222 Public House,brewpub,222 E Main St Ste U2,Elkin,North Carolina,28621-3493,,,North Carolina,28621,349
Anheuser-Busch Inc â Cartersville,large,100 Busch Dr NE,Cartersville,Georgia,30121-7217,,,Georgia,30121,354
Anheuser-Busch Inc â Newark,large,200 US Highway 1,Newark,New Jersey,07114-2298,,,New Jersey,07114,360
Ankrolab Brewing Company,planning,,Naples,Florida,34112-6363,,,Florida,34112,363
"Antietam Brewery,LLC",micro,140 Western Maryland Pkwy Unit G,Hagerstown,Maryland,21740-5197,,,Maryland,21740,365
Anvil Brewing,brewpub,115 S. Compress St,Pittsburg,Texas,75686-1353,,,Texas,75686,367
Apex Brewery,planning,,Central Valley,New York,10917-3708,,,New York,10917,369
Appalachian Brewing Co - Collegeville,brewpub,50 W Third Ave Collegeville Station 2nd Floor,Collegeville,Pennsylvania,19426-3655,,,Pennsylvania,19426,372
Appalachian Brewing Co - Gettysburg Gateway,brewpub,70 Presidential Cir,Gettysburg,Pennsylvania,17325-8399,,,Pennsylvania,17325,373
Appalachian Brewing Co - Mechanicsburg,brewpub,6462 Carlisle Pike,Mechanicsburg,Pennsylvania,17050-2384,,,Pennsylvania,17050,376
Aquabrew,brewpub,150 S L B J Dr,San Marcos,Texas,78666-5506,,,Texas,78666,382
Aquatic Brewing LLC,planning,,Falmouth,Massachusetts,02540-3299,,,Massachusetts,02540,383
"Aransas Pass Brewing Company, LLC",planning,,Aransas Pass,Texas,78336-1920,,,Texas,78336,385
Arbeiter Brewing Company,planning,,Minneapolis,Minnesota,55418-2325,,,Minnesota,55418,386
Arches Brewing,micro,3361 Dogwood Dr,Hapeville,Georgia,30354-1439,,,Georgia,30354,394
Archetype Brewing,micro,265 Haywood Rd,Asheville,North Carolina,28806-4545,,,North Carolina,28806,395
Arcpoint Brewing Co,micro,,Belchertown,Massachusetts,01007-9305,,,Massachusetts,01007,397
"Ardent Spirits, Inc",planning,,Collinsville,Illinois,62234,,,Illinois,62234,399
Argilla Brewing Co @ Pietro's Pizza,brewpub,2667 Kirkwood Hwy,Newark,Delaware,19711-7242,,,Delaware,19711,400
Arizona Craft Brewing,micro,"473 Elgin Road, Suite BH",Elgin,Arizona,85611,,,Arizona,85611,403
Arizona Wilderness Brewing,brewpub,721 N Arizona Ave,Gilbert,Arizona,85233-3405,,,Arizona,85233,404
Arkane Aleworks,micro,2480 E Bay Dr #23,Largo,Florida,33771-2467,,,Florida,33771,405
Artisan Owl Brewing Company,planning,,Ocean City,New Jersey,08226-4237,,,New Jersey,08226,418
Artisanal Brew Works,micro,41 Geyser Rd,Saratoga Springs,New York,12866-9038,,,New York,12866,420
Asher Brewing Co,micro,4699 Nautilus Ct S Ste 104,Boulder,Colorado,80301-5306,,,Colorado,80301,428
Aslin Beer Company,micro,257 Sunset Park Dr.,Herndon,Virginia,20170,,,Virginia,20170,434
Ass Clown Brewing Co,micro,10620 Bailey Rd Ste E,Cornelius,North Carolina,28031-9364,,,North Carolina,28031,437
Aston Abbey Brewing Co,micro,340 Turner Industrial Way,Aston,Pennsylvania,19014-3014,,,Pennsylvania,19014,439
Astral Brewing,micro,4816 N Shepherd Dr suite a,Houston,Texas,77018,,,Texas,77018,441
Astro Lab Brewing,planning,,Silver Spring,Maryland,20910-4519,,,Maryland,20910,442
Astronomy Aleworks,planning,,Henderson,Nevada,89011,,,Nevada,89011,443
Athletic Brewing Company,planning,,Stratford,Connecticut,06615-7167,,,Connecticut,06615,449
Atlantic Beach Brewing Company,micro,725 Atlantic Blvd Suite 3,Atlantic Beach,Florida,32233-3946,,,Florida,32233,450
Atlantic Brewing Co,micro,15 Knox Rd,Bar Harbor,Maine,04609-7770,,,Maine,04609,451
Atlas Brew Works,micro,2052 W Virginia Ave NE Ste 102,Washington,District of Columbia,20002-1832,,,District of Columbia,20002,454
Atrevida Beer Company,micro,204 Mount View Ln Unit 3,Colorado Springs,Colorado,80908,,,Colorado,80908,457
Attaboy Beer,micro,400 Sagner Ave Ste 400,Frederick,Maryland,21701-6083,,,Maryland,21701,458
Attic Brewing,planning,,Philadelphia,Pennsylvania,19144-3603,,,Pennsylvania,19144,459
Auburn Brewing Company,planning,,Auburn,Indiana,46706,,,Indiana,46706,466
August Schell Brewing Co,regional,Schells Park/1860 Schell Rd,New Ulm,Minnesota,56073,,,Minnesota,56073,469
Aurora Ale & Lager,micro,1891 State Route 90 N,King Ferry,New York,13081-9719,,,New York,13081,473
Ausable Brewing Co,micro,765 Mace Chasm Rd,Keeseville,New York,12944-2425,,,New York,12944,474
Austin Street Brewery,micro,1 Industrial Way Ste 8,Portland,Maine,04103-1072,,,Maine,04103,477
Axe And Arrow Brewery,planning,,Glassboro,New Jersey,08028,,,New Jersey,08028,484
B Chord Brewing Company,micro,34266 Williams Gap Rd,Round Hill,Virginia,20141-2100,,,Virginia,20141,488
B-52 Brewing,micro,12470 Milroy Ln,Conroe,Texas,77304-5160,,,Texas,77304,489
B-CS  Zoigl Brewery,micro,Â 211-C W William Joel Bryan Pkwy,Bryan,Texas,77803-3225,,,Texas,77803,490
B.C. Brewery,micro,10950 Gilroy Rd Ste F,Hunt Valley,Maryland,21031-1327,,,Maryland,21031,491
B9 Beverages Inc,contract,404 5th Ave # 7.055,New York,New York,10018-2797,,,New York,10018,493
Baa Baa Brewhouse,micro,539 FM 359 Rd S,Brookshire,Texas,77423-8013,,,Texas,77423,494
Conversations Brewing,closed,,Battle Ground,Washington,98604,,,Washington,98604,495
Back Creek Brewing Company,planning,,Annapolis,Maryland,21401-4019,,,Maryland,21401,501
Back East Brewing,micro,1296 Blue Hills Ave Ste A,Bloomfield,Connecticut,06002-5312,,,Connecticut,06002,502
Back Pew Brewing,micro,26452 Sorters Rd,Porter,Texas,77365-4752,,,Texas,77365,505
Backacre Beermakers,micro,,Weston,Vermont,05161,,,Vermont,05161,509
Backlash Beer Co,contract,,Boston,Massachusetts,02215,,,Massachusetts,02215,511
Backman Brewing Company,planning,,Whitehouse Station,New Jersey,08889-3562,,,New Jersey,08889,512
Backroom Brewery,brewpub,150 Ridgemont Rd,Middletown,Virginia,22645-3817,,,Virginia,22645,515
Backshore Brewing Co.,brewpub,913 Atlantic Ave,Ocean City,Maryland,21842-6689,,,Maryland,21842,516
Backslope Brewing,brewpub,1107 9th St W (Highway 2),Columbia Falls,Montana,59912,,,Montana,59912,518
BackStory Brewery,planning,,Sulphur Springs,Texas,75482-2772,,,Texas,75482,521
Backward Flag Brewing,micro,699 Challenger Way Ste D5,Forked River,New Jersey,08731-5917,,,New Jersey,08731,523
Backyard Barn Winery and Microbrewery,micro,1945 E County Road 462,Wildwood,Florida,34785-8594,,,Florida,34785,526
Bad Beat Brewing,micro,7380 Eastgate Rd Ste 110,Henderson,Nevada,89011-4012,,,Nevada,89011,528
Bad Dad Brewery,micro,407 W. Washington St. Ste. C,Fairmount,Indiana,46928,,,Indiana,46928,531
Bad Habit Brewing Company,micro,15 E Minnesota St Ste 108,Saint Joseph,Minnesota,56374-4691,,,Minnesota,56374,532
Bad Idea Brewing,planning,,Spring Hill,Tennessee,37174-2895,,,Tennessee,37174,533
Badger Hill Brewing,micro,4571 Valley Industrial Blvd S Ste 500,Shakopee,Minnesota,55379-1846,,,Minnesota,55379,543
BadWolf Brewing Company,micro,8420 Kao Cir,Manassas,Virginia,20110-1728,,,Virginia,20110,547
Baere Brewing Company,micro,"320 Broadway, Unit E",Denver,Colorado,80203-3955,,,Colorado,80203,549
"Bag and Kettle, The",brewpub,9000 Main St Apt 21,Carrabassett Valley,Maine,04947-6808,,,Maine,04947,552
Baithouse Brewery,planning,,Sandusky,Ohio,44870,,,Ohio,44870,557
Bald Man Brewing Company,micro,2020 Silver Bell Rd Ste 25,Eagan,Minnesota,55122-1030,,,Minnesota,55122,560
Ballast Point Brewing Company,planning,,Chicago,Illinois,60607,,,Illinois,60607,570
Baltimore Washington Beer Works,contract,2500 Grays Rd,Dundalk,Maryland,21222,,,Maryland,21222,575
